21.07.17/11:55 AM SW ver:OXY10v3_33
Header Ch-9
Description: TBM5-26
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 102989
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
21.07.17;11:55:29 AM;0.00;95.570;27.090;31638.000;26.000
21.07.17;11:55:34 AM;0.08;95.250;27.130;31625.000;26.000
21.07.17;11:55:49 AM;0.33;95.330;27.120;31638.000;26.000
21.07.17;11:56:04 AM;0.58;94.850;27.170;31640.000;26.000
21.07.17;11:56:19 AM;0.83;95.100;27.140;31662.000;26.000
21.07.17;11:56:34 AM;1.08;94.730;27.190;31680.000;26.000
21.07.17;11:56:49 AM;1.33;94.790;27.180;31643.000;26.000
21.07.17;11:57:04 AM;1.58;94.920;27.160;31654.000;26.000
21.07.17;11:57:19 AM;1.83;95.200;27.130;31676.000;26.000
21.07.17;11:57:34 AM;2.08;95.270;27.130;31660.000;26.000
21.07.17;11:57:49 AM;2.33;94.990;27.160;31669.000;26.000
21.07.17;11:58:04 AM;2.58;94.860;27.170;31693.000;26.000
21.07.17;11:58:19 AM;2.83;94.650;27.190;31683.000;26.000
21.07.17;11:58:34 AM;3.08;94.610;27.200;31660.000;26.000
21.07.17;11:58:49 AM;3.33;94.960;27.160;31681.000;26.000
21.07.17;11:59:04 AM;3.58;94.540;27.210;31683.000;26.000
21.07.17;11:59:19 AM;3.83;94.860;27.170;31674.000;26.000
21.07.17;11:59:34 AM;4.08;94.540;27.210;31696.000;26.000
21.07.17;11:59:49 AM;4.33;94.710;27.190;31744.000;26.000
21.07.17;12:00:04 PM;4.58;94.860;27.170;31712.000;26.000
21.07.17;12:00:19 PM;4.83;94.970;27.160;31720.000;26.000
21.07.17;12:00:34 PM;5.08;94.630;27.200;31726.000;26.000
21.07.17;12:00:49 PM;5.33;94.420;27.220;31735.000;26.000
21.07.17;12:01:04 PM;5.58;94.680;27.190;31703.000;26.000
21.07.17;12:01:19 PM;5.83;95.110;27.140;31726.000;26.000
21.07.17;12:01:34 PM;6.08;94.860;27.170;31727.000;26.000
