21.07.17/3:52 PM SW ver:OXY10v3_33
Header Ch-8
Description: WBB2-32
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 103194
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
21.07.17;3:52:56 PM;0.00;93.290;26.330;27026.000;32.000
21.07.17;3:53:04 PM;0.14;94.140;26.240;27067.000;32.000
21.07.17;3:53:19 PM;0.39;93.280;26.330;27028.000;32.000
21.07.17;3:53:34 PM;0.64;92.900;26.380;27033.000;32.000
21.07.17;3:53:49 PM;0.89;92.690;26.400;27044.000;32.000
21.07.17;3:54:04 PM;1.14;93.480;26.310;27057.000;32.000
21.07.17;3:54:19 PM;1.39;92.670;26.400;27053.000;32.000
21.07.17;3:54:34 PM;1.64;92.690;26.400;27061.000;32.000
21.07.17;3:54:49 PM;1.89;92.320;26.440;27033.000;32.000
21.07.17;3:55:04 PM;2.14;92.640;26.410;27093.000;32.000
21.07.17;3:55:19 PM;2.39;93.340;26.330;27053.000;32.000
21.07.17;3:55:34 PM;2.64;92.870;26.380;27099.000;32.000
21.07.17;3:55:49 PM;2.89;92.230;26.450;27080.000;32.000
21.07.17;3:56:04 PM;3.14;92.560;26.420;27161.000;32.000
21.07.17;3:56:19 PM;3.39;93.410;26.320;27128.000;32.000
21.07.17;3:56:34 PM;3.64;92.570;26.410;27086.000;32.000
21.07.17;3:56:49 PM;3.89;92.750;26.390;27126.000;32.000
21.07.17;3:57:04 PM;4.14;92.300;26.440;27149.000;32.000
21.07.17;3:57:19 PM;4.39;92.900;26.380;27133.000;32.000
21.07.17;3:57:34 PM;4.64;92.760;26.390;27113.000;32.000
21.07.17;3:57:49 PM;4.89;92.600;26.410;27140.000;32.000
21.07.17;3:58:04 PM;5.14;92.160;26.460;27128.000;32.000
21.07.17;3:58:19 PM;5.39;91.840;26.500;27117.000;32.000
21.07.17;3:58:34 PM;5.64;91.680;26.510;27126.000;32.000
21.07.17;3:58:49 PM;5.89;91.800;26.500;27147.000;32.000
21.07.17;3:59:04 PM;6.14;92.260;26.450;27169.000;32.000
21.07.17;3:59:19 PM;6.39;91.460;26.540;27150.000;32.000
21.07.17;3:59:34 PM;6.64;92.450;26.430;27207.000;32.000
21.07.17;3:59:49 PM;6.89;91.160;26.570;27159.000;32.000
21.07.17;4:00:04 PM;7.14;92.460;26.430;27209.000;32.000
21.07.17;4:00:19 PM;7.39;91.660;26.520;27182.000;32.000
21.07.17;4:00:34 PM;7.64;91.660;26.520;27211.000;32.000
21.07.17;4:00:49 PM;7.89;92.440;26.430;27211.000;32.000
21.07.17;4:01:04 PM;8.14;91.730;26.510;27266.000;32.000
21.07.17;4:01:19 PM;8.39;92.160;26.460;27216.000;32.000
21.07.17;4:01:34 PM;8.64;91.960;26.480;27191.000;32.000
21.07.17;4:01:49 PM;8.89;91.710;26.510;27232.000;32.000
21.07.17;4:02:04 PM;9.14;92.420;26.430;27241.000;32.000
21.07.17;4:02:19 PM;9.39;91.770;26.500;27229.000;32.000
21.07.17;4:02:34 PM;9.64;91.880;26.490;27288.000;32.000
21.07.17;4:02:49 PM;9.89;91.820;26.500;27261.000;32.000
21.07.17;4:03:04 PM;10.14;90.980;26.590;27262.000;32.000
21.07.17;4:03:19 PM;10.39;91.530;26.530;27286.000;32.000
21.07.17;4:03:34 PM;10.64;91.310;26.560;27257.000;32.000
21.07.17;4:03:49 PM;10.89;91.150;26.580;27338.000;32.000
21.07.17;4:04:04 PM;11.14;91.170;26.570;27296.000;32.000
21.07.17;4:04:19 PM;11.39;92.630;26.410;27316.000;32.000
21.07.17;4:04:34 PM;11.64;92.030;26.470;27298.000;32.000
21.07.17;4:04:49 PM;11.89;91.070;26.580;27345.000;32.000
21.07.17;4:05:04 PM;12.14;90.620;26.640;27344.000;32.000
21.07.17;4:05:19 PM;12.39;92.230;26.450;27329.000;32.000
21.07.17;4:05:34 PM;12.64;91.310;26.560;27381.000;32.000
21.07.17;4:05:49 PM;12.89;91.630;26.520;27338.000;32.000
21.07.17;4:06:04 PM;13.14;92.200;26.460;27386.000;32.000
21.07.17;4:06:19 PM;13.39;91.150;26.570;27352.000;32.000
21.07.17;4:06:34 PM;13.64;91.310;26.560;27403.000;32.000
21.07.17;4:06:49 PM;13.89;90.500;26.650;27405.000;32.000
21.07.17;4:07:04 PM;14.14;91.230;26.570;27441.000;32.000
21.07.17;4:07:19 PM;14.39;90.500;26.650;27401.000;32.000
21.07.17;4:07:34 PM;14.64;90.800;26.620;27444.000;32.000
21.07.17;4:07:49 PM;14.89;90.490;26.650;27422.000;32.000
21.07.17;4:08:04 PM;15.14;90.510;26.650;27442.000;32.000
21.07.17;4:08:19 PM;15.39;90.840;26.610;27409.000;32.000
21.07.17;4:08:34 PM;15.64;91.500;26.530;27424.000;32.000
21.07.17;4:08:49 PM;15.89;90.370;26.660;27424.000;32.000
21.07.17;4:09:04 PM;16.14;90.340;26.670;27475.000;32.000
21.07.17;4:09:19 PM;16.39;90.610;26.640;27499.000;32.000
21.07.17;4:09:34 PM;16.64;91.130;26.580;27488.000;32.000
21.07.17;4:09:49 PM;16.89;90.770;26.620;27487.000;32.000
21.07.17;4:10:04 PM;17.14;90.140;26.690;27485.000;32.000
21.07.17;4:10:19 PM;17.39;89.390;26.780;27476.000;32.000
21.07.17;4:10:34 PM;17.64;90.260;26.680;27522.000;32.000
21.07.17;4:10:49 PM;17.89;89.600;26.750;27511.000;32.000
21.07.17;4:11:04 PM;18.14;90.350;26.670;27538.000;32.000
21.07.17;4:11:19 PM;18.39;90.190;26.690;27519.000;32.000
21.07.17;4:11:34 PM;18.64;90.290;26.670;27584.000;32.000
21.07.17;4:11:49 PM;18.89;89.930;26.720;27531.000;32.000
21.07.17;4:12:04 PM;19.14;89.910;26.720;27564.000;32.000
