21.07.17/3:19 PM SW ver:OXY10v3_33
Header Ch-8
Description: WBB2-32
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 103194
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
21.07.17;3:19:12 PM;0.00;94.210;26.230;27079.000;32.000
21.07.17;3:19:19 PM;0.12;93.730;26.290;27062.000;32.000
21.07.17;3:19:34 PM;0.37;93.740;26.280;27068.000;32.000
21.07.17;3:19:49 PM;0.62;93.640;26.300;27100.000;32.000
21.07.17;3:20:04 PM;0.87;94.260;26.230;27071.000;32.000
21.07.17;3:20:19 PM;1.12;93.330;26.330;27087.000;32.000
21.07.17;3:20:34 PM;1.37;93.670;26.290;27102.000;32.000
21.07.17;3:20:49 PM;1.62;93.430;26.320;27096.000;32.000
21.07.17;3:21:04 PM;1.87;93.620;26.300;27112.000;32.000
21.07.17;3:21:19 PM;2.12;92.900;26.380;27120.000;32.000
21.07.17;3:21:34 PM;2.37;93.740;26.280;27127.000;32.000
21.07.17;3:21:49 PM;2.62;93.280;26.330;27123.000;32.000
21.07.17;3:22:04 PM;2.87;93.110;26.350;27125.000;32.000
21.07.17;3:22:19 PM;3.12;93.420;26.320;27175.000;32.000
21.07.17;3:22:34 PM;3.37;93.960;26.260;27168.000;32.000
21.07.17;3:22:49 PM;3.62;92.850;26.380;27166.000;32.000
21.07.17;3:23:04 PM;3.87;93.200;26.340;27177.000;32.000
21.07.17;3:23:19 PM;4.12;93.370;26.330;27178.000;32.000
21.07.17;3:23:34 PM;4.37;93.160;26.350;27202.000;32.000
21.07.17;3:23:49 PM;4.62;93.150;26.350;27198.000;32.000
21.07.17;3:24:04 PM;4.87;93.060;26.360;27207.000;32.000
