21.07.17/3:19 PM SW ver:OXY10v3_33
Header Ch-9
Description: TBM5-32
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 102989
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
21.07.17;3:19:13 PM;0.00;93.760;26.280;30024.000;32.000
21.07.17;3:19:22 PM;0.15;94.350;26.220;30049.000;32.000
21.07.17;3:19:37 PM;0.40;94.690;26.180;30086.000;32.000
21.07.17;3:19:52 PM;0.65;94.460;26.200;30047.000;32.000
21.07.17;3:20:07 PM;0.90;94.270;26.230;30076.000;32.000
21.07.17;3:20:22 PM;1.15;94.190;26.230;30074.000;32.000
21.07.17;3:20:37 PM;1.40;93.640;26.300;30071.000;32.000
21.07.17;3:20:52 PM;1.65;93.920;26.260;30082.000;32.000
21.07.17;3:21:07 PM;1.90;94.160;26.240;30103.000;32.000
21.07.17;3:21:22 PM;2.15;94.200;26.230;30097.000;32.000
21.07.17;3:21:37 PM;2.40;93.830;26.270;30100.000;32.000
21.07.17;3:21:52 PM;2.65;94.040;26.250;30129.000;32.000
21.07.17;3:22:07 PM;2.90;94.140;26.240;30123.000;32.000
21.07.17;3:22:22 PM;3.15;93.970;26.260;30148.000;32.000
21.07.17;3:22:37 PM;3.40;93.990;26.260;30150.000;32.000
21.07.17;3:22:52 PM;3.65;94.410;26.210;30144.000;32.000
21.07.17;3:23:07 PM;3.90;93.800;26.280;30162.000;32.000
21.07.17;3:23:22 PM;4.15;93.700;26.290;30169.000;32.000
21.07.17;3:23:37 PM;4.40;93.490;26.310;30171.000;32.000
21.07.17;3:23:52 PM;4.65;94.430;26.210;30144.000;32.000
21.07.17;3:24:07 PM;4.90;93.550;26.310;30199.000;32.000
21.07.17;3:24:22 PM;5.15;93.730;26.290;30146.000;32.000
21.07.17;3:24:37 PM;5.40;93.560;26.300;30161.000;32.000
21.07.17;3:24:52 PM;5.65;93.770;26.280;30206.000;32.000
21.07.17;3:25:07 PM;5.90;93.610;26.300;30206.000;32.000
21.07.17;3:25:22 PM;6.15;93.360;26.330;30231.000;32.000
21.07.17;3:25:37 PM;6.40;93.460;26.310;30197.000;32.000
21.07.17;3:25:52 PM;6.65;93.710;26.290;30202.000;32.000
21.07.17;3:26:07 PM;6.90;93.370;26.330;30244.000;32.000
21.07.17;3:26:22 PM;7.15;93.380;26.320;30224.000;32.000
21.07.17;3:26:37 PM;7.40;93.310;26.330;30234.000;32.000
