22.07.17/12:31 PM SW ver:OXY10v3_33
Header Ch-2
Description: DRIFT-12
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 103056
Frequency         : 006
Sending interval  : 0001
Averaging         : 3
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
22.07.17;12:31:25 PM;0.00;97.160;29.510;15878.000;12.000
22.07.17;12:31:36 PM;0.17;97.220;29.510;15833.000;12.000
22.07.17;12:31:51 PM;0.42;96.570;29.580;15853.000;12.000
22.07.17;12:32:06 PM;0.67;96.850;29.550;15889.000;12.000
22.07.17;12:32:21 PM;0.92;96.430;29.600;15858.000;12.000
22.07.17;12:32:36 PM;1.17;95.200;29.740;15857.000;12.000
22.07.17;12:32:51 PM;1.42;95.840;29.670;15869.000;12.000
22.07.17;12:33:06 PM;1.67;97.290;29.500;15840.000;12.000
22.07.17;12:33:21 PM;1.92;97.650;29.460;15874.000;12.000
22.07.17;12:33:36 PM;2.17;96.380;29.600;15853.000;12.000
22.07.17;12:33:51 PM;2.42;96.420;29.600;15875.000;12.000
22.07.17;12:34:06 PM;2.67;95.550;29.700;15821.000;12.000
22.07.17;12:34:21 PM;2.92;97.200;29.510;15836.000;12.000
22.07.17;12:34:36 PM;3.17;96.220;29.620;15830.000;12.000
22.07.17;12:34:51 PM;3.42;97.710;29.450;15813.000;12.000
22.07.17;12:35:06 PM;3.67;96.990;29.530;15863.000;12.000
