22.07.17/12:31 PM SW ver:OXY10v3_33
Header Ch-5
Description: TBE8-12
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 104658
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
22.07.17;12:31:27 PM;0.00;94.290;29.850;49025.000;12.000
22.07.17;12:31:42 PM;0.24;94.980;29.770;49013.000;12.000
22.07.17;12:31:57 PM;0.49;94.000;29.880;49030.000;12.000
22.07.17;12:32:12 PM;0.74;94.160;29.860;49020.000;12.000
22.07.17;12:32:27 PM;0.99;94.370;29.840;49021.000;12.000
22.07.17;12:32:42 PM;1.24;93.770;29.910;49050.000;12.000
22.07.17;12:32:57 PM;1.49;94.170;29.860;49012.000;12.000
22.07.17;12:33:12 PM;1.75;94.010;29.880;49029.000;12.000
22.07.17;12:33:27 PM;2.00;94.610;29.810;49029.000;12.000
22.07.17;12:33:42 PM;2.25;94.610;29.810;49026.000;12.000
22.07.17;12:33:57 PM;2.50;93.990;29.880;49012.000;12.000
22.07.17;12:34:12 PM;2.75;94.030;29.880;49008.000;12.000
22.07.17;12:34:27 PM;3.00;94.530;29.820;49004.000;12.000
22.07.17;12:34:42 PM;3.24;94.620;29.810;49019.000;12.000
22.07.17;12:34:57 PM;3.50;94.320;29.840;48985.000;12.000
22.07.17;12:35:12 PM;3.75;94.460;29.830;48986.000;12.000
22.07.17;12:35:27 PM;3.99;94.010;29.880;48944.000;12.000
22.07.17;12:35:42 PM;4.25;94.310;29.850;49005.000;12.000
22.07.17;12:35:57 PM;4.49;94.160;29.860;48982.000;12.000
22.07.17;12:36:12 PM;4.75;94.280;29.850;49022.000;12.000
22.07.17;12:36:27 PM;4.99;94.130;29.870;48998.000;12.000
22.07.17;12:36:42 PM;5.25;94.580;29.810;49003.000;12.000
22.07.17;12:36:57 PM;5.50;94.110;29.870;48972.000;12.000
22.07.17;12:37:12 PM;5.74;94.530;29.820;48969.000;12.000
22.07.17;12:37:27 PM;5.99;94.810;29.790;48997.000;12.000
22.07.17;12:37:42 PM;6.24;94.480;29.820;48989.000;12.000
22.07.17;12:37:57 PM;6.49;94.470;29.830;49000.000;12.000
22.07.17;12:38:12 PM;6.75;94.040;29.880;48961.000;12.000
22.07.17;12:38:27 PM;6.99;94.000;29.880;48953.000;12.000
22.07.17;12:38:42 PM;7.24;94.520;29.820;48988.000;12.000
22.07.17;12:38:57 PM;7.50;94.060;29.870;48994.000;12.000
22.07.17;12:39:12 PM;7.75;94.680;29.800;48956.000;12.000
22.07.17;12:39:27 PM;7.99;94.300;29.850;49015.000;12.000
22.07.17;12:39:42 PM;8.24;93.790;29.910;48964.000;12.000
22.07.17;12:39:57 PM;8.50;94.530;29.820;49026.000;12.000
22.07.17;12:40:12 PM;8.75;94.450;29.830;48954.000;12.000
22.07.17;12:40:27 PM;9.00;94.320;29.840;48958.000;12.000
22.07.17;12:40:42 PM;9.24;94.420;29.830;48980.000;12.000
22.07.17;12:40:57 PM;9.50;94.500;29.820;49002.000;12.000
22.07.17;12:41:12 PM;9.75;94.430;29.830;48944.000;12.000
22.07.17;12:41:27 PM;10.00;94.420;29.830;48994.000;12.000
22.07.17;12:41:42 PM;10.24;94.090;29.870;48987.000;12.000
22.07.17;12:41:57 PM;10.50;94.250;29.850;48971.000;12.000
22.07.17;12:42:12 PM;10.74;94.240;29.850;48964.000;12.000
22.07.17;12:42:27 PM;11.00;93.900;29.890;48987.000;12.000
22.07.17;12:42:42 PM;11.25;94.540;29.820;48987.000;12.000
22.07.17;12:42:57 PM;11.50;94.350;29.840;48990.000;12.000
22.07.17;12:43:12 PM;11.74;94.000;29.880;48952.000;12.000
22.07.17;12:43:27 PM;11.99;94.050;29.880;48957.000;12.000
22.07.17;12:43:42 PM;12.25;94.680;29.800;48997.000;12.000
22.07.17;12:43:57 PM;12.50;94.300;29.850;48994.000;12.000
22.07.17;12:44:12 PM;12.74;93.990;29.880;48981.000;12.000
22.07.17;12:44:27 PM;13.00;94.470;29.830;48951.000;12.000
22.07.17;12:44:42 PM;13.25;94.420;29.830;48980.000;12.000
22.07.17;12:44:57 PM;13.50;94.150;29.860;48951.000;12.000
22.07.17;12:45:12 PM;13.74;94.010;29.880;48933.000;12.000
22.07.17;12:45:27 PM;14.00;94.800;29.790;48952.000;12.000
22.07.17;12:45:42 PM;14.24;94.280;29.850;48997.000;12.000
22.07.17;12:45:57 PM;14.50;94.200;29.860;48991.000;12.000
22.07.17;12:46:12 PM;14.74;94.030;29.880;48984.000;12.000
22.07.17;12:46:27 PM;14.99;94.240;29.850;48996.000;12.000
22.07.17;12:46:42 PM;15.25;94.320;29.840;48971.000;12.000
22.07.17;12:46:57 PM;15.50;94.200;29.860;48975.000;12.000
22.07.17;12:47:12 PM;15.74;94.250;29.850;48978.000;12.000
22.07.17;12:47:27 PM;15.99;94.290;29.850;48978.000;12.000
22.07.17;12:47:42 PM;16.24;94.310;29.850;49007.000;12.000
22.07.17;12:47:57 PM;16.50;94.190;29.860;48986.000;12.000
22.07.17;12:48:12 PM;16.74;94.780;29.790;49000.000;12.000
22.07.17;12:48:27 PM;16.99;94.370;29.840;49004.000;12.000
22.07.17;12:48:42 PM;17.24;94.310;29.850;49031.000;12.000
22.07.17;12:48:57 PM;17.50;94.010;29.880;48985.000;12.000
22.07.17;12:49:12 PM;17.74;94.210;29.860;48975.000;12.000
22.07.17;12:49:27 PM;17.99;93.770;29.910;49002.000;12.000
22.07.17;12:49:42 PM;18.25;93.890;29.900;48982.000;12.000
22.07.17;12:49:57 PM;18.50;94.150;29.860;48989.000;12.000
22.07.17;12:50:12 PM;18.74;93.690;29.920;48986.000;12.000
22.07.17;12:50:27 PM;19.00;94.110;29.870;48984.000;12.000
22.07.17;12:50:42 PM;19.24;94.430;29.830;48979.000;12.000
22.07.17;12:50:57 PM;19.49;93.560;29.930;48999.000;12.000
22.07.17;12:51:12 PM;19.75;94.020;29.880;48955.000;12.000
