22.07.17/12:31 PM SW ver:OXY10v3_33
Header Ch-6
Description: WWI4-12
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 102067
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
22.07.17;12:31:29 PM;0.00;96.580;29.580;39448.000;12.000
22.07.17;12:31:44 PM;0.25;97.040;29.530;39431.000;12.000
22.07.17;12:31:59 PM;0.50;97.100;29.520;39471.000;12.000
22.07.17;12:32:14 PM;0.75;96.880;29.540;39436.000;12.000
22.07.17;12:32:29 PM;1.00;97.010;29.530;39421.000;12.000
22.07.17;12:32:44 PM;1.25;97.210;29.510;39447.000;12.000
22.07.17;12:32:59 PM;1.50;97.600;29.460;39442.000;12.000
22.07.17;12:33:14 PM;1.75;96.720;29.560;39436.000;12.000
22.07.17;12:33:29 PM;2.00;96.500;29.590;39432.000;12.000
22.07.17;12:33:44 PM;2.25;98.080;29.410;39486.000;12.000
22.07.17;12:33:59 PM;2.50;97.080;29.520;39438.000;12.000
22.07.17;12:34:14 PM;2.75;96.540;29.580;39398.000;12.000
22.07.17;12:34:29 PM;3.00;97.290;29.500;39410.000;12.000
22.07.17;12:34:44 PM;3.25;97.020;29.530;39452.000;12.000
22.07.17;12:34:59 PM;3.50;97.530;29.470;39442.000;12.000
22.07.17;12:35:14 PM;3.75;97.060;29.520;39387.000;12.000
22.07.17;12:35:29 PM;4.00;97.000;29.530;39444.000;12.000
22.07.17;12:35:44 PM;4.25;96.790;29.560;39474.000;12.000
22.07.17;12:35:59 PM;4.50;97.860;29.430;39459.000;12.000
22.07.17;12:36:14 PM;4.75;97.020;29.530;39429.000;12.000
22.07.17;12:36:29 PM;5.00;96.860;29.550;39441.000;12.000
22.07.17;12:36:44 PM;5.25;96.970;29.530;39437.000;12.000
22.07.17;12:36:59 PM;5.50;97.360;29.490;39479.000;12.000
22.07.17;12:37:14 PM;5.75;97.460;29.480;39469.000;12.000
22.07.17;12:37:29 PM;6.00;96.920;29.540;39423.000;12.000
22.07.17;12:37:44 PM;6.25;96.480;29.590;39457.000;12.000
22.07.17;12:37:59 PM;6.50;96.940;29.540;39476.000;12.000
22.07.17;12:38:14 PM;6.75;97.320;29.490;39470.000;12.000
22.07.17;12:38:29 PM;7.00;97.070;29.520;39414.000;12.000
22.07.17;12:38:44 PM;7.25;97.410;29.480;39381.000;12.000
22.07.17;12:38:59 PM;7.50;97.260;29.500;39475.000;12.000
22.07.17;12:39:14 PM;7.75;96.500;29.590;39438.000;12.000
22.07.17;12:39:29 PM;8.00;96.360;29.600;39475.000;12.000
22.07.17;12:39:44 PM;8.25;97.100;29.520;39424.000;12.000
22.07.17;12:39:59 PM;8.50;96.910;29.540;39457.000;12.000
22.07.17;12:40:14 PM;8.75;97.450;29.480;39391.000;12.000
22.07.17;12:40:29 PM;9.00;96.610;29.580;39502.000;12.000
22.07.17;12:40:44 PM;9.25;96.820;29.550;39430.000;12.000
22.07.17;12:40:59 PM;9.50;96.880;29.550;39459.000;12.000
22.07.17;12:41:14 PM;9.75;97.430;29.480;39443.000;12.000
22.07.17;12:41:29 PM;10.00;97.360;29.490;39461.000;12.000
22.07.17;12:41:44 PM;10.25;97.110;29.520;39435.000;12.000
22.07.17;12:41:59 PM;10.50;97.450;29.480;39436.000;12.000
22.07.17;12:42:14 PM;10.75;97.480;29.480;39438.000;12.000
22.07.17;12:42:29 PM;11.00;96.310;29.610;39489.000;12.000
22.07.17;12:42:44 PM;11.25;96.900;29.540;39449.000;12.000
22.07.17;12:42:59 PM;11.50;96.830;29.550;39463.000;12.000
22.07.17;12:43:14 PM;11.75;96.770;29.560;39487.000;12.000
22.07.17;12:43:29 PM;12.00;96.520;29.590;39458.000;12.000
22.07.17;12:43:44 PM;12.25;96.570;29.580;39416.000;12.000
22.07.17;12:43:59 PM;12.50;96.890;29.540;39515.000;12.000
22.07.17;12:44:14 PM;12.75;97.050;29.530;39502.000;12.000
22.07.17;12:44:29 PM;13.00;97.180;29.510;39534.000;12.000
22.07.17;12:44:44 PM;13.25;96.520;29.590;39523.000;12.000
22.07.17;12:44:59 PM;13.50;96.260;29.620;39493.000;12.000
22.07.17;12:45:14 PM;13.75;96.420;29.600;39524.000;12.000
22.07.17;12:45:29 PM;14.00;97.080;29.520;39494.000;12.000
22.07.17;12:45:44 PM;14.25;96.860;29.550;39429.000;12.000
22.07.17;12:45:59 PM;14.50;96.880;29.550;39495.000;12.000
22.07.17;12:46:14 PM;14.75;97.370;29.490;39412.000;12.000
22.07.17;12:46:29 PM;15.00;96.820;29.550;39451.000;12.000
22.07.17;12:46:44 PM;15.25;96.740;29.560;39462.000;12.000
22.07.17;12:46:59 PM;15.50;95.850;29.660;39469.000;12.000
22.07.17;12:47:14 PM;15.75;96.540;29.580;39444.000;12.000
22.07.17;12:47:29 PM;16.00;97.480;29.480;39481.000;12.000
22.07.17;12:47:44 PM;16.25;97.130;29.520;39459.000;12.000
22.07.17;12:47:59 PM;16.50;96.810;29.550;39518.000;12.000
22.07.17;12:48:14 PM;16.75;96.760;29.560;39461.000;12.000
22.07.17;12:48:29 PM;17.00;97.390;29.490;39529.000;12.000
22.07.17;12:48:44 PM;17.25;96.810;29.550;39509.000;12.000
22.07.17;12:48:59 PM;17.50;96.610;29.580;39523.000;12.000
