22.07.17/12:31 PM SW ver:OXY10v3_33
Header Ch-7
Description: TBO1-12
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 97811
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
22.07.17;12:31:31 PM;0.00;95.350;29.720;34699.000;12.000
22.07.17;12:31:46 PM;0.25;95.230;29.740;34663.000;12.000
22.07.17;12:32:01 PM;0.50;94.320;29.840;34669.000;12.000
22.07.17;12:32:16 PM;0.75;94.890;29.780;34656.000;12.000
22.07.17;12:32:31 PM;1.00;95.100;29.750;34698.000;12.000
22.07.17;12:32:46 PM;1.25;94.790;29.790;34670.000;12.000
22.07.17;12:33:01 PM;1.50;95.240;29.740;34658.000;12.000
22.07.17;12:33:16 PM;1.75;94.930;29.770;34661.000;12.000
22.07.17;12:33:31 PM;2.00;94.630;29.810;34655.000;12.000
22.07.17;12:33:46 PM;2.25;94.900;29.780;34643.000;12.000
22.07.17;12:34:01 PM;2.50;95.160;29.740;34636.000;12.000
22.07.17;12:34:16 PM;2.75;94.810;29.790;34706.000;12.000
22.07.17;12:34:31 PM;3.00;94.670;29.800;34691.000;12.000
22.07.17;12:34:46 PM;3.25;94.840;29.780;34700.000;12.000
22.07.17;12:35:01 PM;3.50;94.470;29.830;34652.000;12.000
22.07.17;12:35:16 PM;3.75;94.910;29.770;34668.000;12.000
22.07.17;12:35:31 PM;4.00;94.540;29.820;34660.000;12.000
22.07.17;12:35:46 PM;4.25;95.100;29.750;34656.000;12.000
22.07.17;12:36:01 PM;4.50;95.040;29.760;34678.000;12.000
22.07.17;12:36:16 PM;4.75;94.590;29.810;34684.000;12.000
22.07.17;12:36:31 PM;5.00;94.900;29.780;34682.000;12.000
22.07.17;12:36:46 PM;5.25;95.020;29.760;34706.000;12.000
22.07.17;12:37:01 PM;5.50;95.150;29.750;34692.000;12.000
22.07.17;12:37:16 PM;5.75;94.890;29.780;34674.000;12.000
22.07.17;12:37:31 PM;6.00;94.980;29.770;34667.000;12.000
22.07.17;12:37:46 PM;6.25;94.990;29.760;34674.000;12.000
22.07.17;12:38:01 PM;6.50;95.200;29.740;34673.000;12.000
22.07.17;12:38:16 PM;6.75;95.460;29.710;34664.000;12.000
22.07.17;12:38:31 PM;7.00;94.990;29.760;34697.000;12.000
22.07.17;12:38:46 PM;7.25;95.130;29.750;34664.000;12.000
22.07.17;12:39:01 PM;7.50;95.090;29.750;34675.000;12.000
22.07.17;12:39:16 PM;7.75;95.070;29.760;34689.000;12.000
22.07.17;12:39:31 PM;8.00;94.860;29.780;34670.000;12.000
22.07.17;12:39:46 PM;8.25;95.060;29.760;34650.000;12.000
22.07.17;12:40:01 PM;8.50;95.040;29.760;34680.000;12.000
22.07.17;12:40:16 PM;8.75;94.310;29.850;34666.000;12.000
22.07.17;12:40:31 PM;9.00;95.330;29.720;34679.000;12.000
22.07.17;12:40:46 PM;9.25;94.500;29.820;34696.000;12.000
22.07.17;12:41:01 PM;9.50;95.020;29.760;34694.000;12.000
22.07.17;12:41:16 PM;9.75;95.360;29.720;34661.000;12.000
22.07.17;12:41:31 PM;10.00;94.650;29.800;34681.000;12.000
22.07.17;12:41:46 PM;10.25;94.160;29.860;34669.000;12.000
22.07.17;12:42:01 PM;10.50;94.910;29.770;34695.000;12.000
22.07.17;12:42:16 PM;10.75;94.820;29.780;34695.000;12.000
22.07.17;12:42:31 PM;11.00;94.770;29.790;34681.000;12.000
22.07.17;12:42:46 PM;11.25;94.420;29.830;34653.000;12.000
22.07.17;12:43:01 PM;11.50;94.630;29.810;34717.000;12.000
22.07.17;12:43:16 PM;11.75;94.730;29.800;34686.000;12.000
22.07.17;12:43:31 PM;12.00;94.660;29.800;34693.000;12.000
22.07.17;12:43:46 PM;12.25;94.980;29.770;34670.000;12.000
22.07.17;12:44:01 PM;12.50;95.220;29.740;34654.000;12.000
22.07.17;12:44:16 PM;12.75;94.740;29.790;34682.000;12.000
22.07.17;12:44:31 PM;13.00;95.150;29.750;34697.000;12.000
22.07.17;12:44:46 PM;13.25;94.530;29.820;34675.000;12.000
22.07.17;12:45:01 PM;13.50;94.700;29.800;34706.000;12.000
22.07.17;12:45:16 PM;13.75;95.280;29.730;34699.000;12.000
22.07.17;12:45:31 PM;14.00;95.030;29.760;34734.000;12.000
22.07.17;12:45:46 PM;14.25;95.310;29.730;34713.000;12.000
22.07.17;12:46:01 PM;14.50;94.900;29.780;34699.000;12.000
22.07.17;12:46:16 PM;14.75;95.060;29.760;34732.000;12.000
