22.07.17/11:58 AM SW ver:OXY10v3_33
Header Ch-2
Description: DRIFT-12
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 103056
Frequency         : 006
Sending interval  : 0001
Averaging         : 3
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
22.07.17;11:58:05 AM;0.00;96.230;29.620;15408.000;12.000
22.07.17;11:58:06 AM;0.02;96.460;29.590;15426.000;12.000
22.07.17;11:58:21 AM;0.27;95.950;29.650;15424.000;12.000
22.07.17;11:58:36 AM;0.52;96.190;29.620;15416.000;12.000
22.07.17;11:58:51 AM;0.77;96.480;29.590;15399.000;12.000
22.07.17;11:59:06 AM;1.02;96.480;29.590;15390.000;12.000
22.07.17;11:59:21 AM;1.27;96.920;29.540;15403.000;12.000
22.07.17;11:59:36 AM;1.52;96.530;29.590;15379.000;12.000
22.07.17;11:59:51 AM;1.77;97.010;29.530;15375.000;12.000
22.07.17;12:00:06 PM;2.02;97.160;29.510;15377.000;12.000
22.07.17;12:00:21 PM;2.27;96.440;29.600;15359.000;12.000
22.07.17;12:00:36 PM;2.52;96.220;29.620;15369.000;12.000
22.07.17;12:00:51 PM;2.77;97.600;29.460;15375.000;12.000
22.07.17;12:01:06 PM;3.02;97.450;29.480;15369.000;12.000
22.07.17;12:01:21 PM;3.27;95.790;29.670;15376.000;12.000
22.07.17;12:01:36 PM;3.52;96.330;29.610;15382.000;12.000
22.07.17;12:01:51 PM;3.77;96.710;29.560;15379.000;12.000
22.07.17;12:02:06 PM;4.02;97.090;29.520;15371.000;12.000
22.07.17;12:02:21 PM;4.27;96.970;29.530;15371.000;12.000
22.07.17;12:02:36 PM;4.52;96.470;29.590;15389.000;12.000
22.07.17;12:02:51 PM;4.77;97.240;29.500;15383.000;12.000
22.07.17;12:03:06 PM;5.02;97.010;29.530;15376.000;12.000
22.07.17;12:03:21 PM;5.27;96.400;29.600;15385.000;12.000
22.07.17;12:03:36 PM;5.52;97.150;29.510;15382.000;12.000
22.07.17;12:03:51 PM;5.77;96.660;29.570;15373.000;12.000
22.07.17;12:04:06 PM;6.02;97.080;29.520;15355.000;12.000
22.07.17;12:04:21 PM;6.27;96.450;29.590;15347.000;12.000
22.07.17;12:04:36 PM;6.52;96.390;29.600;15387.000;12.000
22.07.17;12:04:51 PM;6.77;97.130;29.520;15369.000;12.000
22.07.17;12:05:06 PM;7.02;95.600;29.690;15369.000;12.000
22.07.17;12:05:21 PM;7.27;97.120;29.520;15352.000;12.000
22.07.17;12:05:36 PM;7.52;96.500;29.590;15357.000;12.000
22.07.17;12:05:51 PM;7.77;96.280;29.610;15358.000;12.000
22.07.17;12:06:06 PM;8.02;97.020;29.530;15342.000;12.000
22.07.17;12:06:21 PM;8.27;96.740;29.560;15369.000;12.000
22.07.17;12:06:36 PM;8.52;96.130;29.630;15376.000;12.000
22.07.17;12:06:51 PM;8.77;97.100;29.520;15352.000;12.000
22.07.17;12:07:06 PM;9.02;96.600;29.580;15353.000;12.000
22.07.17;12:07:21 PM;9.27;96.880;29.540;15373.000;12.000
22.07.17;12:07:36 PM;9.52;97.190;29.510;15346.000;12.000
22.07.17;12:07:51 PM;9.77;96.870;29.550;15345.000;12.000
22.07.17;12:08:06 PM;10.02;96.550;29.580;15373.000;12.000
22.07.17;12:08:21 PM;10.27;96.620;29.570;15351.000;12.000
