22.07.17/11:58 AM SW ver:OXY10v3_33
Header Ch-5
Description: TBE8-12
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 104658
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
22.07.17;11:58:04 AM;0.00;94.740;29.790;49325.000;12.000
22.07.17;11:58:07 AM;0.04;94.520;29.820;49263.000;12.000
22.07.17;11:58:12 AM;0.13;94.140;29.870;49275.000;12.000
22.07.17;11:58:27 AM;0.38;94.460;29.830;49302.000;12.000
22.07.17;11:58:42 AM;0.63;94.740;29.790;49295.000;12.000
22.07.17;11:58:57 AM;0.88;94.580;29.810;49297.000;12.000
22.07.17;11:59:12 AM;1.13;94.750;29.790;49285.000;12.000
22.07.17;11:59:27 AM;1.37;94.440;29.830;49263.000;12.000
22.07.17;11:59:42 AM;1.62;94.460;29.830;49293.000;12.000
22.07.17;11:59:57 AM;1.88;94.550;29.820;49270.000;12.000
22.07.17;12:00:12 PM;2.13;94.520;29.820;49292.000;12.000
22.07.17;12:00:27 PM;2.38;94.520;29.820;49282.000;12.000
22.07.17;12:00:42 PM;2.62;94.630;29.810;49275.000;12.000
22.07.17;12:00:57 PM;2.87;94.390;29.840;49274.000;12.000
22.07.17;12:01:12 PM;3.12;94.570;29.810;49276.000;12.000
22.07.17;12:01:27 PM;3.37;94.590;29.810;49260.000;12.000
22.07.17;12:01:42 PM;3.62;94.500;29.820;49294.000;12.000
22.07.17;12:01:57 PM;3.88;94.340;29.840;49274.000;12.000
22.07.17;12:02:12 PM;4.13;94.660;29.800;49288.000;12.000
22.07.17;12:02:27 PM;4.37;94.410;29.830;49260.000;12.000
22.07.17;12:02:42 PM;4.63;94.280;29.850;49265.000;12.000
22.07.17;12:02:57 PM;4.88;94.430;29.830;49264.000;12.000
22.07.17;12:03:12 PM;5.13;94.480;29.830;49275.000;12.000
22.07.17;12:03:27 PM;5.37;94.590;29.810;49281.000;12.000
22.07.17;12:03:42 PM;5.63;94.350;29.840;49280.000;12.000
22.07.17;12:03:57 PM;5.88;94.280;29.850;49291.000;12.000
22.07.17;12:04:12 PM;6.13;94.270;29.850;49278.000;12.000
22.07.17;12:04:27 PM;6.38;94.550;29.820;49273.000;12.000
22.07.17;12:04:42 PM;6.63;94.470;29.830;49275.000;12.000
22.07.17;12:04:57 PM;6.88;94.650;29.800;49263.000;12.000
22.07.17;12:05:12 PM;7.13;94.100;29.870;49290.000;12.000
22.07.17;12:05:27 PM;7.38;94.320;29.840;49280.000;12.000
22.07.17;12:05:42 PM;7.62;94.180;29.860;49299.000;12.000
22.07.17;12:05:57 PM;7.87;94.240;29.850;49311.000;12.000
22.07.17;12:06:12 PM;8.12;94.060;29.870;49254.000;12.000
22.07.17;12:06:27 PM;8.37;94.320;29.840;49274.000;12.000
22.07.17;12:06:42 PM;8.62;94.070;29.870;49238.000;12.000
22.07.17;12:06:57 PM;8.88;94.080;29.870;49239.000;12.000
22.07.17;12:07:12 PM;9.13;94.020;29.880;49263.000;12.000
22.07.17;12:07:27 PM;9.38;94.000;29.880;49249.000;12.000
22.07.17;12:07:42 PM;9.63;94.260;29.850;49267.000;12.000
22.07.17;12:07:57 PM;9.88;94.180;29.860;49246.000;12.000
22.07.17;12:08:12 PM;10.13;94.210;29.860;49280.000;12.000
22.07.17;12:08:27 PM;10.38;94.140;29.870;49263.000;12.000
22.07.17;12:08:42 PM;10.63;94.040;29.880;49287.000;12.000
22.07.17;12:08:57 PM;10.88;94.040;29.880;49256.000;12.000
22.07.17;12:09:12 PM;11.12;94.080;29.870;49293.000;12.000
22.07.17;12:09:27 PM;11.38;94.080;29.870;49273.000;12.000
22.07.17;12:09:42 PM;11.63;94.020;29.880;49288.000;12.000
22.07.17;12:09:57 PM;11.87;94.130;29.870;49291.000;12.000
22.07.17;12:10:12 PM;12.13;94.000;29.880;49300.000;12.000
22.07.17;12:10:27 PM;12.38;94.090;29.870;49296.000;12.000
22.07.17;12:10:42 PM;12.62;94.180;29.860;49299.000;12.000
22.07.17;12:10:57 PM;12.88;94.150;29.860;49251.000;12.000
22.07.17;12:11:12 PM;13.13;94.030;29.880;49313.000;12.000
22.07.17;12:11:27 PM;13.38;93.940;29.890;49291.000;12.000
22.07.17;12:11:42 PM;13.63;93.960;29.890;49296.000;12.000
22.07.17;12:11:57 PM;13.88;93.830;29.900;49321.000;12.000
22.07.17;12:12:12 PM;14.13;94.050;29.880;49312.000;12.000
22.07.17;12:12:27 PM;14.37;93.700;29.920;49301.000;12.000
22.07.17;12:12:42 PM;14.63;93.780;29.910;49290.000;12.000
22.07.17;12:12:57 PM;14.88;93.670;29.920;49291.000;12.000
22.07.17;12:13:12 PM;15.13;93.970;29.890;49307.000;12.000
22.07.17;12:13:27 PM;15.38;93.830;29.900;49287.000;12.000
22.07.17;12:13:42 PM;15.63;93.830;29.900;49268.000;12.000
22.07.17;12:13:57 PM;15.88;94.160;29.860;49276.000;12.000
22.07.17;12:14:12 PM;16.13;94.050;29.880;49291.000;12.000
22.07.17;12:14:27 PM;16.38;93.710;29.920;49276.000;12.000
22.07.17;12:14:42 PM;16.62;93.840;29.900;49268.000;12.000
22.07.17;12:14:57 PM;16.88;93.830;29.900;49298.000;12.000
22.07.17;12:15:12 PM;17.13;93.790;29.910;49266.000;12.000
22.07.17;12:15:27 PM;17.38;94.040;29.880;49297.000;12.000
22.07.17;12:15:42 PM;17.63;93.510;29.940;49256.000;12.000
22.07.17;12:15:57 PM;17.88;93.700;29.920;49293.000;12.000
22.07.17;12:16:12 PM;18.13;93.740;29.910;49274.000;12.000
22.07.17;12:16:27 PM;18.38;93.710;29.920;49280.000;12.000
22.07.17;12:16:42 PM;18.63;93.870;29.900;49285.000;12.000
22.07.17;12:16:57 PM;18.88;93.560;29.930;49243.000;12.000
22.07.17;12:17:12 PM;19.12;93.490;29.940;49267.000;12.000
22.07.17;12:17:27 PM;19.37;93.810;29.900;49266.000;12.000
22.07.17;12:17:42 PM;19.63;93.660;29.920;49314.000;12.000
22.07.17;12:17:57 PM;19.87;93.620;29.930;49317.000;12.000
