22.07.17/10:51 AM SW ver:OXY10v3_33
Header Ch-5
Description: TBE8-15
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 104658
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
22.07.17;10:51:35 AM;0.00;94.200;29.270;48304.000;15.000
22.07.17;10:51:44 AM;0.14;94.530;29.230;48320.000;15.000
22.07.17;10:51:59 AM;0.39;94.690;29.210;48359.000;15.000
22.07.17;10:52:14 AM;0.64;94.460;29.240;48337.000;15.000
22.07.17;10:52:29 AM;0.89;94.440;29.240;48319.000;15.000
22.07.17;10:52:44 AM;1.14;94.610;29.220;48321.000;15.000
22.07.17;10:52:59 AM;1.39;94.250;29.260;48353.000;15.000
22.07.17;10:53:14 AM;1.64;94.300;29.250;48306.000;15.000
22.07.17;10:53:29 AM;1.89;94.420;29.240;48332.000;15.000
22.07.17;10:53:44 AM;2.14;93.940;29.300;48319.000;15.000
22.07.17;10:53:59 AM;2.39;94.390;29.240;48360.000;15.000
22.07.17;10:54:14 AM;2.64;94.320;29.250;48341.000;15.000
22.07.17;10:54:29 AM;2.89;94.100;29.280;48383.000;15.000
22.07.17;10:54:44 AM;3.14;94.310;29.250;48371.000;15.000
22.07.17;10:54:59 AM;3.39;94.470;29.230;48364.000;15.000
22.07.17;10:55:14 AM;3.64;94.020;29.290;48359.000;15.000
22.07.17;10:55:29 AM;3.89;94.220;29.260;48381.000;15.000
22.07.17;10:55:44 AM;4.14;94.340;29.250;48385.000;15.000
22.07.17;10:55:59 AM;4.39;94.560;29.220;48381.000;15.000
22.07.17;10:56:14 AM;4.64;94.020;29.290;48338.000;15.000
22.07.17;10:56:29 AM;4.89;94.160;29.270;48350.000;15.000
22.07.17;10:56:44 AM;5.14;93.770;29.320;48304.000;15.000
22.07.17;10:56:59 AM;5.39;94.210;29.260;48317.000;15.000
22.07.17;10:57:14 AM;5.64;94.230;29.260;48310.000;15.000
22.07.17;10:57:29 AM;5.89;94.590;29.220;48349.000;15.000
22.07.17;10:57:44 AM;6.14;93.870;29.300;48342.000;15.000
22.07.17;10:57:59 AM;6.39;93.980;29.290;48321.000;15.000
22.07.17;10:58:14 AM;6.64;94.210;29.260;48327.000;15.000
