22.07.17/10:51 AM SW ver:OXY10v3_33
Header Ch-6
Description: WWI4-15
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 102067
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
22.07.17;10:51:36 AM;0.00;96.750;28.970;38405.000;15.000
22.07.17;10:51:45 AM;0.16;97.510;28.880;38439.000;15.000
22.07.17;10:52:01 AM;0.41;97.260;28.910;38397.000;15.000
22.07.17;10:52:16 AM;0.66;96.270;29.030;38388.000;15.000
22.07.17;10:52:31 AM;0.91;97.310;28.910;38413.000;15.000
22.07.17;10:52:46 AM;1.16;97.130;28.930;38383.000;15.000
22.07.17;10:53:01 AM;1.41;97.570;28.880;38387.000;15.000
22.07.17;10:53:15 AM;1.66;97.590;28.880;38372.000;15.000
22.07.17;10:53:30 AM;1.91;97.840;28.850;38361.000;15.000
22.07.17;10:53:45 AM;2.16;97.430;28.890;38419.000;15.000
22.07.17;10:54:01 AM;2.41;97.680;28.870;38377.000;15.000
22.07.17;10:54:16 AM;2.66;97.330;28.910;38389.000;15.000
22.07.17;10:54:30 AM;2.91;96.780;28.970;38397.000;15.000
22.07.17;10:54:45 AM;3.16;97.610;28.870;38439.000;15.000
22.07.17;10:55:00 AM;3.41;96.610;28.990;38391.000;15.000
22.07.17;10:55:16 AM;3.66;96.400;29.010;38364.000;15.000
22.07.17;10:55:30 AM;3.91;96.660;28.980;38412.000;15.000
22.07.17;10:55:45 AM;4.16;98.140;28.810;38406.000;15.000
22.07.17;10:56:00 AM;4.41;96.950;28.950;38432.000;15.000
22.07.17;10:56:15 AM;4.66;97.670;28.870;38411.000;15.000
22.07.17;10:56:30 AM;4.91;96.830;28.960;38375.000;15.000
22.07.17;10:56:45 AM;5.16;96.830;28.960;38416.000;15.000
22.07.17;10:57:00 AM;5.41;97.660;28.870;38439.000;15.000
22.07.17;10:57:15 AM;5.66;96.810;28.960;38390.000;15.000
22.07.17;10:57:31 AM;5.91;97.120;28.930;38401.000;15.000
22.07.17;10:57:46 AM;6.16;97.660;28.870;38416.000;15.000
22.07.17;10:58:00 AM;6.41;97.310;28.910;38384.000;15.000
22.07.17;10:58:16 AM;6.66;97.300;28.910;38407.000;15.000
22.07.17;10:58:31 AM;6.91;96.990;28.940;38418.000;15.000
22.07.17;10:58:45 AM;7.16;97.270;28.910;38432.000;15.000
22.07.17;10:59:01 AM;7.41;97.450;28.890;38391.000;15.000
22.07.17;10:59:15 AM;7.66;96.420;29.010;38432.000;15.000
22.07.17;10:59:31 AM;7.91;97.070;28.930;38382.000;15.000
22.07.17;10:59:45 AM;8.16;96.640;28.980;38418.000;15.000
22.07.17;11:00:01 AM;8.41;97.510;28.890;38433.000;15.000
22.07.17;11:00:15 AM;8.66;96.380;29.010;38410.000;15.000
22.07.17;11:00:31 AM;8.91;97.100;28.930;38468.000;15.000
22.07.17;11:00:46 AM;9.16;97.590;28.880;38407.000;15.000
22.07.17;11:01:01 AM;9.41;96.630;28.980;38486.000;15.000
22.07.17;11:01:16 AM;9.66;97.050;28.940;38429.000;15.000
22.07.17;11:01:30 AM;9.91;96.110;29.040;38422.000;15.000
22.07.17;11:01:45 AM;10.16;96.830;28.960;38402.000;15.000
22.07.17;11:02:00 AM;10.41;97.330;28.910;38433.000;15.000
22.07.17;11:02:16 AM;10.66;96.970;28.950;38419.000;15.000
22.07.17;11:02:30 AM;10.91;97.190;28.920;38465.000;15.000
22.07.17;11:02:46 AM;11.16;97.110;28.930;38494.000;15.000
22.07.17;11:03:00 AM;11.41;96.910;28.950;38422.000;15.000
22.07.17;11:03:15 AM;11.66;96.750;28.970;38426.000;15.000
22.07.17;11:03:31 AM;11.91;97.350;28.900;38447.000;15.000
22.07.17;11:03:45 AM;12.16;97.200;28.920;38457.000;15.000
22.07.17;11:04:00 AM;12.41;96.750;28.970;38477.000;15.000
22.07.17;11:04:15 AM;12.66;97.320;28.910;38467.000;15.000
22.07.17;11:04:31 AM;12.91;96.680;28.980;38482.000;15.000
22.07.17;11:04:46 AM;13.16;96.580;28.990;38462.000;15.000
22.07.17;11:05:00 AM;13.41;95.720;29.090;38479.000;15.000
22.07.17;11:05:16 AM;13.66;96.230;29.030;38457.000;15.000
22.07.17;11:05:31 AM;13.91;97.330;28.910;38468.000;15.000
22.07.17;11:05:45 AM;14.16;96.790;28.970;38457.000;15.000
22.07.17;11:06:01 AM;14.41;96.230;29.030;38469.000;15.000
22.07.17;11:06:15 AM;14.66;96.070;29.050;38515.000;15.000
22.07.17;11:06:31 AM;14.91;97.010;28.940;38475.000;15.000
22.07.17;11:06:46 AM;15.16;96.950;28.950;38486.000;15.000
22.07.17;11:07:00 AM;15.41;96.210;29.030;38508.000;15.000
22.07.17;11:07:15 AM;15.66;96.330;29.020;38505.000;15.000
22.07.17;11:07:31 AM;15.91;96.320;29.020;38518.000;15.000
22.07.17;11:07:46 AM;16.16;97.370;28.900;38530.000;15.000
