22.07.17/10:19 AM SW ver:OXY10v3_33
Header Ch-10
Description: TWD5-15
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 101778
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
22.07.17;10:19:32 AM;0.00;95.800;29.080;44085.000;15.000
22.07.17;10:19:38 AM;0.11;95.960;29.060;44090.000;15.000
22.07.17;10:19:53 AM;0.36;95.820;29.080;44076.000;15.000
22.07.17;10:20:08 AM;0.61;95.990;29.060;44077.000;15.000
22.07.17;10:20:24 AM;0.86;95.700;29.090;44046.000;15.000
22.07.17;10:20:38 AM;1.11;95.720;29.090;44102.000;15.000
22.07.17;10:20:53 AM;1.36;95.920;29.070;44050.000;15.000
22.07.17;10:21:09 AM;1.61;95.900;29.070;44083.000;15.000
22.07.17;10:21:24 AM;1.86;95.760;29.080;44043.000;15.000
22.07.17;10:21:38 AM;2.11;96.090;29.050;44080.000;15.000
22.07.17;10:21:54 AM;2.36;95.940;29.060;44070.000;15.000
22.07.17;10:22:08 AM;2.61;95.600;29.100;44073.000;15.000
22.07.17;10:22:23 AM;2.86;95.950;29.060;44053.000;15.000
22.07.17;10:22:39 AM;3.11;95.910;29.070;44060.000;15.000
22.07.17;10:22:53 AM;3.36;96.310;29.020;44087.000;15.000
22.07.17;10:23:08 AM;3.61;96.010;29.060;44053.000;15.000
22.07.17;10:23:23 AM;3.86;95.900;29.070;44049.000;15.000
22.07.17;10:23:39 AM;4.11;95.940;29.060;44058.000;15.000
22.07.17;10:23:54 AM;4.36;95.990;29.060;44082.000;15.000
22.07.17;10:24:08 AM;4.61;96.070;29.050;44038.000;15.000
22.07.17;10:24:24 AM;4.86;95.920;29.070;44059.000;15.000
22.07.17;10:24:38 AM;5.11;95.640;29.100;44046.000;15.000
22.07.17;10:24:53 AM;5.36;95.790;29.080;44098.000;15.000
22.07.17;10:25:09 AM;5.61;96.130;29.040;44075.000;15.000
22.07.17;10:25:23 AM;5.86;95.700;29.090;44070.000;15.000
22.07.17;10:25:38 AM;6.11;95.700;29.090;44064.000;15.000
22.07.17;10:25:53 AM;6.36;95.700;29.090;44040.000;15.000
22.07.17;10:26:08 AM;6.61;95.950;29.060;44060.000;15.000
22.07.17;10:26:23 AM;6.86;95.750;29.090;44042.000;15.000
22.07.17;10:26:38 AM;7.11;95.570;29.110;44041.000;15.000
22.07.17;10:26:53 AM;7.36;95.720;29.090;44045.000;15.000
22.07.17;10:27:09 AM;7.61;95.710;29.090;44051.000;15.000
22.07.17;10:27:24 AM;7.86;95.820;29.080;44067.000;15.000
22.07.17;10:27:38 AM;8.11;95.940;29.060;44053.000;15.000
