22.07.17/10:19 AM SW ver:OXY10v3_33
Header Ch-4
Description: WBG2-15
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 99812
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
22.07.17;10:19:30 AM;0.00;94.800;29.200;38556.000;15.000
22.07.17;10:19:42 AM;0.20;95.070;29.160;38556.000;15.000
22.07.17;10:19:57 AM;0.45;94.530;29.230;38558.000;15.000
22.07.17;10:20:12 AM;0.70;94.490;29.230;38547.000;15.000
22.07.17;10:20:27 AM;0.95;94.910;29.180;38546.000;15.000
22.07.17;10:20:42 AM;1.20;95.040;29.170;38539.000;15.000
22.07.17;10:20:57 AM;1.45;94.790;29.200;38578.000;15.000
22.07.17;10:21:12 AM;1.70;95.070;29.160;38541.000;15.000
22.07.17;10:21:27 AM;1.95;95.090;29.160;38561.000;15.000
22.07.17;10:21:42 AM;2.20;94.450;29.240;38562.000;15.000
22.07.17;10:21:57 AM;2.45;94.840;29.190;38560.000;15.000
22.07.17;10:22:12 AM;2.70;94.780;29.200;38580.000;15.000
22.07.17;10:22:27 AM;2.95;94.980;29.170;38563.000;15.000
22.07.17;10:22:42 AM;3.20;94.790;29.200;38571.000;15.000
22.07.17;10:22:57 AM;3.45;94.810;29.190;38567.000;15.000
22.07.17;10:23:12 AM;3.70;94.350;29.250;38597.000;15.000
22.07.17;10:23:27 AM;3.95;95.020;29.170;38597.000;15.000
22.07.17;10:23:42 AM;4.20;94.340;29.250;38568.000;15.000
22.07.17;10:23:57 AM;4.45;94.550;29.220;38606.000;15.000
22.07.17;10:24:12 AM;4.70;94.680;29.210;38559.000;15.000
22.07.17;10:24:27 AM;4.95;94.450;29.240;38606.000;15.000
22.07.17;10:24:42 AM;5.20;94.480;29.230;38582.000;15.000
22.07.17;10:24:57 AM;5.45;94.720;29.200;38612.000;15.000
22.07.17;10:25:12 AM;5.70;94.920;29.180;38612.000;15.000
22.07.17;10:25:27 AM;5.95;94.610;29.220;38600.000;15.000
22.07.17;10:25:42 AM;6.20;94.180;29.270;38610.000;15.000
22.07.17;10:25:57 AM;6.45;94.250;29.260;38601.000;15.000
22.07.17;10:26:12 AM;6.70;94.660;29.210;38625.000;15.000
22.07.17;10:26:27 AM;6.95;94.540;29.230;38601.000;15.000
22.07.17;10:26:42 AM;7.20;94.540;29.230;38608.000;15.000
22.07.17;10:26:57 AM;7.45;94.510;29.230;38612.000;15.000
22.07.17;10:27:12 AM;7.70;94.450;29.240;38627.000;15.000
22.07.17;10:27:27 AM;7.95;94.380;29.240;38627.000;15.000
22.07.17;10:27:42 AM;8.20;94.440;29.240;38633.000;15.000
22.07.17;10:27:57 AM;8.45;94.460;29.240;38607.000;15.000
22.07.17;10:28:12 AM;8.70;94.440;29.240;38647.000;15.000
22.07.17;10:28:27 AM;8.95;94.600;29.220;38639.000;15.000
22.07.17;10:28:42 AM;9.20;95.000;29.170;38640.000;15.000
22.07.17;10:28:57 AM;9.45;94.570;29.220;38628.000;15.000
22.07.17;10:29:12 AM;9.70;94.450;29.240;38638.000;15.000
22.07.17;10:29:27 AM;9.95;94.660;29.210;38633.000;15.000
22.07.17;10:29:42 AM;10.20;94.250;29.260;38694.000;15.000
22.07.17;10:29:57 AM;10.45;94.380;29.240;38651.000;15.000
22.07.17;10:30:12 AM;10.70;94.680;29.210;38655.000;15.000
22.07.17;10:30:27 AM;10.95;94.420;29.240;38631.000;15.000
22.07.17;10:30:42 AM;11.20;94.460;29.240;38623.000;15.000
22.07.17;10:30:57 AM;11.45;94.250;29.260;38668.000;15.000
22.07.17;10:31:12 AM;11.70;94.120;29.280;38691.000;15.000
22.07.17;10:31:27 AM;11.95;94.070;29.280;38670.000;15.000
22.07.17;10:31:42 AM;12.20;94.310;29.250;38687.000;15.000
22.07.17;10:31:57 AM;12.45;94.260;29.260;38707.000;15.000
22.07.17;10:32:12 AM;12.70;94.330;29.250;38712.000;15.000
22.07.17;10:32:27 AM;12.95;94.460;29.240;38676.000;15.000
22.07.17;10:32:42 AM;13.20;94.320;29.250;38706.000;15.000
22.07.17;10:32:57 AM;13.45;94.230;29.260;38706.000;15.000
22.07.17;10:33:12 AM;13.70;93.930;29.300;38695.000;15.000
22.07.17;10:33:27 AM;13.95;94.620;29.220;38740.000;15.000
22.07.17;10:33:42 AM;14.20;94.250;29.260;38695.000;15.000
22.07.17;10:33:57 AM;14.45;94.020;29.290;38700.000;15.000
22.07.17;10:34:12 AM;14.70;93.770;29.320;38757.000;15.000
22.07.17;10:34:27 AM;14.95;93.980;29.290;38716.000;15.000
22.07.17;10:34:42 AM;15.20;94.140;29.270;38739.000;15.000
22.07.17;10:34:57 AM;15.45;94.480;29.230;38740.000;15.000
22.07.17;10:35:12 AM;15.70;94.030;29.290;38722.000;15.000
22.07.17;10:35:27 AM;15.95;94.140;29.270;38737.000;15.000
22.07.17;10:35:42 AM;16.20;93.900;29.300;38707.000;15.000
22.07.17;10:35:57 AM;16.45;93.940;29.300;38732.000;15.000
22.07.17;10:36:12 AM;16.70;94.330;29.250;38730.000;15.000
22.07.17;10:36:27 AM;16.95;93.600;29.340;38780.000;15.000
22.07.17;10:36:42 AM;17.20;93.970;29.290;38752.000;15.000
22.07.17;10:36:57 AM;17.45;93.450;29.350;38729.000;15.000
22.07.17;10:37:12 AM;17.70;93.770;29.320;38783.000;15.000
22.07.17;10:37:27 AM;17.95;94.040;29.280;38798.000;15.000
22.07.17;10:37:42 AM;18.20;93.690;29.330;38786.000;15.000
22.07.17;10:37:57 AM;18.45;93.900;29.300;38770.000;15.000
22.07.17;10:38:12 AM;18.70;93.640;29.330;38776.000;15.000
22.07.17;10:38:27 AM;18.95;93.960;29.290;38794.000;15.000
22.07.17;10:38:42 AM;19.20;93.310;29.370;38767.000;15.000
22.07.17;10:38:57 AM;19.45;94.120;29.280;38800.000;15.000
22.07.17;10:39:12 AM;19.70;93.540;29.340;38765.000;15.000
