22.07.17/9:12 AM SW ver:OXY10v3_33
Header Ch-10
Description: TWD5-18
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 101778
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
22.07.17;9:12:28 AM;0.00;95.170;28.580;43032.000;18.000
22.07.17;9:12:42 AM;0.23;95.560;28.540;42933.000;18.000
22.07.17;9:12:57 AM;0.48;95.700;28.520;42945.000;18.000
22.07.17;9:13:12 AM;0.73;95.530;28.540;42985.000;18.000
22.07.17;9:13:27 AM;0.98;95.490;28.540;43010.000;18.000
22.07.17;9:13:42 AM;1.23;95.370;28.560;43016.000;18.000
22.07.17;9:13:57 AM;1.48;95.490;28.540;42996.000;18.000
22.07.17;9:14:12 AM;1.73;95.520;28.540;43017.000;18.000
22.07.17;9:14:27 AM;1.98;95.300;28.570;43000.000;18.000
22.07.17;9:14:42 AM;2.23;96.390;28.440;42980.000;18.000
22.07.17;9:14:57 AM;2.48;96.080;28.480;42991.000;18.000
22.07.17;9:15:12 AM;2.73;95.640;28.530;42992.000;18.000
22.07.17;9:15:27 AM;2.98;95.120;28.590;43046.000;18.000
22.07.17;9:15:42 AM;3.23;95.870;28.500;42994.000;18.000
22.07.17;9:15:57 AM;3.48;95.810;28.510;43018.000;18.000
22.07.17;9:16:12 AM;3.73;95.450;28.550;43008.000;18.000
22.07.17;9:16:27 AM;3.98;95.310;28.560;42994.000;18.000
22.07.17;9:16:42 AM;4.23;95.450;28.550;42991.000;18.000
22.07.17;9:16:57 AM;4.48;95.260;28.570;42981.000;18.000
22.07.17;9:17:12 AM;4.73;95.390;28.550;42994.000;18.000
22.07.17;9:17:27 AM;4.98;95.610;28.530;43029.000;18.000
22.07.17;9:17:42 AM;5.23;95.690;28.520;43028.000;18.000
22.07.17;9:17:57 AM;5.48;95.150;28.580;43032.000;18.000
22.07.17;9:18:12 AM;5.73;95.480;28.540;43011.000;18.000
22.07.17;9:18:27 AM;5.98;95.240;28.570;43003.000;18.000
22.07.17;9:18:42 AM;6.23;95.320;28.560;42993.000;18.000
22.07.17;9:18:57 AM;6.48;95.110;28.590;43019.000;18.000
22.07.17;9:19:12 AM;6.73;95.660;28.520;43017.000;18.000
22.07.17;9:19:27 AM;6.98;96.070;28.480;43017.000;18.000
22.07.17;9:19:42 AM;7.23;95.570;28.530;43009.000;18.000
22.07.17;9:19:57 AM;7.48;95.550;28.540;43041.000;18.000
22.07.17;9:20:12 AM;7.73;95.650;28.530;43029.000;18.000
22.07.17;9:20:27 AM;7.98;95.460;28.550;43017.000;18.000
22.07.17;9:20:42 AM;8.23;95.420;28.550;43036.000;18.000
22.07.17;9:20:57 AM;8.48;95.170;28.580;43003.000;18.000
22.07.17;9:21:12 AM;8.73;95.550;28.540;43059.000;18.000
22.07.17;9:21:27 AM;8.98;95.620;28.530;43031.000;18.000
22.07.17;9:21:42 AM;9.23;95.060;28.590;43031.000;18.000
22.07.17;9:21:57 AM;9.48;95.470;28.550;43106.000;18.000
22.07.17;9:22:12 AM;9.73;94.980;28.600;43072.000;18.000
22.07.17;9:22:27 AM;9.98;95.180;28.580;43072.000;18.000
22.07.17;9:22:42 AM;10.23;95.240;28.570;43115.000;18.000
22.07.17;9:22:57 AM;10.48;95.230;28.570;43064.000;18.000
22.07.17;9:23:12 AM;10.73;94.750;28.630;43125.000;18.000
22.07.17;9:23:27 AM;10.98;95.100;28.590;43101.000;18.000
22.07.17;9:23:42 AM;11.23;95.520;28.540;43099.000;18.000
22.07.17;9:23:57 AM;11.48;95.440;28.550;43058.000;18.000
22.07.17;9:24:12 AM;11.73;95.010;28.600;43095.000;18.000
22.07.17;9:24:27 AM;11.98;95.310;28.560;43103.000;18.000
22.07.17;9:24:42 AM;12.23;95.210;28.580;43094.000;18.000
22.07.17;9:24:57 AM;12.48;95.310;28.560;43087.000;18.000
22.07.17;9:25:12 AM;12.73;95.520;28.540;43084.000;18.000
22.07.17;9:25:27 AM;12.98;95.100;28.590;43140.000;18.000
22.07.17;9:25:42 AM;13.23;95.260;28.570;43127.000;18.000
22.07.17;9:25:57 AM;13.48;94.940;28.610;43125.000;18.000
22.07.17;9:26:12 AM;13.73;95.430;28.550;43137.000;18.000
22.07.17;9:26:27 AM;13.98;95.350;28.560;43114.000;18.000
22.07.17;9:26:42 AM;14.23;94.940;28.610;43135.000;18.000
22.07.17;9:26:57 AM;14.48;95.290;28.570;43152.000;18.000
22.07.17;9:27:12 AM;14.73;95.460;28.550;43153.000;18.000
22.07.17;9:27:27 AM;14.98;94.840;28.620;43114.000;18.000
22.07.17;9:27:42 AM;15.23;95.290;28.570;43098.000;18.000
22.07.17;9:27:57 AM;15.48;95.160;28.580;43135.000;18.000
22.07.17;9:28:12 AM;15.73;95.170;28.580;43116.000;18.000
22.07.17;9:28:27 AM;15.98;94.920;28.610;43120.000;18.000
22.07.17;9:28:42 AM;16.23;95.600;28.530;43116.000;18.000
22.07.17;9:28:57 AM;16.48;95.130;28.580;43196.000;18.000
22.07.17;9:29:12 AM;16.73;94.730;28.630;43086.000;18.000
22.07.17;9:29:27 AM;16.98;95.130;28.580;43158.000;18.000
22.07.17;9:29:42 AM;17.23;95.320;28.560;43162.000;18.000
22.07.17;9:29:57 AM;17.48;95.190;28.580;43174.000;18.000
22.07.17;9:30:12 AM;17.73;94.800;28.620;43060.000;18.000
22.07.17;9:30:27 AM;17.98;95.380;28.560;43157.000;18.000
22.07.17;9:30:42 AM;18.23;95.150;28.580;43177.000;18.000
22.07.17;9:30:57 AM;18.48;95.700;28.520;43200.000;18.000
22.07.17;9:31:12 AM;18.73;94.710;28.630;43161.000;18.000
22.07.17;9:31:27 AM;18.98;95.100;28.590;43181.000;18.000
22.07.17;9:31:42 AM;19.23;94.790;28.620;43213.000;18.000
22.07.17;9:31:57 AM;19.48;94.770;28.630;43139.000;18.000
22.07.17;9:32:12 AM;19.73;94.940;28.610;43190.000;18.000
22.07.17;9:32:27 AM;19.98;94.950;28.610;43160.000;18.000
22.07.17;9:32:42 AM;20.23;94.690;28.640;43216.000;18.000
22.07.17;9:32:57 AM;20.48;94.540;28.650;43208.000;18.000
