22.07.17/8:38 AM SW ver:OXY10v3_33
Header Ch-3
Description: WWC4-18
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 105992
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
22.07.17;8:38:52 AM;0.00;94.460;28.660;35109.000;18.000
22.07.17;8:38:53 AM;0.02;94.200;28.690;35105.000;18.000
22.07.17;8:39:07 AM;0.24;94.260;28.680;35129.000;18.000
22.07.17;8:39:22 AM;0.49;94.820;28.620;35094.000;18.000
22.07.17;8:39:37 AM;0.74;94.880;28.610;35078.000;18.000
22.07.17;8:39:52 AM;0.99;94.150;28.700;35091.000;18.000
22.07.17;8:40:07 AM;1.24;94.580;28.650;35096.000;18.000
22.07.17;8:40:22 AM;1.49;94.700;28.630;35121.000;18.000
22.07.17;8:40:37 AM;1.74;94.710;28.630;35076.000;18.000
22.07.17;8:40:52 AM;1.99;94.410;28.670;35082.000;18.000
22.07.17;8:41:07 AM;2.24;94.640;28.640;35079.000;18.000
22.07.17;8:41:22 AM;2.49;94.690;28.640;35099.000;18.000
22.07.17;8:41:37 AM;2.74;94.650;28.640;35076.000;18.000
22.07.17;8:41:52 AM;2.99;94.310;28.680;35087.000;18.000
22.07.17;8:42:07 AM;3.24;94.690;28.640;35072.000;18.000
22.07.17;8:42:22 AM;3.49;94.890;28.610;35077.000;18.000
22.07.17;8:42:37 AM;3.74;94.580;28.650;35091.000;18.000
22.07.17;8:42:52 AM;3.99;94.200;28.690;35095.000;18.000
22.07.17;8:43:07 AM;4.24;94.120;28.700;35069.000;18.000
22.07.17;8:43:22 AM;4.49;94.200;28.690;35098.000;18.000
22.07.17;8:43:37 AM;4.74;94.150;28.700;35101.000;18.000
22.07.17;8:43:52 AM;4.99;94.560;28.650;35089.000;18.000
22.07.17;8:44:07 AM;5.24;94.810;28.620;35097.000;18.000
22.07.17;8:44:22 AM;5.49;94.380;28.670;35066.000;18.000
22.07.17;8:44:37 AM;5.74;94.170;28.700;35017.000;18.000
22.07.17;8:44:52 AM;5.99;94.520;28.650;35100.000;18.000
22.07.17;8:45:07 AM;6.24;94.120;28.700;35087.000;18.000
