22.07.17/8:38 AM SW ver:OXY10v3_33
Header Ch-7
Description: TBO1-18
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 97811
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
22.07.17;8:38:57 AM;0.00;94.700;28.630;34186.000;18.000
22.07.17;8:38:58 AM;0.02;94.420;28.670;34148.000;18.000
22.07.17;8:39:10 AM;0.21;94.370;28.670;34159.000;18.000
22.07.17;8:39:25 AM;0.47;94.900;28.610;34189.000;18.000
22.07.17;8:39:40 AM;0.72;94.700;28.630;34179.000;18.000
22.07.17;8:39:55 AM;0.97;94.580;28.650;34151.000;18.000
22.07.17;8:40:10 AM;1.22;94.200;28.690;34160.000;18.000
22.07.17;8:40:25 AM;1.47;94.580;28.650;34160.000;18.000
22.07.17;8:40:40 AM;1.72;94.810;28.620;34154.000;18.000
22.07.17;8:40:55 AM;1.97;94.550;28.650;34145.000;18.000
22.07.17;8:41:10 AM;2.21;94.500;28.660;34151.000;18.000
22.07.17;8:41:25 AM;2.47;93.780;28.740;34145.000;18.000
22.07.17;8:41:40 AM;2.72;94.100;28.700;34192.000;18.000
22.07.17;8:41:55 AM;2.97;94.390;28.670;34170.000;18.000
22.07.17;8:42:10 AM;3.21;94.580;28.650;34168.000;18.000
22.07.17;8:42:25 AM;3.47;94.490;28.660;34199.000;18.000
22.07.17;8:42:40 AM;3.72;94.240;28.690;34186.000;18.000
22.07.17;8:42:55 AM;3.96;94.290;28.680;34149.000;18.000
22.07.17;8:43:10 AM;4.22;94.120;28.700;34140.000;18.000
22.07.17;8:43:25 AM;4.46;94.390;28.670;34171.000;18.000
22.07.17;8:43:40 AM;4.72;94.640;28.640;34189.000;18.000
22.07.17;8:43:55 AM;4.96;94.130;28.700;34165.000;18.000
22.07.17;8:44:10 AM;5.21;94.230;28.690;34175.000;18.000
22.07.17;8:44:25 AM;5.47;94.120;28.700;34166.000;18.000
22.07.17;8:44:40 AM;5.71;93.830;28.740;34197.000;18.000
22.07.17;8:44:55 AM;5.97;94.230;28.690;34159.000;18.000
22.07.17;8:45:10 AM;6.22;94.280;28.680;34194.000;18.000
22.07.17;8:45:25 AM;6.46;94.450;28.660;34159.000;18.000
22.07.17;8:45:40 AM;6.72;94.050;28.710;34165.000;18.000
22.07.17;8:45:55 AM;6.96;93.890;28.730;34185.000;18.000
22.07.17;8:46:10 AM;7.22;93.880;28.730;34193.000;18.000
22.07.17;8:46:25 AM;7.47;93.820;28.740;34174.000;18.000
22.07.17;8:46:40 AM;7.72;93.700;28.750;34170.000;18.000
22.07.17;8:46:55 AM;7.96;94.180;28.690;34195.000;18.000
22.07.17;8:47:10 AM;8.22;94.120;28.700;34198.000;18.000
22.07.17;8:47:25 AM;8.46;94.160;28.700;34203.000;18.000
22.07.17;8:47:40 AM;8.72;94.140;28.700;34204.000;18.000
22.07.17;8:47:55 AM;8.97;93.860;28.730;34199.000;18.000
