22.07.17/4:14 PM SW ver:OXY10v3_33
Header Ch-8
Description: WBF2-6
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 103399
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
22.07.17;4:14:56 PM;0.00;98.770;30.560;3398.000;6.000
22.07.17;4:15:06 PM;0.16;97.700;30.690;3418.000;6.000
22.07.17;4:15:21 PM;0.41;99.140;30.520;3415.000;6.000
22.07.17;4:15:36 PM;0.66;97.700;30.690;3421.000;6.000
22.07.17;4:15:51 PM;0.91;98.730;30.570;3414.000;6.000
22.07.17;4:16:06 PM;1.16;99.160;30.520;3409.000;6.000
22.07.17;4:16:21 PM;1.41;100.660;30.350;3407.000;6.000
22.07.17;4:16:36 PM;1.66;97.840;30.670;3423.000;6.000
22.07.17;4:16:51 PM;1.91;102.910;30.100;3415.000;6.000
22.07.17;4:17:06 PM;2.16;99.070;30.530;3418.000;6.000
22.07.17;4:17:21 PM;2.41;98.090;30.640;3433.000;6.000
22.07.17;4:17:36 PM;2.66;100.260;30.390;3434.000;6.000
22.07.17;4:17:51 PM;2.91;96.910;30.780;3415.000;6.000
22.07.17;4:18:06 PM;3.16;98.260;30.620;3402.000;6.000
22.07.17;4:18:21 PM;3.41;99.210;30.510;3435.000;6.000
22.07.17;4:18:36 PM;3.66;98.490;30.590;3427.000;6.000
22.07.17;4:18:51 PM;3.91;95.190;30.980;3421.000;6.000
22.07.17;4:19:06 PM;4.16;98.810;30.560;3420.000;6.000
22.07.17;4:19:21 PM;4.41;101.480;30.260;3422.000;6.000
22.07.17;4:19:36 PM;4.66;99.440;30.490;3427.000;6.000
22.07.17;4:19:51 PM;4.91;96.360;30.840;3423.000;6.000
22.07.17;4:20:06 PM;5.16;100.110;30.410;3420.000;6.000
22.07.17;4:20:21 PM;5.41;98.680;30.570;3414.000;6.000
22.07.17;4:20:36 PM;5.66;97.000;30.770;3417.000;6.000
22.07.17;4:20:51 PM;5.91;99.140;30.520;3396.000;6.000
22.07.17;4:21:06 PM;6.16;95.080;31.000;3415.000;6.000
22.07.17;4:21:21 PM;6.41;99.220;30.510;3421.000;6.000
22.07.17;4:21:36 PM;6.66;99.120;30.520;3402.000;6.000
22.07.17;4:21:51 PM;6.91;100.600;30.350;3404.000;6.000
22.07.17;4:22:06 PM;7.16;96.960;30.770;3414.000;6.000
22.07.17;4:22:21 PM;7.41;97.740;30.680;3420.000;6.000
22.07.17;4:22:36 PM;7.66;98.030;30.650;3405.000;6.000
22.07.17;4:22:51 PM;7.91;98.030;30.650;3419.000;6.000
22.07.17;4:23:06 PM;8.16;99.200;30.510;3420.000;6.000
22.07.17;4:23:21 PM;8.41;96.730;30.800;3424.000;6.000
22.07.17;4:23:36 PM;8.66;99.370;30.490;3425.000;6.000
22.07.17;4:23:51 PM;8.91;98.130;30.640;3408.000;6.000
22.07.17;4:24:06 PM;9.16;97.440;30.720;3408.000;6.000
22.07.17;4:24:21 PM;9.41;96.390;30.840;3408.000;6.000
22.07.17;4:24:36 PM;9.66;98.090;30.640;3421.000;6.000
22.07.17;4:24:51 PM;9.91;97.880;30.660;3414.000;6.000
22.07.17;4:25:06 PM;10.16;99.010;30.530;3404.000;6.000
22.07.17;4:25:21 PM;10.41;96.510;30.820;3428.000;6.000
22.07.17;4:25:36 PM;10.66;97.710;30.680;3414.000;6.000
22.07.17;4:25:51 PM;10.91;96.940;30.770;3428.000;6.000
22.07.17;4:26:06 PM;11.16;100.460;30.370;3435.000;6.000
22.07.17;4:26:21 PM;11.41;98.750;30.560;3420.000;6.000
22.07.17;4:26:36 PM;11.66;99.230;30.510;3417.000;6.000
22.07.17;4:26:51 PM;11.91;98.910;30.550;3410.000;6.000
22.07.17;4:27:06 PM;12.16;98.810;30.560;3399.000;6.000
22.07.17;4:27:21 PM;12.41;96.950;30.770;3420.000;6.000
22.07.17;4:27:36 PM;12.66;96.050;30.880;3397.000;6.000
22.07.17;4:27:51 PM;12.91;98.840;30.550;3408.000;6.000
22.07.17;4:28:06 PM;13.16;99.500;30.480;3417.000;6.000
22.07.17;4:28:21 PM;13.41;100.020;30.420;3402.000;6.000
22.07.17;4:28:36 PM;13.66;97.740;30.680;3427.000;6.000
22.07.17;4:28:51 PM;13.91;96.470;30.830;3417.000;6.000
22.07.17;4:29:06 PM;14.16;97.920;30.660;3412.000;6.000
22.07.17;4:29:21 PM;14.41;100.210;30.400;3421.000;6.000
22.07.17;4:29:36 PM;14.66;100.520;30.360;3428.000;6.000
22.07.17;4:29:51 PM;14.91;100.410;30.380;3420.000;6.000
22.07.17;4:30:06 PM;15.16;99.510;30.480;3447.000;6.000
22.07.17;4:30:21 PM;15.41;101.330;30.270;3421.000;6.000
22.07.17;4:30:36 PM;15.66;97.610;30.700;3415.000;6.000
