22.07.17/3:37 PM SW ver:OXY10v3_33
Header Ch-8
Description: WBF2-6
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 103399
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
22.07.17;3:37:24 PM;0.00;94.050;31.120;31031.000;6.000
22.07.17;3:37:35 PM;0.19;94.630;31.050;31025.000;6.000
22.07.17;3:37:50 PM;0.44;94.610;31.050;31037.000;6.000
22.07.17;3:38:05 PM;0.69;94.000;31.130;31008.000;6.000
22.07.17;3:38:20 PM;0.95;94.270;31.090;31009.000;6.000
22.07.17;3:38:35 PM;1.20;94.370;31.080;31030.000;6.000
22.07.17;3:38:51 PM;1.45;94.420;31.070;30999.000;6.000
22.07.17;3:39:05 PM;1.70;94.410;31.080;31023.000;6.000
22.07.17;3:39:20 PM;1.94;94.550;31.060;31013.000;6.000
22.07.17;3:39:35 PM;2.20;94.250;31.100;31017.000;6.000
22.07.17;3:39:50 PM;2.45;94.240;31.100;30996.000;6.000
22.07.17;3:40:05 PM;2.69;94.600;31.050;31022.000;6.000
22.07.17;3:40:20 PM;2.94;94.460;31.070;31014.000;6.000
22.07.17;3:40:35 PM;3.19;94.560;31.060;30971.000;6.000
22.07.17;3:40:50 PM;3.44;94.150;31.110;30984.000;6.000
22.07.17;3:41:05 PM;3.70;94.770;31.030;31027.000;6.000
22.07.17;3:41:20 PM;3.95;94.310;31.090;30962.000;6.000
22.07.17;3:41:35 PM;4.19;94.800;31.030;31015.000;6.000
22.07.17;3:41:50 PM;4.44;94.560;31.060;31026.000;6.000
22.07.17;3:42:05 PM;4.69;94.420;31.080;30994.000;6.000
22.07.17;3:42:20 PM;4.94;94.140;31.110;31006.000;6.000
22.07.17;3:42:35 PM;5.19;93.950;31.130;30977.000;6.000
22.07.17;3:42:50 PM;5.44;94.610;31.050;30996.000;6.000
22.07.17;3:43:05 PM;5.70;94.410;31.080;30996.000;6.000
22.07.17;3:43:20 PM;5.95;94.090;31.110;31014.000;6.000
22.07.17;3:43:35 PM;6.20;94.230;31.100;31003.000;6.000
22.07.17;3:43:51 PM;6.45;94.350;31.080;30992.000;6.000
22.07.17;3:44:05 PM;6.70;94.360;31.080;31011.000;6.000
22.07.17;3:44:20 PM;6.95;94.460;31.070;30990.000;6.000
22.07.17;3:44:35 PM;7.19;94.200;31.100;30989.000;6.000
22.07.17;3:44:51 PM;7.45;94.050;31.120;31012.000;6.000
22.07.17;3:45:05 PM;7.70;94.370;31.080;31008.000;6.000
22.07.17;3:45:20 PM;7.95;94.410;31.080;31006.000;6.000
22.07.17;3:45:35 PM;8.20;94.460;31.070;31021.000;6.000
22.07.17;3:45:50 PM;8.44;94.470;31.070;30997.000;6.000
22.07.17;3:46:05 PM;8.70;94.680;31.040;31002.000;6.000
22.07.17;3:46:20 PM;8.95;94.750;31.040;30998.000;6.000
22.07.17;3:46:35 PM;9.19;94.280;31.090;30992.000;6.000
22.07.17;3:46:50 PM;9.45;94.790;31.030;30983.000;6.000
22.07.17;3:47:06 PM;9.70;94.660;31.050;30992.000;6.000
22.07.17;3:47:21 PM;9.95;94.360;31.080;30977.000;6.000
22.07.17;3:47:35 PM;10.19;94.270;31.090;30965.000;6.000
22.07.17;3:47:51 PM;10.45;94.670;31.040;30952.000;6.000
22.07.17;3:48:05 PM;10.70;94.320;31.090;30977.000;6.000
22.07.17;3:48:20 PM;10.95;94.720;31.040;30969.000;6.000
22.07.17;3:48:35 PM;11.19;94.560;31.060;30964.000;6.000
22.07.17;3:48:50 PM;11.44;94.730;31.040;30964.000;6.000
22.07.17;3:49:05 PM;11.70;94.320;31.090;30965.000;6.000
22.07.17;3:49:20 PM;11.95;94.560;31.060;30993.000;6.000
22.07.17;3:49:35 PM;12.19;94.260;31.090;30965.000;6.000
22.07.17;3:49:50 PM;12.45;94.390;31.080;30968.000;6.000
22.07.17;3:50:05 PM;12.69;94.460;31.070;30965.000;6.000
22.07.17;3:50:20 PM;12.95;94.330;31.090;30973.000;6.000
22.07.17;3:50:36 PM;13.20;94.790;31.030;30988.000;6.000
22.07.17;3:50:50 PM;13.44;94.470;31.070;30984.000;6.000
22.07.17;3:51:05 PM;13.70;94.270;31.090;30970.000;6.000
22.07.17;3:51:21 PM;13.95;94.400;31.080;30990.000;6.000
22.07.17;3:51:35 PM;14.19;94.750;31.030;30972.000;6.000
22.07.17;3:51:50 PM;14.45;94.780;31.030;30962.000;6.000
22.07.17;3:52:05 PM;14.69;94.750;31.040;30970.000;6.000
22.07.17;3:52:20 PM;14.94;94.530;31.060;30966.000;6.000
22.07.17;3:52:35 PM;15.20;94.760;31.030;30981.000;6.000
22.07.17;3:52:51 PM;15.45;94.350;31.080;30975.000;6.000
22.07.17;3:53:05 PM;15.70;94.370;31.080;30983.000;6.000
22.07.17;3:53:20 PM;15.95;94.440;31.070;30997.000;6.000
22.07.17;3:53:35 PM;16.19;94.380;31.080;30990.000;6.000
22.07.17;3:53:50 PM;16.44;94.530;31.060;30986.000;6.000
22.07.17;3:54:05 PM;16.69;94.220;31.100;30986.000;6.000
22.07.17;3:54:20 PM;16.95;94.310;31.090;30963.000;6.000
22.07.17;3:54:36 PM;17.20;94.170;31.110;30958.000;6.000
22.07.17;3:54:50 PM;17.45;94.020;31.120;30999.000;6.000
22.07.17;3:55:06 PM;17.70;94.420;31.070;30975.000;6.000
22.07.17;3:55:20 PM;17.94;94.200;31.100;30973.000;6.000
22.07.17;3:55:35 PM;18.20;94.560;31.060;30964.000;6.000
22.07.17;3:55:50 PM;18.45;94.470;31.070;30992.000;6.000
22.07.17;3:56:05 PM;18.69;94.570;31.060;30966.000;6.000
22.07.17;3:56:20 PM;18.94;94.500;31.070;30965.000;6.000
22.07.17;3:56:35 PM;19.19;94.130;31.110;30993.000;6.000
22.07.17;3:56:50 PM;19.45;94.090;31.110;31002.000;6.000
22.07.17;3:57:06 PM;19.70;94.660;31.050;31004.000;6.000
22.07.17;3:57:20 PM;19.94;94.580;31.060;30986.000;6.000
22.07.17;3:57:36 PM;20.20;94.200;31.100;30991.000;6.000
