22.07.17/3:37 PM SW ver:OXY10v3_33
Header Ch-9
Description: TWA4-6
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 103158
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
22.07.17;3:37:25 PM;0.00;95.150;30.990;37204.000;6.000
22.07.17;3:37:37 PM;0.21;95.110;30.990;37203.000;6.000
22.07.17;3:37:52 PM;0.46;95.280;30.970;37203.000;6.000
22.07.17;3:38:07 PM;0.71;95.270;30.970;37197.000;6.000
22.07.17;3:38:22 PM;0.96;95.250;30.970;37222.000;6.000
22.07.17;3:38:37 PM;1.21;95.110;30.990;37208.000;6.000
22.07.17;3:38:52 PM;1.46;94.950;31.010;37206.000;6.000
22.07.17;3:39:07 PM;1.71;95.170;30.980;37225.000;6.000
22.07.17;3:39:22 PM;1.96;95.240;30.980;37214.000;6.000
22.07.17;3:39:37 PM;2.21;94.780;31.030;37248.000;6.000
22.07.17;3:39:52 PM;2.46;95.140;30.990;37222.000;6.000
22.07.17;3:40:07 PM;2.71;95.050;31.000;37221.000;6.000
22.07.17;3:40:22 PM;2.96;94.580;31.060;37235.000;6.000
22.07.17;3:40:37 PM;3.21;95.000;31.010;37239.000;6.000
22.07.17;3:40:52 PM;3.46;95.000;31.000;37200.000;6.000
22.07.17;3:41:07 PM;3.71;94.830;31.030;37191.000;6.000
