22.07.17/2:17 PM SW ver:OXY10v3_33
Header Ch-9
Description: TWA4-9
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 103158
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
22.07.17;2:17:09 PM;0.00;97.310;30.100;36032.000;9.000
22.07.17;2:17:14 PM;0.10;96.970;30.140;36046.000;9.000
22.07.17;2:17:29 PM;0.35;96.510;30.200;35999.000;9.000
22.07.17;2:17:44 PM;0.60;96.290;30.220;35987.000;9.000
22.07.17;2:17:59 PM;0.84;96.670;30.180;35987.000;9.000
22.07.17;2:18:14 PM;1.09;96.870;30.150;36007.000;9.000
22.07.17;2:18:29 PM;1.35;96.880;30.150;36012.000;9.000
22.07.17;2:18:44 PM;1.59;96.590;30.190;35995.000;9.000
22.07.17;2:18:59 PM;1.85;97.100;30.130;36007.000;9.000
22.07.17;2:19:14 PM;2.10;96.820;30.160;36016.000;9.000
22.07.17;2:19:29 PM;2.34;96.720;30.170;36004.000;9.000
22.07.17;2:19:44 PM;2.60;97.060;30.130;35935.000;9.000
22.07.17;2:19:59 PM;2.85;96.460;30.200;35992.000;9.000
22.07.17;2:20:14 PM;3.10;96.130;30.240;36029.000;9.000
22.07.17;2:20:29 PM;3.35;96.790;30.160;36009.000;9.000
22.07.17;2:20:44 PM;3.59;97.230;30.110;35988.000;9.000
22.07.17;2:20:59 PM;3.84;96.600;30.190;35999.000;9.000
22.07.17;2:21:14 PM;4.09;96.780;30.160;36000.000;9.000
22.07.17;2:21:29 PM;4.34;97.120;30.130;35996.000;9.000
22.07.17;2:21:44 PM;4.60;96.450;30.200;36011.000;9.000
22.07.17;2:21:59 PM;4.84;96.630;30.180;35973.000;9.000
22.07.17;2:22:14 PM;5.10;97.000;30.140;36028.000;9.000
22.07.17;2:22:29 PM;5.35;96.820;30.160;36043.000;9.000
22.07.17;2:22:44 PM;5.59;96.800;30.160;36048.000;9.000
22.07.17;2:22:59 PM;5.84;97.450;30.090;36039.000;9.000
22.07.17;2:23:14 PM;6.10;96.760;30.170;36015.000;9.000
22.07.17;2:23:29 PM;6.35;96.440;30.200;36085.000;9.000
22.07.17;2:23:44 PM;6.60;96.680;30.180;36023.000;9.000
22.07.17;2:23:59 PM;6.85;96.290;30.220;36048.000;9.000
22.07.17;2:24:14 PM;7.09;96.720;30.170;35996.000;9.000
22.07.17;2:24:29 PM;7.35;96.460;30.200;36041.000;9.000
22.07.17;2:24:44 PM;7.59;97.000;30.140;36074.000;9.000
22.07.17;2:24:59 PM;7.85;96.860;30.160;36056.000;9.000
22.07.17;2:25:14 PM;8.10;96.590;30.190;36048.000;9.000
22.07.17;2:25:29 PM;8.35;97.350;30.100;36067.000;9.000
22.07.17;2:25:44 PM;8.60;96.940;30.150;35991.000;9.000
22.07.17;2:25:59 PM;8.85;97.160;30.120;36016.000;9.000
22.07.17;2:26:14 PM;9.09;97.500;30.080;36042.000;9.000
22.07.17;2:26:29 PM;9.35;96.820;30.160;36002.000;9.000
22.07.17;2:26:44 PM;9.60;96.720;30.170;36026.000;9.000
22.07.17;2:26:59 PM;9.85;96.940;30.150;36036.000;9.000
22.07.17;2:27:14 PM;10.10;96.420;30.210;36031.000;9.000
22.07.17;2:27:29 PM;10.35;96.750;30.170;36015.000;9.000
22.07.17;2:27:44 PM;10.60;97.010;30.140;36021.000;9.000
22.07.17;2:27:59 PM;10.85;96.760;30.170;36055.000;9.000
22.07.17;2:28:14 PM;11.10;96.390;30.210;36035.000;9.000
22.07.17;2:28:29 PM;11.34;97.130;30.120;36011.000;9.000
22.07.17;2:28:44 PM;11.59;96.780;30.160;36028.000;9.000
22.07.17;2:28:59 PM;11.85;96.400;30.210;36036.000;9.000
22.07.17;2:29:14 PM;12.10;97.000;30.140;36010.000;9.000
22.07.17;2:29:29 PM;12.34;96.190;30.230;36043.000;9.000
22.07.17;2:29:44 PM;12.60;96.590;30.190;36025.000;9.000
22.07.17;2:29:59 PM;12.85;96.710;30.170;35999.000;9.000
22.07.17;2:30:14 PM;13.09;96.830;30.160;36012.000;9.000
22.07.17;2:30:29 PM;13.34;96.700;30.170;36012.000;9.000
22.07.17;2:30:44 PM;13.60;96.270;30.220;36012.000;9.000
22.07.17;2:30:59 PM;13.85;96.640;30.180;36021.000;9.000
22.07.17;2:31:14 PM;14.09;97.130;30.120;36064.000;9.000
22.07.17;2:31:29 PM;14.35;96.790;30.160;36027.000;9.000
22.07.17;2:31:44 PM;14.60;96.680;30.180;36017.000;9.000
22.07.17;2:31:59 PM;14.84;96.650;30.180;36042.000;9.000
22.07.17;2:32:14 PM;15.10;96.840;30.160;36031.000;9.000
22.07.17;2:32:29 PM;15.34;96.880;30.150;36053.000;9.000
22.07.17;2:32:44 PM;15.60;96.840;30.160;36047.000;9.000
22.07.17;2:32:59 PM;15.85;96.480;30.200;35983.000;9.000
22.07.17;2:33:14 PM;16.09;96.610;30.180;36027.000;9.000
22.07.17;2:33:29 PM;16.35;96.460;30.200;36009.000;9.000
22.07.17;2:33:44 PM;16.59;96.270;30.220;36049.000;9.000
22.07.17;2:33:59 PM;16.85;96.350;30.210;36023.000;9.000
22.07.17;2:34:14 PM;17.09;96.750;30.170;36015.000;9.000
22.07.17;2:34:29 PM;17.35;96.770;30.170;36013.000;9.000
22.07.17;2:34:44 PM;17.59;96.690;30.170;36008.000;9.000
22.07.17;2:34:59 PM;17.85;96.790;30.160;35991.000;9.000
22.07.17;2:35:14 PM;18.10;96.730;30.170;36031.000;9.000
