22.07.17/1:41 PM SW ver:OXY10v3_33
Header Ch-5
Description: TBE8-9
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 104658
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
22.07.17;1:41:39 PM;0.00;94.630;30.420;50101.000;9.000
22.07.17;1:41:52 PM;0.21;94.780;30.400;50059.000;9.000
22.07.17;1:42:07 PM;0.46;94.930;30.380;50059.000;9.000
22.07.17;1:42:22 PM;0.71;94.730;30.410;50066.000;9.000
22.07.17;1:42:37 PM;0.96;94.630;30.420;50061.000;9.000
22.07.17;1:42:52 PM;1.21;94.570;30.430;50046.000;9.000
22.07.17;1:43:07 PM;1.46;94.340;30.450;50056.000;9.000
22.07.17;1:43:22 PM;1.71;94.790;30.400;50072.000;9.000
22.07.17;1:43:37 PM;1.96;94.460;30.440;50091.000;9.000
22.07.17;1:43:52 PM;2.21;94.930;30.380;50082.000;9.000
22.07.17;1:44:07 PM;2.46;94.620;30.420;50055.000;9.000
22.07.17;1:44:22 PM;2.71;94.800;30.400;50047.000;9.000
22.07.17;1:44:37 PM;2.96;94.640;30.420;50059.000;9.000
22.07.17;1:44:52 PM;3.21;94.730;30.410;50024.000;9.000
22.07.17;1:45:07 PM;3.46;94.840;30.390;50052.000;9.000
22.07.17;1:45:22 PM;3.71;94.750;30.400;50053.000;9.000
22.07.17;1:45:37 PM;3.96;94.930;30.380;50037.000;9.000
22.07.17;1:45:52 PM;4.21;94.750;30.400;50028.000;9.000
22.07.17;1:46:07 PM;4.46;94.820;30.400;50055.000;9.000
22.07.17;1:46:22 PM;4.71;94.640;30.420;50036.000;9.000
22.07.17;1:46:37 PM;4.96;94.990;30.380;50014.000;9.000
22.07.17;1:46:52 PM;5.21;94.700;30.410;50028.000;9.000
22.07.17;1:47:07 PM;5.46;94.850;30.390;50010.000;9.000
22.07.17;1:47:22 PM;5.71;94.720;30.410;50001.000;9.000
22.07.17;1:47:37 PM;5.96;94.850;30.390;50037.000;9.000
22.07.17;1:47:52 PM;6.21;94.800;30.400;49996.000;9.000
22.07.17;1:48:07 PM;6.46;94.540;30.430;50029.000;9.000
22.07.17;1:48:22 PM;6.71;94.780;30.400;50017.000;9.000
22.07.17;1:48:37 PM;6.96;94.610;30.420;50002.000;9.000
22.07.17;1:48:52 PM;7.21;94.560;30.430;49986.000;9.000
22.07.17;1:49:07 PM;7.46;94.770;30.400;49973.000;9.000
22.07.17;1:49:22 PM;7.71;94.540;30.430;49992.000;9.000
22.07.17;1:49:37 PM;7.96;94.870;30.390;49992.000;9.000
22.07.17;1:49:52 PM;8.21;94.550;30.430;50003.000;9.000
22.07.17;1:50:07 PM;8.46;94.600;30.420;49993.000;9.000
22.07.17;1:50:22 PM;8.71;94.460;30.440;50024.000;9.000
22.07.17;1:50:37 PM;8.96;94.600;30.420;49986.000;9.000
22.07.17;1:50:52 PM;9.21;94.620;30.420;49997.000;9.000
22.07.17;1:51:07 PM;9.46;94.730;30.410;50005.000;9.000
22.07.17;1:51:22 PM;9.71;94.590;30.420;49977.000;9.000
22.07.17;1:51:37 PM;9.96;94.380;30.450;49999.000;9.000
22.07.17;1:51:52 PM;10.21;94.770;30.400;49960.000;9.000
22.07.17;1:52:07 PM;10.46;94.540;30.430;49989.000;9.000
22.07.17;1:52:22 PM;10.71;94.680;30.410;49986.000;9.000
22.07.17;1:52:37 PM;10.96;94.600;30.420;49980.000;9.000
22.07.17;1:52:52 PM;11.21;94.500;30.430;49978.000;9.000
22.07.17;1:53:07 PM;11.46;94.560;30.430;49944.000;9.000
22.07.17;1:53:22 PM;11.71;94.630;30.420;49977.000;9.000
22.07.17;1:53:37 PM;11.96;94.900;30.390;49948.000;9.000
22.07.17;1:53:52 PM;12.21;94.540;30.430;49977.000;9.000
22.07.17;1:54:07 PM;12.46;94.540;30.430;49973.000;9.000
22.07.17;1:54:22 PM;12.71;94.620;30.420;49979.000;9.000
22.07.17;1:54:37 PM;12.96;94.500;30.430;49962.000;9.000
22.07.17;1:54:52 PM;13.21;94.480;30.440;49978.000;9.000
22.07.17;1:55:07 PM;13.46;94.210;30.470;49995.000;9.000
22.07.17;1:55:22 PM;13.71;94.590;30.420;49978.000;9.000
22.07.17;1:55:37 PM;13.96;94.610;30.420;50004.000;9.000
22.07.17;1:55:52 PM;14.21;94.720;30.410;49959.000;9.000
22.07.17;1:56:07 PM;14.46;94.590;30.420;49966.000;9.000
22.07.17;1:56:22 PM;14.71;94.490;30.430;49978.000;9.000
22.07.17;1:56:37 PM;14.96;94.590;30.420;50002.000;9.000
22.07.17;1:56:52 PM;15.21;94.250;30.460;49972.000;9.000
22.07.17;1:57:07 PM;15.46;94.520;30.430;49985.000;9.000
22.07.17;1:57:22 PM;15.71;94.610;30.420;49980.000;9.000
22.07.17;1:57:37 PM;15.96;94.520;30.430;49966.000;9.000
22.07.17;1:57:52 PM;16.21;94.440;30.440;49976.000;9.000
22.07.17;1:58:07 PM;16.46;94.590;30.420;49988.000;9.000
22.07.17;1:58:22 PM;16.71;94.690;30.410;49973.000;9.000
22.07.17;1:58:37 PM;16.96;94.640;30.420;49967.000;9.000
22.07.17;1:58:52 PM;17.21;94.780;30.400;49964.000;9.000
22.07.17;1:59:07 PM;17.46;94.350;30.450;49977.000;9.000
22.07.17;1:59:22 PM;17.71;94.620;30.420;49979.000;9.000
22.07.17;1:59:37 PM;17.96;94.580;30.420;49934.000;9.000
22.07.17;1:59:52 PM;18.21;94.560;30.430;49954.000;9.000
22.07.17;2:00:07 PM;18.46;94.460;30.440;49940.000;9.000
22.07.17;2:00:22 PM;18.71;94.630;30.420;49960.000;9.000
22.07.17;2:00:37 PM;18.96;94.280;30.460;49959.000;9.000
22.07.17;2:00:52 PM;19.21;94.350;30.450;49924.000;9.000
22.07.17;2:01:07 PM;19.46;94.700;30.410;49947.000;9.000
22.07.17;2:01:22 PM;19.71;94.440;30.440;49931.000;9.000
22.07.17;2:01:37 PM;19.96;94.340;30.450;49940.000;9.000
22.07.17;2:01:52 PM;20.21;94.540;30.430;49893.000;9.000
22.07.17;2:02:07 PM;20.46;94.380;30.450;49916.000;9.000
22.07.17;2:02:22 PM;20.71;94.280;30.460;49921.000;9.000
22.07.17;2:02:37 PM;20.96;94.250;30.460;49913.000;9.000
22.07.17;2:02:52 PM;21.21;94.330;30.450;49908.000;9.000
22.07.17;2:03:07 PM;21.46;94.340;30.450;49915.000;9.000
22.07.17;2:03:22 PM;21.71;94.240;30.460;49931.000;9.000
