24.07.17/12:18 PM SW ver:OXY10v3_33
Header Ch-4
Description: WWJ3-12
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 99789
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.07.17;12:18:49 PM;0.00;94.410;29.830;39636.000;12.000
24.07.17;12:19:04 PM;0.25;94.190;29.860;39608.000;12.000
24.07.17;12:19:19 PM;0.50;93.530;29.940;39620.000;12.000
24.07.17;12:19:34 PM;0.75;93.670;29.920;39618.000;12.000
24.07.17;12:19:49 PM;1.00;93.500;29.940;39620.000;12.000
24.07.17;12:20:04 PM;1.25;93.780;29.910;39611.000;12.000
24.07.17;12:20:19 PM;1.50;93.810;29.900;39598.000;12.000
24.07.17;12:20:34 PM;1.75;94.160;29.860;39571.000;12.000
24.07.17;12:20:49 PM;2.00;94.770;29.790;39614.000;12.000
24.07.17;12:21:04 PM;2.25;94.320;29.840;39599.000;12.000
24.07.17;12:21:19 PM;2.50;94.520;29.820;39608.000;12.000
24.07.17;12:21:34 PM;2.75;93.940;29.890;39619.000;12.000
24.07.17;12:21:49 PM;3.00;94.160;29.860;39635.000;12.000
24.07.17;12:22:04 PM;3.25;94.180;29.860;39658.000;12.000
24.07.17;12:22:19 PM;3.50;93.930;29.890;39641.000;12.000
24.07.17;12:22:34 PM;3.75;93.740;29.910;39654.000;12.000
24.07.17;12:22:49 PM;4.00;94.100;29.870;39640.000;12.000
24.07.17;12:23:04 PM;4.25;93.500;29.940;39621.000;12.000
24.07.17;12:23:19 PM;4.50;93.840;29.900;39615.000;12.000
24.07.17;12:23:34 PM;4.75;93.940;29.890;39592.000;12.000
24.07.17;12:23:49 PM;5.00;93.760;29.910;39638.000;12.000
24.07.17;12:24:04 PM;5.25;93.620;29.930;39629.000;12.000
24.07.17;12:24:19 PM;5.50;94.340;29.840;39679.000;12.000
24.07.17;12:24:34 PM;5.75;93.840;29.900;39646.000;12.000
24.07.17;12:24:49 PM;6.00;93.830;29.900;39641.000;12.000
24.07.17;12:25:04 PM;6.25;94.020;29.880;39663.000;12.000
24.07.17;12:25:19 PM;6.50;94.340;29.840;39652.000;12.000
24.07.17;12:25:34 PM;6.75;94.070;29.870;39655.000;12.000
24.07.17;12:25:49 PM;7.00;93.830;29.900;39662.000;12.000
24.07.17;12:26:04 PM;7.25;94.030;29.880;39641.000;12.000
24.07.17;12:26:19 PM;7.50;94.410;29.830;39657.000;12.000
24.07.17;12:26:34 PM;7.75;93.970;29.890;39658.000;12.000
24.07.17;12:26:49 PM;8.00;93.500;29.940;39660.000;12.000
24.07.17;12:27:04 PM;8.25;94.280;29.850;39633.000;12.000
24.07.17;12:27:19 PM;8.50;93.880;29.900;39626.000;12.000
24.07.17;12:27:34 PM;8.75;93.740;29.910;39681.000;12.000
24.07.17;12:27:49 PM;9.00;93.600;29.930;39641.000;12.000
24.07.17;12:28:04 PM;9.25;93.640;29.920;39678.000;12.000
24.07.17;12:28:19 PM;9.50;93.760;29.910;39648.000;12.000
24.07.17;12:28:34 PM;9.75;93.340;29.960;39656.000;12.000
24.07.17;12:28:49 PM;10.00;94.500;29.820;39651.000;12.000
24.07.17;12:29:04 PM;10.25;94.050;29.880;39682.000;12.000
24.07.17;12:29:19 PM;10.50;93.910;29.890;39667.000;12.000
24.07.17;12:29:34 PM;10.75;93.780;29.910;39619.000;12.000
24.07.17;12:29:49 PM;11.00;94.020;29.880;39664.000;12.000
24.07.17;12:30:04 PM;11.25;94.120;29.870;39638.000;12.000
24.07.17;12:30:19 PM;11.50;93.790;29.910;39734.000;12.000
24.07.17;12:30:34 PM;11.75;93.650;29.920;39671.000;12.000
24.07.17;12:30:49 PM;12.00;94.130;29.870;39667.000;12.000
24.07.17;12:31:04 PM;12.25;93.960;29.890;39684.000;12.000
24.07.17;12:31:19 PM;12.50;93.950;29.890;39671.000;12.000
24.07.17;12:31:34 PM;12.75;94.010;29.880;39671.000;12.000
24.07.17;12:31:49 PM;13.00;93.610;29.930;39673.000;12.000
24.07.17;12:32:04 PM;13.25;93.950;29.890;39688.000;12.000
24.07.17;12:32:19 PM;13.50;93.980;29.880;39648.000;12.000
24.07.17;12:32:34 PM;13.75;93.900;29.890;39696.000;12.000
24.07.17;12:32:49 PM;14.00;94.120;29.870;39674.000;12.000
24.07.17;12:33:04 PM;14.25;93.730;29.910;39695.000;12.000
24.07.17;12:33:19 PM;14.50;93.640;29.920;39691.000;12.000
24.07.17;12:33:34 PM;14.75;94.070;29.870;39681.000;12.000
24.07.17;12:33:49 PM;15.00;93.960;29.890;39715.000;12.000
24.07.17;12:34:04 PM;15.25;93.510;29.940;39691.000;12.000
24.07.17;12:34:19 PM;15.50;93.430;29.950;39697.000;12.000
24.07.17;12:34:34 PM;15.75;93.840;29.900;39675.000;12.000
24.07.17;12:34:49 PM;16.00;93.930;29.890;39653.000;12.000
24.07.17;12:35:04 PM;16.25;94.130;29.870;39662.000;12.000
24.07.17;12:35:19 PM;16.50;93.630;29.930;39621.000;12.000
24.07.17;12:35:34 PM;16.75;93.420;29.950;39670.000;12.000
24.07.17;12:35:49 PM;17.00;93.540;29.940;39681.000;12.000
24.07.17;12:36:04 PM;17.25;93.600;29.930;39724.000;12.000
24.07.17;12:36:19 PM;17.50;93.590;29.930;39699.000;12.000
24.07.17;12:36:34 PM;17.75;93.680;29.920;39741.000;12.000
24.07.17;12:36:49 PM;18.00;93.690;29.920;39689.000;12.000
24.07.17;12:37:04 PM;18.25;94.120;29.870;39689.000;12.000
24.07.17;12:37:19 PM;18.50;93.490;29.940;39719.000;12.000
24.07.17;12:37:34 PM;18.75;92.840;30.020;39683.000;12.000
24.07.17;12:37:49 PM;19.00;93.790;29.910;39708.000;12.000
24.07.17;12:38:04 PM;19.25;94.240;29.850;39703.000;12.000
