24.07.17/12:18 PM SW ver:OXY10v3_33
Header Ch-5
Description: TBN3-12
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 104456
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.07.17;12:18:52 PM;0.00;93.540;29.940;49367.000;12.000
24.07.17;12:19:06 PM;0.24;93.740;29.910;49326.000;12.000
24.07.17;12:19:21 PM;0.49;94.130;29.870;49329.000;12.000
24.07.17;12:19:36 PM;0.74;93.800;29.910;49377.000;12.000
24.07.17;12:19:51 PM;0.99;93.430;29.950;49324.000;12.000
24.07.17;12:20:06 PM;1.24;93.900;29.890;49328.000;12.000
24.07.17;12:20:21 PM;1.49;94.210;29.860;49346.000;12.000
24.07.17;12:20:36 PM;1.74;93.910;29.890;49304.000;12.000
24.07.17;12:20:51 PM;1.99;93.790;29.910;49315.000;12.000
24.07.17;12:21:06 PM;2.24;94.060;29.870;49247.000;12.000
24.07.17;12:21:21 PM;2.49;94.160;29.860;49237.000;12.000
24.07.17;12:21:36 PM;2.74;93.440;29.950;49258.000;12.000
24.07.17;12:21:51 PM;2.99;94.000;29.880;49293.000;12.000
24.07.17;12:22:06 PM;3.24;93.690;29.920;49267.000;12.000
24.07.17;12:22:21 PM;3.49;93.690;29.920;49297.000;12.000
24.07.17;12:22:36 PM;3.74;93.690;29.920;49236.000;12.000
24.07.17;12:22:51 PM;3.99;93.670;29.920;49265.000;12.000
24.07.17;12:23:06 PM;4.24;94.250;29.850;49251.000;12.000
24.07.17;12:23:21 PM;4.49;93.840;29.900;49306.000;12.000
24.07.17;12:23:36 PM;4.74;93.870;29.900;49257.000;12.000
24.07.17;12:23:51 PM;4.99;94.220;29.860;49311.000;12.000
24.07.17;12:24:06 PM;5.24;93.600;29.930;49254.000;12.000
24.07.17;12:24:21 PM;5.49;94.000;29.880;49260.000;12.000
24.07.17;12:24:36 PM;5.74;93.870;29.900;49268.000;12.000
24.07.17;12:24:51 PM;5.99;93.820;29.900;49261.000;12.000
24.07.17;12:25:06 PM;6.24;93.980;29.880;49224.000;12.000
24.07.17;12:25:21 PM;6.49;93.550;29.940;49223.000;12.000
24.07.17;12:25:36 PM;6.74;94.350;29.840;49228.000;12.000
24.07.17;12:25:51 PM;6.99;94.280;29.850;49235.000;12.000
24.07.17;12:26:06 PM;7.24;94.270;29.850;49223.000;12.000
24.07.17;12:26:21 PM;7.49;93.840;29.900;49197.000;12.000
24.07.17;12:26:36 PM;7.74;94.100;29.870;49239.000;12.000
24.07.17;12:26:51 PM;7.99;94.030;29.880;49246.000;12.000
24.07.17;12:27:06 PM;8.24;93.830;29.900;49272.000;12.000
24.07.17;12:27:21 PM;8.49;93.880;29.900;49242.000;12.000
24.07.17;12:27:36 PM;8.74;93.910;29.890;49230.000;12.000
24.07.17;12:27:51 PM;8.99;93.860;29.900;49258.000;12.000
24.07.17;12:28:06 PM;9.24;93.510;29.940;49224.000;12.000
24.07.17;12:28:21 PM;9.49;94.040;29.880;49234.000;12.000
24.07.17;12:28:36 PM;9.74;94.190;29.860;49247.000;12.000
24.07.17;12:28:51 PM;9.99;93.730;29.910;49230.000;12.000
24.07.17;12:29:06 PM;10.24;93.760;29.910;49232.000;12.000
24.07.17;12:29:21 PM;10.49;93.810;29.900;49191.000;12.000
24.07.17;12:29:36 PM;10.74;93.850;29.900;49213.000;12.000
24.07.17;12:29:51 PM;10.99;93.790;29.910;49236.000;12.000
24.07.17;12:30:06 PM;11.24;93.790;29.910;49227.000;12.000
24.07.17;12:30:21 PM;11.49;93.760;29.910;49222.000;12.000
24.07.17;12:30:36 PM;11.74;93.720;29.920;49263.000;12.000
24.07.17;12:30:51 PM;11.99;94.070;29.870;49220.000;12.000
24.07.17;12:31:06 PM;12.24;94.260;29.850;49239.000;12.000
24.07.17;12:31:21 PM;12.49;94.000;29.880;49244.000;12.000
24.07.17;12:31:36 PM;12.74;93.210;29.980;49215.000;12.000
24.07.17;12:31:51 PM;12.99;93.980;29.880;49248.000;12.000
24.07.17;12:32:06 PM;13.24;93.960;29.890;49205.000;12.000
24.07.17;12:32:21 PM;13.49;94.140;29.870;49202.000;12.000
24.07.17;12:32:36 PM;13.74;93.840;29.900;49210.000;12.000
24.07.17;12:32:51 PM;13.99;93.510;29.940;49213.000;12.000
24.07.17;12:33:06 PM;14.24;93.940;29.890;49245.000;12.000
24.07.17;12:33:21 PM;14.49;93.690;29.920;49247.000;12.000
24.07.17;12:33:36 PM;14.74;93.690;29.920;49240.000;12.000
24.07.17;12:33:51 PM;14.99;93.650;29.920;49240.000;12.000
24.07.17;12:34:06 PM;15.24;93.630;29.930;49249.000;12.000
24.07.17;12:34:21 PM;15.49;93.410;29.950;49202.000;12.000
24.07.17;12:34:36 PM;15.74;93.790;29.910;49210.000;12.000
24.07.17;12:34:51 PM;15.99;93.900;29.890;49260.000;12.000
24.07.17;12:35:06 PM;16.24;94.190;29.860;49258.000;12.000
24.07.17;12:35:21 PM;16.49;94.090;29.870;49210.000;12.000
24.07.17;12:35:36 PM;16.74;93.960;29.890;49258.000;12.000
24.07.17;12:35:51 PM;16.99;94.430;29.830;49303.000;12.000
24.07.17;12:36:06 PM;17.24;94.090;29.870;49231.000;12.000
24.07.17;12:36:21 PM;17.49;94.190;29.860;49227.000;12.000
24.07.17;12:36:36 PM;17.74;93.780;29.910;49235.000;12.000
24.07.17;12:36:51 PM;17.99;93.340;29.960;49226.000;12.000
