24.07.17/12:18 PM SW ver:OXY10v3_33
Header Ch-7
Description: TBI3-12
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 97610
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.07.17;12:18:55 PM;0.00;93.710;29.920;34583.000;12.000
24.07.17;12:19:10 PM;0.25;94.070;29.870;34595.000;12.000
24.07.17;12:19:25 PM;0.50;94.100;29.870;34558.000;12.000
24.07.17;12:19:40 PM;0.75;94.530;29.820;34585.000;12.000
24.07.17;12:19:55 PM;1.00;94.270;29.850;34570.000;12.000
24.07.17;12:20:10 PM;1.25;93.790;29.910;34539.000;12.000
24.07.17;12:20:25 PM;1.50;94.620;29.810;34575.000;12.000
24.07.17;12:20:40 PM;1.75;94.760;29.790;34573.000;12.000
24.07.17;12:20:55 PM;2.00;94.050;29.880;34566.000;12.000
24.07.17;12:21:10 PM;2.25;93.840;29.900;34565.000;12.000
24.07.17;12:21:25 PM;2.50;94.480;29.820;34560.000;12.000
24.07.17;12:21:40 PM;2.75;93.680;29.920;34569.000;12.000
24.07.17;12:21:55 PM;3.00;94.110;29.870;34535.000;12.000
24.07.17;12:22:10 PM;3.25;94.000;29.880;34536.000;12.000
24.07.17;12:22:25 PM;3.50;94.050;29.880;34570.000;12.000
24.07.17;12:22:40 PM;3.75;94.160;29.860;34556.000;12.000
24.07.17;12:22:55 PM;4.00;94.210;29.860;34550.000;12.000
24.07.17;12:23:10 PM;4.25;94.690;29.800;34573.000;12.000
24.07.17;12:23:25 PM;4.50;94.300;29.850;34582.000;12.000
24.07.17;12:23:40 PM;4.75;94.710;29.800;34550.000;12.000
24.07.17;12:23:55 PM;5.00;94.060;29.870;34574.000;12.000
24.07.17;12:24:10 PM;5.25;93.590;29.930;34581.000;12.000
24.07.17;12:24:25 PM;5.50;94.060;29.870;34549.000;12.000
24.07.17;12:24:40 PM;5.75;94.800;29.790;34562.000;12.000
24.07.17;12:24:55 PM;6.00;94.420;29.830;34552.000;12.000
24.07.17;12:25:10 PM;6.25;94.500;29.820;34585.000;12.000
24.07.17;12:25:25 PM;6.50;94.370;29.840;34528.000;12.000
24.07.17;12:25:40 PM;6.75;94.370;29.840;34572.000;12.000
24.07.17;12:25:55 PM;7.00;94.270;29.850;34543.000;12.000
24.07.17;12:26:10 PM;7.25;93.560;29.930;34541.000;12.000
24.07.17;12:26:25 PM;7.50;94.590;29.810;34544.000;12.000
24.07.17;12:26:40 PM;7.75;93.950;29.890;34530.000;12.000
24.07.17;12:26:55 PM;8.00;94.300;29.850;34570.000;12.000
24.07.17;12:27:10 PM;8.25;94.330;29.840;34528.000;12.000
24.07.17;12:27:25 PM;8.50;93.590;29.930;34554.000;12.000
24.07.17;12:27:40 PM;8.75;94.460;29.830;34543.000;12.000
24.07.17;12:27:55 PM;9.00;93.810;29.900;34538.000;12.000
24.07.17;12:28:10 PM;9.25;94.260;29.850;34541.000;12.000
24.07.17;12:28:25 PM;9.50;94.360;29.840;34575.000;12.000
24.07.17;12:28:40 PM;9.75;94.640;29.810;34526.000;12.000
24.07.17;12:28:55 PM;10.00;93.320;29.960;34556.000;12.000
24.07.17;12:29:10 PM;10.25;94.320;29.840;34546.000;12.000
24.07.17;12:29:25 PM;10.50;94.140;29.870;34538.000;12.000
24.07.17;12:29:40 PM;10.75;93.860;29.900;34525.000;12.000
24.07.17;12:29:55 PM;11.00;94.310;29.850;34565.000;12.000
24.07.17;12:30:10 PM;11.25;94.160;29.860;34547.000;12.000
24.07.17;12:30:25 PM;11.50;94.580;29.810;34557.000;12.000
24.07.17;12:30:40 PM;11.75;94.670;29.800;34584.000;12.000
24.07.17;12:30:55 PM;12.00;94.790;29.790;34503.000;12.000
24.07.17;12:31:10 PM;12.25;94.000;29.880;34549.000;12.000
24.07.17;12:31:25 PM;12.50;94.290;29.850;34546.000;12.000
24.07.17;12:31:40 PM;12.75;94.090;29.870;34556.000;12.000
24.07.17;12:31:55 PM;13.00;94.000;29.880;34543.000;12.000
24.07.17;12:32:10 PM;13.25;94.290;29.850;34511.000;12.000
24.07.17;12:32:25 PM;13.50;93.960;29.890;34551.000;12.000
24.07.17;12:32:40 PM;13.75;93.940;29.890;34550.000;12.000
24.07.17;12:32:55 PM;14.00;94.250;29.850;34591.000;12.000
24.07.17;12:33:10 PM;14.25;93.950;29.890;34543.000;12.000
24.07.17;12:33:25 PM;14.50;94.250;29.850;34541.000;12.000
24.07.17;12:33:40 PM;14.75;94.260;29.850;34577.000;12.000
24.07.17;12:33:55 PM;15.00;93.550;29.940;34546.000;12.000
24.07.17;12:34:10 PM;15.25;94.460;29.830;34534.000;12.000
24.07.17;12:34:25 PM;15.50;94.020;29.880;34575.000;12.000
24.07.17;12:34:40 PM;15.75;94.130;29.870;34578.000;12.000
24.07.17;12:34:55 PM;16.00;94.820;29.780;34574.000;12.000
24.07.17;12:35:10 PM;16.25;94.190;29.860;34568.000;12.000
24.07.17;12:35:25 PM;16.50;94.530;29.820;34538.000;12.000
24.07.17;12:35:40 PM;16.75;94.160;29.860;34611.000;12.000
24.07.17;12:35:55 PM;17.00;94.660;29.800;34607.000;12.000
24.07.17;12:36:10 PM;17.25;94.130;29.870;34589.000;12.000
24.07.17;12:36:25 PM;17.50;94.850;29.780;34581.000;12.000
24.07.17;12:36:40 PM;17.75;94.360;29.840;34577.000;12.000
24.07.17;12:36:55 PM;18.00;93.730;29.910;34504.000;12.000
24.07.17;12:37:10 PM;18.25;94.420;29.830;34573.000;12.000
24.07.17;12:37:25 PM;18.50;94.210;29.860;34576.000;12.000
24.07.17;12:37:40 PM;18.75;94.070;29.870;34557.000;12.000
24.07.17;12:37:55 PM;19.00;94.170;29.860;34576.000;12.000
24.07.17;12:38:10 PM;19.25;93.910;29.890;34549.000;12.000
