24.07.17/12:18 PM SW ver:OXY10v3_33
Header Ch-9
Description: TWJ2-12
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 102585
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.07.17;12:18:50 PM;0.00;95.120;29.750;35640.000;12.000
24.07.17;12:18:59 PM;0.14;95.600;29.690;35631.000;12.000
24.07.17;12:19:14 PM;0.39;95.440;29.710;35693.000;12.000
24.07.17;12:19:29 PM;0.64;95.100;29.750;35645.000;12.000
24.07.17;12:19:44 PM;0.89;95.420;29.710;35689.000;12.000
24.07.17;12:19:59 PM;1.14;95.820;29.670;35672.000;12.000
24.07.17;12:20:14 PM;1.39;95.470;29.710;35678.000;12.000
24.07.17;12:20:29 PM;1.64;94.540;29.820;35645.000;12.000
24.07.17;12:20:44 PM;1.89;95.120;29.750;35727.000;12.000
24.07.17;12:20:59 PM;2.14;95.570;29.700;35673.000;12.000
24.07.17;12:21:14 PM;2.39;95.500;29.700;35665.000;12.000
24.07.17;12:21:29 PM;2.64;95.540;29.700;35664.000;12.000
24.07.17;12:21:44 PM;2.89;95.190;29.740;35666.000;12.000
24.07.17;12:21:59 PM;3.14;95.380;29.720;35659.000;12.000
24.07.17;12:22:14 PM;3.39;95.270;29.730;35640.000;12.000
24.07.17;12:22:29 PM;3.64;95.100;29.750;35671.000;12.000
