24.07.17/11:42 AM SW ver:OXY10v3_33
Header Ch-8
Description: WBK3-12
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 103177
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.07.17;11:42:51 AM;0.00;95.050;29.760;32521.000;12.000
24.07.17;11:42:57 AM;0.10;94.850;29.780;32513.000;12.000
24.07.17;11:43:12 AM;0.35;94.510;29.820;32508.000;12.000
24.07.17;11:43:27 AM;0.60;94.980;29.770;32545.000;12.000
24.07.17;11:43:42 AM;0.85;94.960;29.770;32519.000;12.000
24.07.17;11:43:57 AM;1.10;94.690;29.800;32493.000;12.000
24.07.17;11:44:12 AM;1.35;94.930;29.770;32504.000;12.000
24.07.17;11:44:27 AM;1.60;94.700;29.800;32489.000;12.000
24.07.17;11:44:42 AM;1.85;94.980;29.770;32495.000;12.000
24.07.17;11:44:57 AM;2.10;95.200;29.740;32510.000;12.000
24.07.17;11:45:12 AM;2.35;94.550;29.820;32533.000;12.000
24.07.17;11:45:27 AM;2.60;94.640;29.810;32514.000;12.000
24.07.17;11:45:42 AM;2.85;94.630;29.810;32491.000;12.000
24.07.17;11:45:57 AM;3.10;94.470;29.830;32504.000;12.000
24.07.17;11:46:12 AM;3.35;94.530;29.820;32538.000;12.000
24.07.17;11:46:27 AM;3.60;94.580;29.810;32512.000;12.000
24.07.17;11:46:42 AM;3.85;94.590;29.810;32536.000;12.000
24.07.17;11:46:57 AM;4.10;94.790;29.790;32529.000;12.000
24.07.17;11:47:12 AM;4.35;94.580;29.810;32531.000;12.000
24.07.17;11:47:27 AM;4.60;94.100;29.870;32518.000;12.000
24.07.17;11:47:42 AM;4.85;94.520;29.820;32536.000;12.000
24.07.17;11:47:57 AM;5.10;94.830;29.780;32502.000;12.000
24.07.17;11:48:12 AM;5.35;94.700;29.800;32529.000;12.000
24.07.17;11:48:27 AM;5.60;94.790;29.790;32537.000;12.000
24.07.17;11:48:42 AM;5.85;94.970;29.770;32502.000;12.000
24.07.17;11:48:57 AM;6.10;94.510;29.820;32526.000;12.000
24.07.17;11:49:12 AM;6.35;94.610;29.810;32531.000;12.000
24.07.17;11:49:27 AM;6.60;94.920;29.770;32526.000;12.000
24.07.17;11:49:42 AM;6.85;94.990;29.760;32512.000;12.000
24.07.17;11:49:57 AM;7.10;94.980;29.770;32551.000;12.000
24.07.17;11:50:12 AM;7.35;94.830;29.780;32550.000;12.000
24.07.17;11:50:27 AM;7.60;94.660;29.800;32550.000;12.000
24.07.17;11:50:42 AM;7.85;94.220;29.860;32530.000;12.000
24.07.17;11:50:57 AM;8.10;94.350;29.840;32525.000;12.000
24.07.17;11:51:12 AM;8.35;94.330;29.840;32517.000;12.000
24.07.17;11:51:27 AM;8.60;94.840;29.780;32539.000;12.000
24.07.17;11:51:42 AM;8.85;94.730;29.800;32528.000;12.000
24.07.17;11:51:57 AM;9.10;94.410;29.830;32527.000;12.000
24.07.17;11:52:12 AM;9.35;94.570;29.810;32523.000;12.000
24.07.17;11:52:27 AM;9.60;95.030;29.760;32533.000;12.000
24.07.17;11:52:42 AM;9.85;94.480;29.830;32529.000;12.000
24.07.17;11:52:57 AM;10.10;94.850;29.780;32535.000;12.000
24.07.17;11:53:12 AM;10.35;94.420;29.830;32546.000;12.000
24.07.17;11:53:27 AM;10.60;94.480;29.830;32550.000;12.000
24.07.17;11:53:42 AM;10.85;94.300;29.850;32556.000;12.000
24.07.17;11:53:57 AM;11.10;94.830;29.780;32540.000;12.000
24.07.17;11:54:12 AM;11.35;94.470;29.830;32538.000;12.000
24.07.17;11:54:27 AM;11.60;94.170;29.860;32574.000;12.000
24.07.17;11:54:42 AM;11.85;94.530;29.820;32559.000;12.000
24.07.17;11:54:57 AM;12.10;94.700;29.800;32554.000;12.000
24.07.17;11:55:12 AM;12.35;94.260;29.850;32523.000;12.000
24.07.17;11:55:27 AM;12.60;94.530;29.820;32553.000;12.000
24.07.17;11:55:42 AM;12.85;94.180;29.860;32545.000;12.000
24.07.17;11:55:57 AM;13.10;94.340;29.840;32521.000;12.000
24.07.17;11:56:12 AM;13.35;95.000;29.760;32578.000;12.000
24.07.17;11:56:27 AM;13.60;94.630;29.810;32571.000;12.000
24.07.17;11:56:42 AM;13.85;94.210;29.860;32555.000;12.000
24.07.17;11:56:57 AM;14.10;94.660;29.800;32581.000;12.000
24.07.17;11:57:12 AM;14.35;93.900;29.890;32553.000;12.000
24.07.17;11:57:27 AM;14.60;94.310;29.850;32564.000;12.000
24.07.17;11:57:42 AM;14.85;93.790;29.910;32574.000;12.000
24.07.17;11:57:57 AM;15.10;94.420;29.830;32558.000;12.000
24.07.17;11:58:12 AM;15.35;94.340;29.840;32563.000;12.000
24.07.17;11:58:27 AM;15.60;94.120;29.870;32561.000;12.000
24.07.17;11:58:42 AM;15.85;94.450;29.830;32574.000;12.000
24.07.17;11:58:57 AM;16.10;94.570;29.810;32553.000;12.000
24.07.17;11:59:12 AM;16.35;94.250;29.850;32556.000;12.000
24.07.17;11:59:27 AM;16.60;94.580;29.810;32563.000;12.000
24.07.17;11:59:42 AM;16.85;94.500;29.820;32564.000;12.000
24.07.17;11:59:57 AM;17.10;94.440;29.830;32605.000;12.000
24.07.17;12:00:12 PM;17.35;94.370;29.840;32555.000;12.000
24.07.17;12:00:27 PM;17.60;94.560;29.820;32572.000;12.000
24.07.17;12:00:42 PM;17.85;93.960;29.890;32547.000;12.000
24.07.17;12:00:57 PM;18.10;93.720;29.920;32566.000;12.000
24.07.17;12:01:12 PM;18.35;94.200;29.860;32597.000;12.000
24.07.17;12:01:27 PM;18.60;94.150;29.860;32565.000;12.000
24.07.17;12:01:42 PM;18.85;94.090;29.870;32592.000;12.000
24.07.17;12:01:57 PM;19.10;94.470;29.830;32566.000;12.000
