24.07.17/10:33 AM SW ver:OXY10v3_33
Header Ch-9
Description: TWJ2-15
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 102585
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.07.17;10:33:43 AM;0.00;95.260;29.140;35034.000;15.000
24.07.17;10:33:57 AM;0.23;95.330;29.130;35028.000;15.000
24.07.17;10:34:12 AM;0.48;95.020;29.170;35027.000;15.000
24.07.17;10:34:27 AM;0.73;95.270;29.140;34980.000;15.000
24.07.17;10:34:42 AM;0.98;95.400;29.130;35039.000;15.000
24.07.17;10:34:57 AM;1.23;95.510;29.110;35038.000;15.000
24.07.17;10:35:12 AM;1.49;94.780;29.200;35009.000;15.000
24.07.17;10:35:27 AM;1.74;95.040;29.170;35053.000;15.000
24.07.17;10:35:42 AM;1.99;95.040;29.170;35022.000;15.000
24.07.17;10:35:57 AM;2.24;95.520;29.110;35023.000;15.000
24.07.17;10:36:12 AM;2.49;95.950;29.060;34990.000;15.000
24.07.17;10:36:27 AM;2.73;95.060;29.170;35030.000;15.000
24.07.17;10:36:42 AM;2.99;94.790;29.200;34986.000;15.000
24.07.17;10:36:57 AM;3.24;95.520;29.110;35043.000;15.000
24.07.17;10:37:12 AM;3.48;95.650;29.100;35032.000;15.000
24.07.17;10:37:27 AM;3.73;95.280;29.140;34998.000;15.000
24.07.17;10:37:42 AM;3.98;94.540;29.230;35030.000;15.000
24.07.17;10:37:57 AM;4.23;95.310;29.140;34981.000;15.000
24.07.17;10:38:12 AM;4.48;94.820;29.190;34975.000;15.000
24.07.17;10:38:27 AM;4.74;95.000;29.170;35016.000;15.000
24.07.17;10:38:42 AM;4.99;94.750;29.200;34983.000;15.000
24.07.17;10:38:57 AM;5.23;94.960;29.180;35021.000;15.000
24.07.17;10:39:12 AM;5.49;95.310;29.140;35016.000;15.000
24.07.17;10:39:27 AM;5.73;95.500;29.110;34999.000;15.000
24.07.17;10:39:42 AM;5.99;95.230;29.150;35018.000;15.000
24.07.17;10:39:57 AM;6.23;95.040;29.170;35028.000;15.000
24.07.17;10:40:12 AM;6.48;95.070;29.160;35060.000;15.000
24.07.17;10:40:27 AM;6.74;95.050;29.170;35024.000;15.000
24.07.17;10:40:42 AM;6.98;95.800;29.080;35006.000;15.000
24.07.17;10:40:57 AM;7.23;95.350;29.130;35062.000;15.000
24.07.17;10:41:12 AM;7.48;94.960;29.180;34972.000;15.000
24.07.17;10:41:27 AM;7.74;94.750;29.200;35034.000;15.000
24.07.17;10:41:42 AM;7.99;95.300;29.140;35040.000;15.000
24.07.17;10:41:57 AM;8.23;95.100;29.160;35007.000;15.000
24.07.17;10:42:12 AM;8.48;94.800;29.200;35047.000;15.000
24.07.17;10:42:27 AM;8.73;94.830;29.190;35026.000;15.000
24.07.17;10:42:42 AM;8.99;94.930;29.180;35031.000;15.000
24.07.17;10:42:57 AM;9.24;94.940;29.180;35042.000;15.000
24.07.17;10:43:12 AM;9.48;95.440;29.120;35028.000;15.000
24.07.17;10:43:27 AM;9.73;94.730;29.200;35042.000;15.000
24.07.17;10:43:42 AM;9.99;94.990;29.170;35066.000;15.000
24.07.17;10:43:57 AM;10.23;94.540;29.230;35046.000;15.000
24.07.17;10:44:12 AM;10.49;95.210;29.150;35049.000;15.000
24.07.17;10:44:27 AM;10.73;95.090;29.160;35037.000;15.000
24.07.17;10:44:42 AM;10.98;95.220;29.150;35034.000;15.000
24.07.17;10:44:57 AM;11.24;95.070;29.160;35009.000;15.000
24.07.17;10:45:12 AM;11.49;94.450;29.240;35052.000;15.000
24.07.17;10:45:27 AM;11.74;95.610;29.100;35057.000;15.000
24.07.17;10:45:42 AM;11.99;95.410;29.120;35012.000;15.000
24.07.17;10:45:57 AM;12.23;95.130;29.160;35023.000;15.000
24.07.17;10:46:12 AM;12.49;94.970;29.180;35021.000;15.000
24.07.17;10:46:27 AM;12.74;94.480;29.230;35032.000;15.000
24.07.17;10:46:42 AM;12.98;95.300;29.140;35028.000;15.000
24.07.17;10:46:57 AM;13.24;95.150;29.150;35040.000;15.000
24.07.17;10:47:12 AM;13.49;95.400;29.130;35031.000;15.000
24.07.17;10:47:27 AM;13.74;94.570;29.220;35044.000;15.000
24.07.17;10:47:42 AM;13.99;94.930;29.180;35046.000;15.000
24.07.17;10:47:57 AM;14.23;94.990;29.170;35042.000;15.000
24.07.17;10:48:12 AM;14.48;94.310;29.250;35049.000;15.000
24.07.17;10:48:27 AM;14.73;95.210;29.150;35048.000;15.000
24.07.17;10:48:42 AM;14.99;95.080;29.160;35041.000;15.000
24.07.17;10:48:57 AM;15.24;94.340;29.250;35045.000;15.000
24.07.17;10:49:12 AM;15.48;95.100;29.160;35030.000;15.000
24.07.17;10:49:27 AM;15.74;95.090;29.160;35051.000;15.000
24.07.17;10:49:42 AM;15.98;94.540;29.230;35085.000;15.000
24.07.17;10:49:57 AM;16.24;95.750;29.090;35031.000;15.000
24.07.17;10:50:12 AM;16.49;95.030;29.170;35056.000;15.000
24.07.17;10:50:27 AM;16.74;95.180;29.150;35041.000;15.000
24.07.17;10:50:42 AM;16.99;94.720;29.200;35056.000;15.000
24.07.17;10:50:57 AM;17.23;94.950;29.180;35045.000;15.000
24.07.17;10:51:12 AM;17.48;94.900;29.180;35065.000;15.000
24.07.17;10:51:27 AM;17.73;95.120;29.160;35037.000;15.000
24.07.17;10:51:42 AM;17.98;94.520;29.230;35084.000;15.000
24.07.17;10:51:57 AM;18.24;94.890;29.190;35033.000;15.000
24.07.17;10:52:12 AM;18.49;95.270;29.140;35017.000;15.000
24.07.17;10:52:27 AM;18.73;94.580;29.220;35049.000;15.000
24.07.17;10:52:42 AM;18.98;94.740;29.200;35073.000;15.000
24.07.17;10:52:57 AM;19.24;94.840;29.190;35066.000;15.000
24.07.17;10:53:12 AM;19.49;94.680;29.210;35047.000;15.000
24.07.17;10:53:27 AM;19.73;94.250;29.260;35078.000;15.000
24.07.17;10:53:42 AM;19.98;94.130;29.270;35048.000;15.000
24.07.17;10:53:57 AM;20.24;94.470;29.230;35032.000;15.000
