24.07.17/10:01 AM SW ver:OXY10v3_33
Header Ch-10
Description: WBI1-15
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 101486
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.07.17;10:01:25 AM;0.00;94.910;29.180;44492.000;15.000
24.07.17;10:01:29 AM;0.07;94.910;29.180;44479.000;15.000
24.07.17;10:01:44 AM;0.32;94.780;29.200;44464.000;15.000
24.07.17;10:01:59 AM;0.57;94.770;29.200;44482.000;15.000
24.07.17;10:02:14 AM;0.82;94.930;29.180;44472.000;15.000
24.07.17;10:02:29 AM;1.07;94.540;29.230;44463.000;15.000
24.07.17;10:02:44 AM;1.33;94.700;29.210;44475.000;15.000
24.07.17;10:02:59 AM;1.58;95.000;29.170;44500.000;15.000
24.07.17;10:03:14 AM;1.82;94.890;29.190;44468.000;15.000
24.07.17;10:03:29 AM;2.08;95.130;29.160;44452.000;15.000
24.07.17;10:03:44 AM;2.32;95.050;29.170;44450.000;15.000
24.07.17;10:03:59 AM;2.57;95.210;29.150;44467.000;15.000
24.07.17;10:04:14 AM;2.82;95.280;29.140;44450.000;15.000
24.07.17;10:04:29 AM;3.07;95.040;29.170;44476.000;15.000
24.07.17;10:04:44 AM;3.32;95.130;29.160;44432.000;15.000
24.07.17;10:04:59 AM;3.58;94.800;29.200;44456.000;15.000
24.07.17;10:05:14 AM;3.83;94.830;29.190;44452.000;15.000
24.07.17;10:05:29 AM;4.07;94.870;29.190;44460.000;15.000
24.07.17;10:05:44 AM;4.32;94.950;29.180;44445.000;15.000
24.07.17;10:05:59 AM;4.58;94.960;29.180;44429.000;15.000
24.07.17;10:06:14 AM;4.83;94.520;29.230;44407.000;15.000
24.07.17;10:06:29 AM;5.07;95.170;29.150;44436.000;15.000
24.07.17;10:06:44 AM;5.33;94.910;29.180;44456.000;15.000
24.07.17;10:06:59 AM;5.57;95.290;29.140;44440.000;15.000
24.07.17;10:07:14 AM;5.83;94.610;29.220;44462.000;15.000
24.07.17;10:07:29 AM;6.07;94.690;29.210;44473.000;15.000
24.07.17;10:07:44 AM;6.32;94.910;29.180;44443.000;15.000
24.07.17;10:07:59 AM;6.58;94.840;29.190;44418.000;15.000
