24.07.17/10:01 AM SW ver:OXY10v3_33
Header Ch-5
Description: TBN3-15
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 104456
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.07.17;10:01:23 AM;0.00;93.890;29.300;48603.000;15.000
24.07.17;10:01:34 AM;0.19;93.860;29.310;48634.000;15.000
24.07.17;10:01:49 AM;0.44;93.800;29.310;48599.000;15.000
24.07.17;10:02:04 AM;0.69;93.640;29.330;48637.000;15.000
24.07.17;10:02:19 AM;0.94;93.860;29.310;48620.000;15.000
24.07.17;10:02:34 AM;1.19;93.800;29.310;48628.000;15.000
24.07.17;10:02:49 AM;1.44;93.280;29.370;48617.000;15.000
24.07.17;10:03:04 AM;1.69;93.580;29.340;48621.000;15.000
24.07.17;10:03:19 AM;1.94;93.960;29.290;48586.000;15.000
24.07.17;10:03:34 AM;2.19;93.630;29.330;48611.000;15.000
24.07.17;10:03:49 AM;2.44;93.640;29.330;48621.000;15.000
24.07.17;10:04:04 AM;2.69;93.840;29.310;48648.000;15.000
24.07.17;10:04:19 AM;2.94;93.780;29.320;48621.000;15.000
24.07.17;10:04:34 AM;3.19;93.850;29.310;48642.000;15.000
24.07.17;10:04:49 AM;3.44;93.320;29.370;48651.000;15.000
24.07.17;10:05:04 AM;3.69;93.750;29.320;48696.000;15.000
24.07.17;10:05:19 AM;3.94;93.770;29.320;48667.000;15.000
24.07.17;10:05:34 AM;4.19;93.770;29.320;48684.000;15.000
24.07.17;10:05:49 AM;4.44;93.620;29.330;48688.000;15.000
24.07.17;10:06:04 AM;4.69;93.530;29.340;48684.000;15.000
24.07.17;10:06:19 AM;4.94;93.670;29.330;48674.000;15.000
24.07.17;10:06:34 AM;5.19;93.590;29.340;48678.000;15.000
24.07.17;10:06:49 AM;5.44;93.530;29.340;48706.000;15.000
24.07.17;10:07:04 AM;5.69;93.530;29.350;48685.000;15.000
24.07.17;10:07:19 AM;5.94;93.220;29.380;48689.000;15.000
24.07.17;10:07:34 AM;6.19;93.530;29.340;48730.000;15.000
24.07.17;10:07:49 AM;6.44;93.490;29.350;48705.000;15.000
24.07.17;10:08:04 AM;6.69;93.440;29.360;48691.000;15.000
24.07.17;10:08:19 AM;6.94;93.970;29.290;48716.000;15.000
24.07.17;10:08:34 AM;7.19;93.470;29.350;48698.000;15.000
24.07.17;10:08:49 AM;7.44;93.540;29.340;48708.000;15.000
24.07.17;10:09:04 AM;7.69;93.590;29.340;48752.000;15.000
24.07.17;10:09:19 AM;7.94;93.260;29.380;48774.000;15.000
24.07.17;10:09:34 AM;8.19;93.370;29.360;48772.000;15.000
24.07.17;10:09:49 AM;8.44;93.390;29.360;48741.000;15.000
24.07.17;10:10:04 AM;8.69;93.780;29.320;48723.000;15.000
24.07.17;10:10:19 AM;8.94;93.570;29.340;48762.000;15.000
24.07.17;10:10:34 AM;9.19;93.660;29.330;48771.000;15.000
24.07.17;10:10:49 AM;9.44;93.130;29.390;48745.000;15.000
24.07.17;10:11:04 AM;9.69;93.350;29.370;48796.000;15.000
24.07.17;10:11:19 AM;9.94;93.370;29.360;48777.000;15.000
24.07.17;10:11:34 AM;10.19;93.130;29.390;48816.000;15.000
24.07.17;10:11:49 AM;10.44;93.420;29.360;48830.000;15.000
24.07.17;10:12:04 AM;10.69;92.970;29.410;48821.000;15.000
24.07.17;10:12:19 AM;10.94;93.140;29.390;48771.000;15.000
24.07.17;10:12:34 AM;11.19;93.300;29.370;48823.000;15.000
24.07.17;10:12:49 AM;11.44;93.280;29.370;48836.000;15.000
24.07.17;10:13:04 AM;11.69;92.860;29.420;48805.000;15.000
24.07.17;10:13:19 AM;11.94;92.960;29.410;48832.000;15.000
24.07.17;10:13:34 AM;12.19;92.950;29.410;48836.000;15.000
24.07.17;10:13:49 AM;12.44;92.980;29.410;48868.000;15.000
24.07.17;10:14:04 AM;12.69;93.240;29.380;48810.000;15.000
24.07.17;10:14:19 AM;12.94;93.250;29.380;48856.000;15.000
24.07.17;10:14:34 AM;13.19;93.200;29.380;48851.000;15.000
24.07.17;10:14:49 AM;13.44;92.960;29.410;48826.000;15.000
24.07.17;10:15:04 AM;13.69;92.970;29.410;48871.000;15.000
24.07.17;10:15:19 AM;13.94;93.250;29.380;48868.000;15.000
24.07.17;10:15:34 AM;14.19;92.890;29.420;48873.000;15.000
24.07.17;10:15:49 AM;14.44;93.180;29.390;48854.000;15.000
