24.07.17/8:53 AM SW ver:OXY10v3_33
Header Ch-10
Description: WBI1-18
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 101486
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.07.17;8:53:37 AM;0.00;95.010;28.600;43575.000;18.000
24.07.17;8:53:51 AM;0.23;94.950;28.610;43550.000;18.000
24.07.17;8:54:06 AM;0.48;94.910;28.610;43569.000;18.000
24.07.17;8:54:21 AM;0.73;94.720;28.630;43597.000;18.000
24.07.17;8:54:36 AM;0.98;95.130;28.580;43551.000;18.000
24.07.17;8:54:51 AM;1.23;94.730;28.630;43529.000;18.000
24.07.17;8:55:06 AM;1.48;94.690;28.640;43546.000;18.000
24.07.17;8:55:21 AM;1.73;94.960;28.600;43522.000;18.000
24.07.17;8:55:36 AM;1.98;94.700;28.630;43526.000;18.000
24.07.17;8:55:51 AM;2.23;94.890;28.610;43540.000;18.000
24.07.17;8:56:06 AM;2.48;94.820;28.620;43565.000;18.000
24.07.17;8:56:21 AM;2.73;94.830;28.620;43492.000;18.000
24.07.17;8:56:36 AM;2.98;94.920;28.610;43466.000;18.000
24.07.17;8:56:51 AM;3.23;94.330;28.680;43480.000;18.000
24.07.17;8:57:06 AM;3.48;94.570;28.650;43490.000;18.000
24.07.17;8:57:21 AM;3.73;94.810;28.620;43447.000;18.000
24.07.17;8:57:36 AM;3.98;95.330;28.560;43446.000;18.000
24.07.17;8:57:51 AM;4.23;94.680;28.640;43486.000;18.000
24.07.17;8:58:06 AM;4.48;94.700;28.630;43457.000;18.000
24.07.17;8:58:21 AM;4.73;94.410;28.670;43474.000;18.000
24.07.17;8:58:36 AM;4.98;95.450;28.550;43458.000;18.000
