24.07.17/8:20 AM SW ver:OXY10v3_33
Header Ch-4
Description: WWJ3-18
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 99789
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.07.17;8:20:15 AM;0.00;93.650;28.760;36794.000;18.000
24.07.17;8:20:16 AM;0.02;94.100;28.700;36778.000;18.000
24.07.17;8:20:25 AM;0.17;93.560;28.770;36764.000;18.000
24.07.17;8:20:40 AM;0.42;93.560;28.770;36765.000;18.000
24.07.17;8:20:55 AM;0.67;93.400;28.790;36773.000;18.000
24.07.17;8:21:10 AM;0.92;93.740;28.750;36793.000;18.000
24.07.17;8:21:25 AM;1.17;93.710;28.750;36811.000;18.000
24.07.17;8:21:40 AM;1.42;93.680;28.750;36788.000;18.000
24.07.17;8:21:55 AM;1.67;93.720;28.750;36770.000;18.000
24.07.17;8:22:10 AM;1.92;93.480;28.780;36736.000;18.000
24.07.17;8:22:25 AM;2.17;93.610;28.760;36761.000;18.000
24.07.17;8:22:40 AM;2.42;93.540;28.770;36735.000;18.000
24.07.17;8:22:55 AM;2.67;93.890;28.730;36772.000;18.000
24.07.17;8:23:10 AM;2.92;93.740;28.750;36723.000;18.000
24.07.17;8:23:25 AM;3.17;93.480;28.780;36741.000;18.000
