24.07.17/8:20 AM SW ver:OXY10v3_33
Header Ch-7
Description: TBI3-18
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 97610
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.07.17;8:20:17 AM;0.00;93.950;28.720;34725.000;18.000
24.07.17;8:20:18 AM;0.02;93.260;28.800;34732.000;18.000
24.07.17;8:20:30 AM;0.22;93.510;28.770;34719.000;18.000
24.07.17;8:20:45 AM;0.47;93.480;28.780;34752.000;18.000
24.07.17;8:21:00 AM;0.72;93.380;28.790;34744.000;18.000
24.07.17;8:21:15 AM;0.97;93.640;28.760;34706.000;18.000
24.07.17;8:21:30 AM;1.22;93.600;28.760;34687.000;18.000
24.07.17;8:21:45 AM;1.47;93.600;28.760;34711.000;18.000
24.07.17;8:22:00 AM;1.72;93.330;28.790;34644.000;18.000
24.07.17;8:22:15 AM;1.97;94.170;28.700;34681.000;18.000
24.07.17;8:22:30 AM;2.22;93.590;28.760;34650.000;18.000
24.07.17;8:22:45 AM;2.47;93.480;28.780;34676.000;18.000
24.07.17;8:23:00 AM;2.72;93.380;28.790;34652.000;18.000
24.07.17;8:23:15 AM;2.97;93.790;28.740;34631.000;18.000
24.07.17;8:23:30 AM;3.22;93.420;28.780;34642.000;18.000
24.07.17;8:23:45 AM;3.47;93.420;28.780;34638.000;18.000
24.07.17;8:24:00 AM;3.72;93.350;28.790;34640.000;18.000
24.07.17;8:24:15 AM;3.97;93.480;28.780;34643.000;18.000
24.07.17;8:24:30 AM;4.22;93.620;28.760;34600.000;18.000
24.07.17;8:24:45 AM;4.47;93.860;28.730;34643.000;18.000
24.07.17;8:25:00 AM;4.72;93.480;28.780;34611.000;18.000
24.07.17;8:25:15 AM;4.97;93.140;28.820;34614.000;18.000
24.07.17;8:25:30 AM;5.22;93.290;28.800;34588.000;18.000
24.07.17;8:25:45 AM;5.47;93.830;28.730;34599.000;18.000
24.07.17;8:26:00 AM;5.72;93.120;28.820;34622.000;18.000
24.07.17;8:26:15 AM;5.97;93.390;28.790;34600.000;18.000
24.07.17;8:26:30 AM;6.22;93.520;28.770;34616.000;18.000
24.07.17;8:26:45 AM;6.47;93.220;28.810;34594.000;18.000
24.07.17;8:27:00 AM;6.72;93.350;28.790;34590.000;18.000
24.07.17;8:27:15 AM;6.97;93.440;28.780;34588.000;18.000
24.07.17;8:27:30 AM;7.22;93.510;28.770;34584.000;18.000
24.07.17;8:27:45 AM;7.47;93.110;28.820;34549.000;18.000
24.07.17;8:28:00 AM;7.72;93.190;28.810;34588.000;18.000
24.07.17;8:28:15 AM;7.97;93.190;28.810;34589.000;18.000
24.07.17;8:28:30 AM;8.22;93.380;28.790;34591.000;18.000
24.07.17;8:28:45 AM;8.47;93.140;28.820;34563.000;18.000
24.07.17;8:29:00 AM;8.72;93.170;28.810;34581.000;18.000
24.07.17;8:29:15 AM;8.97;92.920;28.840;34560.000;18.000
24.07.17;8:29:30 AM;9.22;93.300;28.800;34537.000;18.000
24.07.17;8:29:45 AM;9.47;93.330;28.790;34544.000;18.000
24.07.17;8:30:00 AM;9.72;93.100;28.820;34567.000;18.000
24.07.17;8:30:15 AM;9.97;93.170;28.810;34519.000;18.000
24.07.17;8:30:30 AM;10.22;92.840;28.850;34541.000;18.000
24.07.17;8:30:45 AM;10.47;93.210;28.810;34535.000;18.000
24.07.17;8:31:00 AM;10.72;93.010;28.830;34534.000;18.000
24.07.17;8:31:15 AM;10.97;93.080;28.820;34545.000;18.000
24.07.17;8:31:30 AM;11.22;92.780;28.860;34549.000;18.000
24.07.17;8:31:45 AM;11.47;92.870;28.850;34540.000;18.000
24.07.17;8:32:00 AM;11.72;92.860;28.850;34541.000;18.000
24.07.17;8:32:15 AM;11.97;93.250;28.800;34531.000;18.000
24.07.17;8:32:30 AM;12.22;93.020;28.830;34505.000;18.000
24.07.17;8:32:45 AM;12.47;93.220;28.810;34537.000;18.000
24.07.17;8:33:00 AM;12.72;93.310;28.800;34522.000;18.000
24.07.17;8:33:15 AM;12.97;92.910;28.840;34530.000;18.000
24.07.17;8:33:30 AM;13.22;92.840;28.850;34514.000;18.000
24.07.17;8:33:45 AM;13.47;93.070;28.820;34514.000;18.000
24.07.17;8:34:00 AM;13.72;92.640;28.870;34493.000;18.000
24.07.17;8:34:15 AM;13.97;92.720;28.870;34480.000;18.000
24.07.17;8:34:30 AM;14.22;92.750;28.860;34503.000;18.000
24.07.17;8:34:45 AM;14.47;92.980;28.830;34520.000;18.000
24.07.17;8:35:00 AM;14.72;93.010;28.830;34477.000;18.000
24.07.17;8:35:15 AM;14.97;92.930;28.840;34495.000;18.000
24.07.17;8:35:30 AM;15.22;92.930;28.840;34461.000;18.000
24.07.17;8:35:45 AM;15.47;93.170;28.810;34486.000;18.000
24.07.17;8:36:00 AM;15.72;92.390;28.900;34481.000;18.000
24.07.17;8:36:15 AM;15.97;92.610;28.880;34506.000;18.000
24.07.17;8:36:30 AM;16.22;93.020;28.830;34483.000;18.000
24.07.17;8:36:45 AM;16.47;92.610;28.880;34496.000;18.000
24.07.17;8:37:00 AM;16.72;92.530;28.890;34472.000;18.000
24.07.17;8:37:15 AM;16.97;93.020;28.830;34478.000;18.000
24.07.17;8:37:30 AM;17.22;92.560;28.880;34466.000;18.000
24.07.17;8:37:45 AM;17.47;93.000;28.830;34478.000;18.000
24.07.17;8:38:00 AM;17.72;92.550;28.890;34460.000;18.000
24.07.17;8:38:15 AM;17.97;92.800;28.860;34486.000;18.000
24.07.17;8:38:30 AM;18.22;93.120;28.820;34492.000;18.000
24.07.17;8:38:45 AM;18.47;92.580;28.880;34479.000;18.000
24.07.17;8:39:00 AM;18.72;92.710;28.870;34466.000;18.000
24.07.17;8:39:15 AM;18.97;92.370;28.910;34458.000;18.000
24.07.17;8:39:30 AM;19.22;92.740;28.860;34464.000;18.000
24.07.17;8:39:45 AM;19.47;92.630;28.880;34453.000;18.000
24.07.17;8:40:00 AM;19.72;92.640;28.880;34471.000;18.000
