24.07.17/8:20 AM SW ver:OXY10v3_33
Header Ch-9
Description: TWJ2-18
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 102585
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.07.17;8:20:20 AM;0.00;94.590;28.650;34488.000;18.000
24.07.17;8:20:21 AM;0.02;94.780;28.620;34484.000;18.000
24.07.17;8:20:34 AM;0.25;94.370;28.670;34477.000;18.000
24.07.17;8:20:49 AM;0.50;94.680;28.640;34477.000;18.000
24.07.17;8:21:04 AM;0.74;94.640;28.640;34461.000;18.000
24.07.17;8:21:19 AM;1.00;94.580;28.650;34456.000;18.000
24.07.17;8:21:34 AM;1.24;94.770;28.630;34469.000;18.000
24.07.17;8:21:49 AM;1.50;94.770;28.630;34462.000;18.000
24.07.17;8:22:04 AM;1.74;94.640;28.640;34460.000;18.000
24.07.17;8:22:19 AM;2.00;94.460;28.660;34432.000;18.000
24.07.17;8:22:34 AM;2.24;94.660;28.640;34413.000;18.000
24.07.17;8:22:49 AM;2.49;94.550;28.650;34428.000;18.000
24.07.17;8:23:04 AM;2.75;94.790;28.620;34434.000;18.000
24.07.17;8:23:19 AM;2.99;94.620;28.640;34419.000;18.000
24.07.17;8:23:34 AM;3.24;94.670;28.640;34390.000;18.000
24.07.17;8:23:49 AM;3.50;94.680;28.640;34404.000;18.000
24.07.17;8:24:04 AM;3.74;94.560;28.650;34411.000;18.000
24.07.17;8:24:19 AM;4.00;95.020;28.600;34431.000;18.000
24.07.17;8:24:34 AM;4.25;94.380;28.670;34424.000;18.000
24.07.17;8:24:49 AM;4.49;94.330;28.680;34383.000;18.000
24.07.17;8:25:04 AM;4.75;94.570;28.650;34385.000;18.000
24.07.17;8:25:19 AM;5.00;94.730;28.630;34417.000;18.000
24.07.17;8:25:34 AM;5.24;94.670;28.640;34407.000;18.000
24.07.17;8:25:49 AM;5.49;94.420;28.670;34414.000;18.000
24.07.17;8:26:04 AM;5.75;94.360;28.670;34371.000;18.000
24.07.17;8:26:19 AM;5.99;94.420;28.670;34408.000;18.000
24.07.17;8:26:34 AM;6.25;94.300;28.680;34394.000;18.000
24.07.17;8:26:49 AM;6.50;94.420;28.670;34374.000;18.000
24.07.17;8:27:04 AM;6.74;94.500;28.660;34397.000;18.000
24.07.17;8:27:19 AM;7.00;94.750;28.630;34357.000;18.000
24.07.17;8:27:34 AM;7.25;94.370;28.670;34387.000;18.000
24.07.17;8:27:49 AM;7.50;94.460;28.660;34380.000;18.000
24.07.17;8:28:04 AM;7.74;94.730;28.630;34394.000;18.000
24.07.17;8:28:19 AM;8.00;94.590;28.650;34354.000;18.000
24.07.17;8:28:34 AM;8.25;94.460;28.660;34370.000;18.000
24.07.17;8:28:49 AM;8.50;93.990;28.720;34361.000;18.000
24.07.17;8:29:04 AM;8.75;94.570;28.650;34381.000;18.000
24.07.17;8:29:19 AM;8.99;94.630;28.640;34357.000;18.000
24.07.17;8:29:34 AM;9.25;94.580;28.650;34378.000;18.000
24.07.17;8:29:49 AM;9.50;94.180;28.690;34381.000;18.000
24.07.17;8:30:04 AM;9.74;94.150;28.700;34350.000;18.000
24.07.17;8:30:19 AM;10.00;94.200;28.690;34372.000;18.000
24.07.17;8:30:34 AM;10.25;94.450;28.660;34341.000;18.000
24.07.17;8:30:49 AM;10.50;94.350;28.670;34344.000;18.000
24.07.17;8:31:04 AM;10.75;94.260;28.690;34314.000;18.000
24.07.17;8:31:19 AM;10.99;94.610;28.640;34349.000;18.000
24.07.17;8:31:34 AM;11.24;94.400;28.670;34356.000;18.000
24.07.17;8:31:49 AM;11.49;94.840;28.620;34349.000;18.000
24.07.17;8:32:04 AM;11.75;94.330;28.680;34343.000;18.000
24.07.17;8:32:19 AM;11.99;94.500;28.660;34320.000;18.000
24.07.17;8:32:34 AM;12.25;94.520;28.650;34320.000;18.000
24.07.17;8:32:49 AM;12.49;94.140;28.700;34274.000;18.000
24.07.17;8:33:04 AM;12.74;94.210;28.690;34325.000;18.000
24.07.17;8:33:19 AM;12.99;94.290;28.680;34331.000;18.000
24.07.17;8:33:34 AM;13.25;94.190;28.690;34332.000;18.000
24.07.17;8:33:49 AM;13.49;94.150;28.700;34296.000;18.000
24.07.17;8:34:04 AM;13.75;93.890;28.730;34326.000;18.000
24.07.17;8:34:19 AM;14.00;93.700;28.750;34320.000;18.000
24.07.17;8:34:34 AM;14.25;94.530;28.650;34318.000;18.000
24.07.17;8:34:49 AM;14.49;93.870;28.730;34324.000;18.000
24.07.17;8:35:04 AM;14.75;94.230;28.690;34305.000;18.000
24.07.17;8:35:19 AM;14.99;94.060;28.710;34344.000;18.000
24.07.17;8:35:34 AM;15.24;94.270;28.680;34337.000;18.000
24.07.17;8:35:49 AM;15.50;94.070;28.710;34320.000;18.000
24.07.17;8:36:04 AM;15.75;93.850;28.730;34316.000;18.000
24.07.17;8:36:19 AM;16.00;94.140;28.700;34339.000;18.000
24.07.17;8:36:34 AM;16.25;93.410;28.780;34354.000;18.000
24.07.17;8:36:49 AM;16.50;93.790;28.740;34353.000;18.000
24.07.17;8:37:04 AM;16.75;94.240;28.690;34297.000;18.000
24.07.17;8:37:19 AM;16.99;93.680;28.750;34320.000;18.000
24.07.17;8:37:34 AM;17.25;93.830;28.740;34330.000;18.000
24.07.17;8:37:49 AM;17.50;94.060;28.710;34326.000;18.000
24.07.17;8:38:04 AM;17.75;94.450;28.660;34334.000;18.000
24.07.17;8:38:19 AM;17.99;93.930;28.720;34353.000;18.000
24.07.17;8:38:34 AM;18.25;93.920;28.720;34352.000;18.000
24.07.17;8:38:49 AM;18.50;93.600;28.760;34348.000;18.000
24.07.17;8:39:04 AM;18.75;93.890;28.730;34391.000;18.000
24.07.17;8:39:19 AM;19.00;93.710;28.750;34397.000;18.000
24.07.17;8:39:34 AM;19.24;94.060;28.710;34378.000;18.000
24.07.17;8:39:49 AM;19.50;93.690;28.750;34394.000;18.000
24.07.17;8:40:04 AM;19.75;93.700;28.750;34379.000;18.000
