24.07.17/3:54 PM SW ver:OXY10v3_33
Header Ch-6
Description: TWK1-6
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 101965
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.07.17;3:54:09 PM;0.00;97.110;30.750;41162.000;6.000
24.07.17;3:54:20 PM;0.19;96.960;30.770;41120.000;6.000
24.07.17;3:54:35 PM;0.44;97.870;30.670;41139.000;6.000
24.07.17;3:54:50 PM;0.69;97.740;30.680;41165.000;6.000
24.07.17;3:55:05 PM;0.94;97.040;30.760;41114.000;6.000
24.07.17;3:55:20 PM;1.19;97.630;30.690;41187.000;6.000
24.07.17;3:55:35 PM;1.44;97.300;30.730;41077.000;6.000
24.07.17;3:55:50 PM;1.69;97.490;30.710;41139.000;6.000
24.07.17;3:56:05 PM;1.94;97.240;30.740;41150.000;6.000
24.07.17;3:56:20 PM;2.19;97.350;30.730;41165.000;6.000
24.07.17;3:56:35 PM;2.44;97.190;30.750;41085.000;6.000
24.07.17;3:56:50 PM;2.69;97.430;30.720;41124.000;6.000
24.07.17;3:57:05 PM;2.94;97.890;30.660;41094.000;6.000
24.07.17;3:57:20 PM;3.19;97.230;30.740;41176.000;6.000
24.07.17;3:57:35 PM;3.44;97.580;30.700;41106.000;6.000
24.07.17;3:57:50 PM;3.69;97.100;30.760;41144.000;6.000
24.07.17;3:58:05 PM;3.94;97.360;30.720;41087.000;6.000
24.07.17;3:58:20 PM;4.19;97.590;30.700;41127.000;6.000
24.07.17;3:58:35 PM;4.44;97.610;30.700;41126.000;6.000
24.07.17;3:58:50 PM;4.69;98.170;30.630;41107.000;6.000
24.07.17;3:59:05 PM;4.94;98.020;30.650;41066.000;6.000
24.07.17;3:59:20 PM;5.19;97.710;30.680;41146.000;6.000
24.07.17;3:59:35 PM;5.44;97.800;30.670;41117.000;6.000
24.07.17;3:59:50 PM;5.69;97.340;30.730;41124.000;6.000
24.07.17;4:00:05 PM;5.94;97.240;30.740;41139.000;6.000
24.07.17;4:00:20 PM;6.19;97.140;30.750;41134.000;6.000
24.07.17;4:00:35 PM;6.44;97.420;30.720;41146.000;6.000
24.07.17;4:00:50 PM;6.69;97.480;30.710;41070.000;6.000
24.07.17;4:01:05 PM;6.94;98.680;30.570;41125.000;6.000
24.07.17;4:01:20 PM;7.19;97.570;30.700;41117.000;6.000
24.07.17;4:01:35 PM;7.44;97.650;30.690;41185.000;6.000
24.07.17;4:01:50 PM;7.69;97.780;30.680;41136.000;6.000
24.07.17;4:02:05 PM;7.94;98.220;30.630;41183.000;6.000
24.07.17;4:02:20 PM;8.19;97.910;30.660;41179.000;6.000
24.07.17;4:02:35 PM;8.44;97.520;30.710;41134.000;6.000
24.07.17;4:02:50 PM;8.69;97.500;30.710;41173.000;6.000
24.07.17;4:03:05 PM;8.94;97.340;30.730;41151.000;6.000
24.07.17;4:03:20 PM;9.19;98.120;30.640;41149.000;6.000
24.07.17;4:03:35 PM;9.44;97.300;30.730;41147.000;6.000
24.07.17;4:03:50 PM;9.69;97.880;30.660;41108.000;6.000
24.07.17;4:04:05 PM;9.94;98.280;30.620;41151.000;6.000
24.07.17;4:04:20 PM;10.19;97.120;30.750;41159.000;6.000
24.07.17;4:04:35 PM;10.44;97.900;30.660;41146.000;6.000
24.07.17;4:04:50 PM;10.69;98.060;30.640;41110.000;6.000
24.07.17;4:05:05 PM;10.94;97.660;30.690;41095.000;6.000
24.07.17;4:05:20 PM;11.19;97.440;30.720;41127.000;6.000
24.07.17;4:05:35 PM;11.44;98.260;30.620;41114.000;6.000
24.07.17;4:05:50 PM;11.69;97.270;30.740;41185.000;6.000
24.07.17;4:06:05 PM;11.94;97.720;30.680;41165.000;6.000
24.07.17;4:06:20 PM;12.19;97.010;30.770;41084.000;6.000
24.07.17;4:06:35 PM;12.44;97.300;30.730;41138.000;6.000
24.07.17;4:06:50 PM;12.69;97.580;30.700;41147.000;6.000
24.07.17;4:07:05 PM;12.94;97.580;30.700;41133.000;6.000
24.07.17;4:07:20 PM;13.19;97.620;30.690;41111.000;6.000
24.07.17;4:07:35 PM;13.44;97.470;30.710;41115.000;6.000
24.07.17;4:07:50 PM;13.69;97.460;30.710;41120.000;6.000
24.07.17;4:08:05 PM;13.94;98.290;30.620;41117.000;6.000
24.07.17;4:08:20 PM;14.19;97.820;30.670;41151.000;6.000
24.07.17;4:08:35 PM;14.44;97.360;30.730;41115.000;6.000
24.07.17;4:08:50 PM;14.69;96.970;30.770;41105.000;6.000
24.07.17;4:09:05 PM;14.94;97.920;30.660;41125.000;6.000
24.07.17;4:09:20 PM;15.19;97.370;30.720;41145.000;6.000
24.07.17;4:09:35 PM;15.44;97.610;30.700;41135.000;6.000
24.07.17;4:09:50 PM;15.69;97.240;30.740;41113.000;6.000
