24.07.17/3:18 PM SW ver:OXY10v3_33
Header Ch-9
Description: TWJ2-6
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 102585
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.07.17;3:18:52 PM;0.00;95.080;31.000;37325.000;6.000
24.07.17;3:18:55 PM;0.06;95.000;31.000;37340.000;6.000
24.07.17;3:19:10 PM;0.31;95.530;30.940;37350.000;6.000
24.07.17;3:19:25 PM;0.57;95.120;30.990;37348.000;6.000
24.07.17;3:19:40 PM;0.82;95.450;30.950;37362.000;6.000
24.07.17;3:19:55 PM;1.06;95.310;30.970;37363.000;6.000
24.07.17;3:20:10 PM;1.31;95.110;30.990;37340.000;6.000
24.07.17;3:20:25 PM;1.56;94.940;31.010;37347.000;6.000
24.07.17;3:20:40 PM;1.82;95.040;31.000;37360.000;6.000
24.07.17;3:20:55 PM;2.06;95.140;30.990;37341.000;6.000
24.07.17;3:21:10 PM;2.31;95.110;30.990;37350.000;6.000
24.07.17;3:21:25 PM;2.57;95.260;30.970;37379.000;6.000
24.07.17;3:21:40 PM;2.81;95.150;30.990;37374.000;6.000
24.07.17;3:21:55 PM;3.06;95.240;30.980;37373.000;6.000
24.07.17;3:22:10 PM;3.31;95.000;31.000;37354.000;6.000
24.07.17;3:22:25 PM;3.56;95.250;30.970;37341.000;6.000
24.07.17;3:22:40 PM;3.81;95.180;30.980;37379.000;6.000
24.07.17;3:22:55 PM;4.07;95.070;31.000;37352.000;6.000
24.07.17;3:23:10 PM;4.31;94.740;31.040;37357.000;6.000
24.07.17;3:23:25 PM;4.56;94.930;31.010;37341.000;6.000
24.07.17;3:23:40 PM;4.81;95.010;31.000;37339.000;6.000
24.07.17;3:23:55 PM;5.06;94.860;31.020;37343.000;6.000
24.07.17;3:24:10 PM;5.32;95.550;30.940;37354.000;6.000
24.07.17;3:24:25 PM;5.56;94.900;31.020;37352.000;6.000
