24.07.17/2:01 PM SW ver:OXY10v3_33
Header Ch-10
Description: WBI1-9
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 101486
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.07.17;2:01:05 PM;0.00;95.890;30.270;46343.000;9.000
24.07.17;2:01:20 PM;0.25;95.470;30.320;46369.000;9.000
24.07.17;2:01:35 PM;0.50;95.940;30.260;46338.000;9.000
24.07.17;2:01:50 PM;0.75;95.630;30.300;46305.000;9.000
24.07.17;2:02:05 PM;1.00;96.040;30.250;46342.000;9.000
24.07.17;2:02:20 PM;1.25;95.600;30.300;46312.000;9.000
24.07.17;2:02:35 PM;1.50;95.650;30.300;46328.000;9.000
24.07.17;2:02:50 PM;1.75;95.850;30.270;46323.000;9.000
24.07.17;2:03:05 PM;2.00;95.670;30.290;46327.000;9.000
24.07.17;2:03:20 PM;2.25;95.670;30.290;46309.000;9.000
24.07.17;2:03:35 PM;2.50;95.760;30.280;46357.000;9.000
24.07.17;2:03:50 PM;2.75;95.880;30.270;46321.000;9.000
24.07.17;2:04:05 PM;3.00;95.600;30.300;46342.000;9.000
24.07.17;2:04:20 PM;3.25;96.140;30.240;46320.000;9.000
24.07.17;2:04:35 PM;3.50;95.600;30.300;46340.000;9.000
24.07.17;2:04:50 PM;3.75;95.240;30.350;46314.000;9.000
24.07.17;2:05:05 PM;4.00;95.590;30.300;46309.000;9.000
24.07.17;2:05:20 PM;4.25;95.650;30.300;46340.000;9.000
24.07.17;2:05:35 PM;4.50;96.350;30.210;46327.000;9.000
24.07.17;2:05:50 PM;4.75;95.690;30.290;46314.000;9.000
24.07.17;2:06:05 PM;5.00;95.900;30.270;46329.000;9.000
24.07.17;2:06:20 PM;5.25;95.650;30.300;46320.000;9.000
24.07.17;2:06:35 PM;5.50;95.450;30.320;46321.000;9.000
24.07.17;2:06:50 PM;5.75;95.490;30.320;46284.000;9.000
24.07.17;2:07:05 PM;6.00;95.530;30.310;46318.000;9.000
24.07.17;2:07:20 PM;6.25;95.960;30.260;46301.000;9.000
24.07.17;2:07:35 PM;6.50;95.940;30.260;46331.000;9.000
24.07.17;2:07:50 PM;6.75;95.380;30.330;46326.000;9.000
24.07.17;2:08:05 PM;7.00;96.200;30.230;46324.000;9.000
24.07.17;2:08:20 PM;7.25;95.560;30.310;46333.000;9.000
24.07.17;2:08:35 PM;7.50;96.420;30.210;46302.000;9.000
24.07.17;2:08:50 PM;7.75;95.990;30.260;46311.000;9.000
24.07.17;2:09:05 PM;8.00;96.000;30.260;46331.000;9.000
24.07.17;2:09:20 PM;8.25;96.360;30.210;46244.000;9.000
24.07.17;2:09:35 PM;8.50;95.570;30.310;46279.000;9.000
24.07.17;2:09:50 PM;8.75;95.740;30.290;46264.000;9.000
24.07.17;2:10:05 PM;9.00;96.280;30.220;46262.000;9.000
24.07.17;2:10:20 PM;9.25;96.050;30.250;46268.000;9.000
24.07.17;2:10:35 PM;9.50;96.270;30.220;46280.000;9.000
24.07.17;2:10:50 PM;9.75;95.880;30.270;46290.000;9.000
24.07.17;2:11:05 PM;10.00;96.000;30.260;46288.000;9.000
24.07.17;2:11:20 PM;10.25;95.970;30.260;46243.000;9.000
24.07.17;2:11:35 PM;10.50;95.420;30.320;46276.000;9.000
24.07.17;2:11:50 PM;10.75;96.070;30.250;46266.000;9.000
24.07.17;2:12:05 PM;11.00;95.700;30.290;46256.000;9.000
24.07.17;2:12:20 PM;11.25;95.680;30.290;46266.000;9.000
24.07.17;2:12:35 PM;11.50;95.720;30.290;46272.000;9.000
24.07.17;2:12:50 PM;11.75;96.230;30.230;46248.000;9.000
24.07.17;2:13:05 PM;12.00;95.850;30.270;46282.000;9.000
24.07.17;2:13:20 PM;12.25;96.240;30.230;46259.000;9.000
24.07.17;2:13:35 PM;12.50;95.750;30.290;46286.000;9.000
24.07.17;2:13:50 PM;12.75;95.650;30.300;46232.000;9.000
24.07.17;2:14:05 PM;13.00;96.240;30.230;46273.000;9.000
24.07.17;2:14:20 PM;13.25;95.950;30.260;46257.000;9.000
