24.07.17/2:01 PM SW ver:OXY10v3_33
Header Ch-8
Description: WBK3-9
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 103177
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.07.17;2:01:03 PM;0.00;95.060;30.370;33492.000;9.000
24.07.17;2:01:16 PM;0.22;94.540;30.430;33527.000;9.000
24.07.17;2:01:31 PM;0.47;95.310;30.340;33480.000;9.000
24.07.17;2:01:46 PM;0.72;94.740;30.410;33496.000;9.000
24.07.17;2:02:00 PM;0.96;95.130;30.360;33491.000;9.000
24.07.17;2:02:16 PM;1.22;95.380;30.330;33536.000;9.000
24.07.17;2:02:31 PM;1.47;95.260;30.340;33489.000;9.000
24.07.17;2:02:46 PM;1.72;94.850;30.390;33469.000;9.000
24.07.17;2:03:00 PM;1.96;95.020;30.370;33482.000;9.000
24.07.17;2:03:16 PM;2.22;95.060;30.370;33497.000;9.000
24.07.17;2:03:31 PM;2.47;95.140;30.360;33490.000;9.000
24.07.17;2:03:46 PM;2.72;94.880;30.390;33472.000;9.000
24.07.17;2:04:01 PM;2.97;94.850;30.390;33523.000;9.000
24.07.17;2:04:15 PM;3.22;95.160;30.360;33475.000;9.000
24.07.17;2:04:30 PM;3.47;95.160;30.350;33468.000;9.000
24.07.17;2:04:46 PM;3.72;95.090;30.360;33460.000;9.000
24.07.17;2:05:01 PM;3.97;94.800;30.400;33440.000;9.000
24.07.17;2:05:16 PM;4.22;94.450;30.440;33499.000;9.000
24.07.17;2:05:31 PM;4.47;95.120;30.360;33461.000;9.000
24.07.17;2:05:46 PM;4.72;94.920;30.380;33501.000;9.000
24.07.17;2:06:01 PM;4.97;95.230;30.350;33462.000;9.000
24.07.17;2:06:16 PM;5.22;94.390;30.450;33482.000;9.000
24.07.17;2:06:31 PM;5.47;95.430;30.320;33481.000;9.000
24.07.17;2:06:46 PM;5.72;94.800;30.400;33435.000;9.000
24.07.17;2:07:01 PM;5.97;95.020;30.370;33473.000;9.000
24.07.17;2:07:15 PM;6.22;95.050;30.370;33482.000;9.000
24.07.17;2:07:30 PM;6.47;95.070;30.370;33500.000;9.000
24.07.17;2:07:46 PM;6.72;94.800;30.400;33465.000;9.000
24.07.17;2:08:01 PM;6.97;95.060;30.370;33500.000;9.000
24.07.17;2:08:16 PM;7.22;95.160;30.350;33484.000;9.000
24.07.17;2:08:31 PM;7.47;95.110;30.360;33439.000;9.000
24.07.17;2:08:46 PM;7.72;95.710;30.290;33489.000;9.000
24.07.17;2:09:01 PM;7.97;94.720;30.410;33440.000;9.000
24.07.17;2:09:16 PM;8.22;95.650;30.300;33404.000;9.000
24.07.17;2:09:31 PM;8.47;95.060;30.370;33474.000;9.000
24.07.17;2:09:46 PM;8.72;94.850;30.390;33421.000;9.000
24.07.17;2:10:00 PM;8.96;95.230;30.350;33461.000;9.000
24.07.17;2:10:15 PM;9.22;94.690;30.410;33512.000;9.000
24.07.17;2:10:30 PM;9.47;94.560;30.430;33427.000;9.000
24.07.17;2:10:46 PM;9.72;95.240;30.350;33474.000;9.000
24.07.17;2:11:01 PM;9.97;95.610;30.300;33439.000;9.000
24.07.17;2:11:16 PM;10.22;95.340;30.330;33426.000;9.000
24.07.17;2:11:31 PM;10.47;94.850;30.390;33472.000;9.000
24.07.17;2:11:45 PM;10.72;95.440;30.320;33471.000;9.000
24.07.17;2:12:01 PM;10.97;94.500;30.430;33453.000;9.000
24.07.17;2:12:16 PM;11.22;95.330;30.340;33460.000;9.000
24.07.17;2:12:31 PM;11.47;95.480;30.320;33435.000;9.000
24.07.17;2:12:46 PM;11.72;94.690;30.410;33471.000;9.000
24.07.17;2:13:01 PM;11.97;95.640;30.300;33487.000;9.000
24.07.17;2:13:16 PM;12.22;95.110;30.360;33417.000;9.000
24.07.17;2:13:30 PM;12.47;95.520;30.310;33470.000;9.000
24.07.17;2:13:46 PM;12.72;95.470;30.320;33413.000;9.000
24.07.17;2:14:01 PM;12.97;95.470;30.320;33478.000;9.000
24.07.17;2:14:16 PM;13.22;95.630;30.300;33449.000;9.000
24.07.17;2:14:30 PM;13.47;95.330;30.330;33414.000;9.000
24.07.17;2:14:46 PM;13.72;94.750;30.400;33390.000;9.000
24.07.17;2:15:01 PM;13.97;95.560;30.310;33462.000;9.000
24.07.17;2:15:16 PM;14.22;95.650;30.300;33420.000;9.000
24.07.17;2:15:31 PM;14.47;95.210;30.350;33478.000;9.000
24.07.17;2:15:45 PM;14.72;95.030;30.370;33442.000;9.000
24.07.17;2:16:00 PM;14.96;95.070;30.370;33442.000;9.000
24.07.17;2:16:16 PM;15.22;95.220;30.350;33437.000;9.000
24.07.17;2:16:31 PM;15.47;95.640;30.300;33449.000;9.000
24.07.17;2:16:45 PM;15.71;95.120;30.360;33401.000;9.000
24.07.17;2:17:01 PM;15.97;94.880;30.390;33421.000;9.000
24.07.17;2:17:16 PM;16.22;95.170;30.350;33447.000;9.000
