24.07.17/1:23 PM SW ver:OXY10v3_33
Header Ch-2
Description: DRIFT-9
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 102839
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.07.17;1:23:24 PM;0.00;96.320;30.220;16725.000;9.000
24.07.17;1:23:34 PM;0.17;95.760;30.280;16698.000;9.000
24.07.17;1:23:49 PM;0.42;96.170;30.240;16696.000;9.000
24.07.17;1:24:04 PM;0.67;96.250;30.230;16693.000;9.000
24.07.17;1:24:19 PM;0.92;95.230;30.350;16683.000;9.000
24.07.17;1:24:34 PM;1.17;96.190;30.230;16684.000;9.000
24.07.17;1:24:49 PM;1.42;95.960;30.260;16677.000;9.000
24.07.17;1:25:04 PM;1.67;95.810;30.280;16677.000;9.000
24.07.17;1:25:19 PM;1.92;96.060;30.250;16661.000;9.000
24.07.17;1:25:34 PM;2.17;95.760;30.280;16645.000;9.000
24.07.17;1:25:49 PM;2.42;95.490;30.320;16643.000;9.000
24.07.17;1:26:04 PM;2.67;96.340;30.220;16633.000;9.000
24.07.17;1:26:19 PM;2.92;96.250;30.230;16630.000;9.000
24.07.17;1:26:34 PM;3.17;95.990;30.260;16620.000;9.000
24.07.17;1:26:49 PM;3.42;96.200;30.230;16633.000;9.000
24.07.17;1:27:04 PM;3.67;96.020;30.250;16655.000;9.000
24.07.17;1:27:19 PM;3.92;95.730;30.290;16638.000;9.000
24.07.17;1:27:34 PM;4.17;96.070;30.250;16619.000;9.000
24.07.17;1:27:49 PM;4.42;96.100;30.240;16612.000;9.000
24.07.17;1:28:04 PM;4.67;96.250;30.230;16617.000;9.000
24.07.17;1:28:19 PM;4.92;96.050;30.250;16632.000;9.000
24.07.17;1:28:34 PM;5.17;95.940;30.260;16633.000;9.000
24.07.17;1:28:49 PM;5.42;96.190;30.230;16607.000;9.000
24.07.17;1:29:04 PM;5.67;96.240;30.230;16649.000;9.000
24.07.17;1:29:19 PM;5.92;96.140;30.240;16631.000;9.000
24.07.17;1:29:34 PM;6.17;95.800;30.280;16620.000;9.000
24.07.17;1:29:49 PM;6.42;95.630;30.300;16621.000;9.000
24.07.17;1:30:04 PM;6.67;97.230;30.110;16610.000;9.000
24.07.17;1:30:19 PM;6.92;96.500;30.200;16634.000;9.000
24.07.17;1:30:34 PM;7.17;95.890;30.270;16620.000;9.000
24.07.17;1:30:49 PM;7.42;96.150;30.240;16610.000;9.000
24.07.17;1:31:04 PM;7.67;95.920;30.270;16614.000;9.000
24.07.17;1:31:19 PM;7.92;96.220;30.230;16632.000;9.000
24.07.17;1:31:34 PM;8.17;96.420;30.210;16597.000;9.000
24.07.17;1:31:49 PM;8.42;96.510;30.200;16622.000;9.000
24.07.17;1:32:04 PM;8.67;96.580;30.190;16609.000;9.000
24.07.17;1:32:19 PM;8.92;95.950;30.260;16634.000;9.000
24.07.17;1:32:34 PM;9.17;96.340;30.220;16644.000;9.000
24.07.17;1:32:49 PM;9.42;96.450;30.200;16615.000;9.000
24.07.17;1:33:04 PM;9.67;96.470;30.200;16641.000;9.000
24.07.17;1:33:19 PM;9.92;95.760;30.280;16626.000;9.000
24.07.17;1:33:34 PM;10.17;95.760;30.280;16618.000;9.000
24.07.17;1:33:49 PM;10.42;96.190;30.230;16638.000;9.000
24.07.17;1:34:04 PM;10.67;95.990;30.260;16614.000;9.000
24.07.17;1:34:19 PM;10.92;95.900;30.270;16614.000;9.000
24.07.17;1:34:34 PM;11.17;96.700;30.170;16628.000;9.000
24.07.17;1:34:49 PM;11.42;95.840;30.270;16622.000;9.000
24.07.17;1:35:04 PM;11.67;95.490;30.320;16632.000;9.000
24.07.17;1:35:19 PM;11.92;96.230;30.230;16619.000;9.000
24.07.17;1:35:34 PM;12.17;96.510;30.200;16615.000;9.000
24.07.17;1:35:49 PM;12.42;96.210;30.230;16614.000;9.000
24.07.17;1:36:04 PM;12.67;96.340;30.220;16606.000;9.000
24.07.17;1:36:19 PM;12.92;95.080;30.360;16609.000;9.000
24.07.17;1:36:34 PM;13.17;96.340;30.220;16602.000;9.000
24.07.17;1:36:49 PM;13.42;96.600;30.190;16648.000;9.000
24.07.17;1:37:04 PM;13.67;96.570;30.190;16620.000;9.000
24.07.17;1:37:19 PM;13.92;96.960;30.140;16645.000;9.000
24.07.17;1:37:34 PM;14.17;96.830;30.160;16646.000;9.000
24.07.17;1:37:49 PM;14.42;96.220;30.230;16622.000;9.000
24.07.17;1:38:04 PM;14.67;96.120;30.240;16636.000;9.000
24.07.17;1:38:19 PM;14.92;96.800;30.160;16618.000;9.000
24.07.17;1:38:34 PM;15.17;96.740;30.170;16667.000;9.000
24.07.17;1:38:49 PM;15.42;95.820;30.280;16643.000;9.000
24.07.17;1:39:04 PM;15.67;96.200;30.230;16642.000;9.000
24.07.17;1:39:19 PM;15.92;96.800;30.160;16648.000;9.000
24.07.17;1:39:34 PM;16.17;96.000;30.260;16645.000;9.000
24.07.17;1:39:49 PM;16.42;96.180;30.230;16630.000;9.000
24.07.17;1:40:04 PM;16.67;96.290;30.220;16611.000;9.000
24.07.17;1:40:19 PM;16.92;96.390;30.210;16628.000;9.000
24.07.17;1:40:34 PM;17.17;96.080;30.250;16653.000;9.000
24.07.17;1:40:49 PM;17.42;96.190;30.230;16644.000;9.000
24.07.17;1:41:04 PM;17.67;95.530;30.310;16636.000;9.000
24.07.17;1:41:19 PM;17.92;95.780;30.280;16652.000;9.000
24.07.17;1:41:34 PM;18.17;96.070;30.250;16674.000;9.000
24.07.17;1:41:49 PM;18.42;96.450;30.200;16637.000;9.000
24.07.17;1:42:04 PM;18.67;96.510;30.200;16647.000;9.000
24.07.17;1:42:19 PM;18.92;96.370;30.210;16666.000;9.000
24.07.17;1:42:34 PM;19.17;96.200;30.230;16647.000;9.000
24.07.17;1:42:49 PM;19.42;96.360;30.210;16652.000;9.000
24.07.17;1:43:04 PM;19.67;95.760;30.280;16643.000;9.000
24.07.17;1:43:19 PM;19.92;96.060;30.250;16653.000;9.000
24.07.17;1:43:34 PM;20.17;96.920;30.150;16641.000;9.000
24.07.17;1:43:49 PM;20.42;96.330;30.220;16654.000;9.000
24.07.17;1:44:04 PM;20.67;95.490;30.320;16657.000;9.000
24.07.17;1:44:19 PM;20.92;96.720;30.170;16657.000;9.000
24.07.17;1:44:34 PM;21.17;95.900;30.270;16648.000;9.000
