24.07.17/1:23 PM SW ver:OXY10v3_33
Header Ch-8
Description: WBK3-9
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 103177
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
24.07.17;1:23:31 PM;0.00;95.320;30.340;13912.000;9.000
24.07.17;1:23:46 PM;0.25;95.560;30.310;13892.000;9.000
24.07.17;1:24:01 PM;0.50;94.130;30.480;13910.000;9.000
24.07.17;1:24:15 PM;0.75;94.950;30.380;13925.000;9.000
24.07.17;1:24:31 PM;1.00;95.570;30.310;13917.000;9.000
24.07.17;1:24:45 PM;1.25;95.540;30.310;13910.000;9.000
24.07.17;1:25:00 PM;1.50;94.590;30.420;13901.000;9.000
24.07.17;1:25:16 PM;1.75;96.100;30.240;13898.000;9.000
24.07.17;1:25:31 PM;2.00;95.010;30.370;33543.000;9.000
24.07.17;1:25:46 PM;2.25;94.700;30.410;33530.000;9.000
24.07.17;1:26:01 PM;2.50;94.800;30.400;33526.000;9.000
24.07.17;1:26:16 PM;2.75;94.980;30.380;33513.000;9.000
24.07.17;1:26:31 PM;3.00;94.620;30.420;33534.000;9.000
24.07.17;1:26:46 PM;3.25;95.260;30.340;33521.000;9.000
24.07.17;1:27:01 PM;3.50;94.960;30.380;33512.000;9.000
24.07.17;1:27:16 PM;3.75;94.790;30.400;33521.000;9.000
24.07.17;1:27:31 PM;4.00;94.780;30.400;33516.000;9.000
24.07.17;1:27:45 PM;4.25;95.010;30.370;33506.000;9.000
24.07.17;1:28:01 PM;4.50;95.110;30.360;33513.000;9.000
24.07.17;1:28:16 PM;4.75;94.850;30.390;33501.000;9.000
24.07.17;1:28:31 PM;5.00;94.800;30.400;33505.000;9.000
24.07.17;1:28:46 PM;5.25;94.940;30.380;33516.000;9.000
24.07.17;1:29:01 PM;5.50;94.920;30.380;33503.000;9.000
24.07.17;1:29:16 PM;5.75;95.020;30.370;33491.000;9.000
24.07.17;1:29:31 PM;6.00;94.680;30.410;33484.000;9.000
24.07.17;1:29:46 PM;6.25;94.680;30.410;33516.000;9.000
24.07.17;1:30:01 PM;6.50;94.960;30.380;33494.000;9.000
24.07.17;1:30:16 PM;6.75;94.810;30.400;33522.000;9.000
24.07.17;1:30:31 PM;7.00;94.380;30.450;33490.000;9.000
24.07.17;1:30:46 PM;7.25;94.230;30.470;33497.000;9.000
24.07.17;1:31:00 PM;7.50;94.900;30.390;33495.000;9.000
24.07.17;1:31:16 PM;7.75;94.870;30.390;33511.000;9.000
24.07.17;1:31:31 PM;8.00;94.970;30.380;33501.000;9.000
24.07.17;1:31:46 PM;8.25;94.900;30.390;33503.000;9.000
24.07.17;1:32:01 PM;8.50;94.760;30.400;33497.000;9.000
24.07.17;1:32:15 PM;8.75;94.900;30.390;33520.000;9.000
24.07.17;1:32:31 PM;9.00;95.060;30.370;33500.000;9.000
24.07.17;1:32:46 PM;9.25;95.110;30.360;33515.000;9.000
24.07.17;1:33:00 PM;9.50;94.880;30.390;33513.000;9.000
24.07.17;1:33:16 PM;9.75;94.920;30.380;33497.000;9.000
24.07.17;1:33:31 PM;10.00;94.840;30.390;33508.000;9.000
24.07.17;1:33:46 PM;10.25;94.990;30.380;33520.000;9.000
24.07.17;1:34:01 PM;10.50;94.500;30.430;33489.000;9.000
24.07.17;1:34:16 PM;10.75;94.800;30.400;33525.000;9.000
24.07.17;1:34:30 PM;11.00;94.380;30.450;33497.000;9.000
24.07.17;1:34:46 PM;11.25;94.670;30.410;33486.000;9.000
24.07.17;1:35:01 PM;11.50;94.440;30.440;33524.000;9.000
24.07.17;1:35:16 PM;11.75;94.640;30.420;33509.000;9.000
24.07.17;1:35:31 PM;12.00;95.030;30.370;33486.000;9.000
24.07.17;1:35:46 PM;12.25;95.150;30.360;33499.000;9.000
24.07.17;1:36:01 PM;12.50;94.690;30.410;33512.000;9.000
24.07.17;1:36:16 PM;12.75;94.830;30.390;33525.000;9.000
24.07.17;1:36:31 PM;13.00;94.850;30.390;33526.000;9.000
24.07.17;1:36:46 PM;13.25;95.220;30.350;33518.000;9.000
24.07.17;1:37:01 PM;13.50;94.800;30.400;33518.000;9.000
24.07.17;1:37:16 PM;13.75;94.600;30.420;33499.000;9.000
24.07.17;1:37:31 PM;14.00;94.760;30.400;33510.000;9.000
24.07.17;1:37:45 PM;14.25;94.860;30.390;33518.000;9.000
24.07.17;1:38:01 PM;14.50;95.010;30.370;33531.000;9.000
24.07.17;1:38:16 PM;14.75;95.080;30.360;33495.000;9.000
24.07.17;1:38:31 PM;15.00;95.100;30.360;33522.000;9.000
24.07.17;1:38:46 PM;15.25;94.560;30.430;33524.000;9.000
24.07.17;1:39:01 PM;15.50;94.820;30.400;33501.000;9.000
24.07.17;1:39:16 PM;15.75;94.910;30.380;33528.000;9.000
24.07.17;1:39:31 PM;16.00;94.750;30.400;33528.000;9.000
24.07.17;1:39:45 PM;16.25;95.060;30.370;33522.000;9.000
24.07.17;1:40:01 PM;16.50;94.540;30.430;33522.000;9.000
24.07.17;1:40:16 PM;16.75;94.970;30.380;33493.000;9.000
24.07.17;1:40:31 PM;17.00;94.540;30.430;33541.000;9.000
24.07.17;1:40:45 PM;17.25;94.980;30.380;33502.000;9.000
24.07.17;1:41:01 PM;17.50;94.850;30.390;33541.000;9.000
24.07.17;1:41:15 PM;17.75;94.490;30.440;33522.000;9.000
24.07.17;1:41:31 PM;18.00;95.050;30.370;33507.000;9.000
24.07.17;1:41:46 PM;18.25;94.890;30.390;33528.000;9.000
24.07.17;1:42:01 PM;18.50;94.780;30.400;33510.000;9.000
24.07.17;1:42:16 PM;18.75;94.800;30.400;33530.000;9.000
24.07.17;1:42:31 PM;19.00;94.590;30.420;33523.000;9.000
24.07.17;1:42:46 PM;19.25;94.910;30.380;33548.000;9.000
24.07.17;1:43:01 PM;19.50;94.650;30.420;33538.000;9.000
24.07.17;1:43:16 PM;19.75;94.610;30.420;33511.000;9.000
24.07.17;1:43:31 PM;20.00;94.790;30.400;33549.000;9.000
24.07.17;1:43:46 PM;20.25;94.740;30.410;33535.000;9.000
24.07.17;1:44:01 PM;20.50;94.590;30.420;33530.000;9.000
24.07.17;1:44:16 PM;20.75;94.640;30.420;33529.000;9.000
24.07.17;1:44:31 PM;21.00;94.850;30.390;33542.000;9.000
