25.07.17/12:34 PM SW ver:OXY10v3_33
Header Ch-3
Description: WBC3-12
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 106191
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
25.07.17;12:34:28 PM;0.00;95.620;29.690;36538.000;12.000
25.07.17;12:34:36 PM;0.14;95.000;29.760;36535.000;12.000
25.07.17;12:34:51 PM;0.39;94.540;29.820;36522.000;12.000
25.07.17;12:35:06 PM;0.63;95.030;29.760;36536.000;12.000
25.07.17;12:35:21 PM;0.89;95.020;29.760;36542.000;12.000
25.07.17;12:35:36 PM;1.13;94.860;29.780;36506.000;12.000
25.07.17;12:35:51 PM;1.39;95.580;29.700;36557.000;12.000
25.07.17;12:36:06 PM;1.63;94.950;29.770;36532.000;12.000
25.07.17;12:36:21 PM;1.89;95.210;29.740;36517.000;12.000
25.07.17;12:36:36 PM;2.13;94.500;29.820;36499.000;12.000
25.07.17;12:36:51 PM;2.38;95.730;29.680;36531.000;12.000
25.07.17;12:37:06 PM;2.63;94.900;29.780;36549.000;12.000
25.07.17;12:37:21 PM;2.88;94.920;29.770;36535.000;12.000
25.07.17;12:37:36 PM;3.14;95.200;29.740;36528.000;12.000
25.07.17;12:37:51 PM;3.38;94.370;29.840;36558.000;12.000
25.07.17;12:38:06 PM;3.63;95.460;29.710;36555.000;12.000
25.07.17;12:38:21 PM;3.89;94.820;29.780;36531.000;12.000
25.07.17;12:38:36 PM;4.13;94.770;29.790;36542.000;12.000
25.07.17;12:38:51 PM;4.38;95.130;29.750;36563.000;12.000
25.07.17;12:39:06 PM;4.63;95.670;29.690;36551.000;12.000
25.07.17;12:39:21 PM;4.88;94.810;29.790;36521.000;12.000
25.07.17;12:39:36 PM;5.14;95.100;29.750;36493.000;12.000
25.07.17;12:39:51 PM;5.38;95.090;29.750;36518.000;12.000
25.07.17;12:40:06 PM;5.64;95.030;29.760;36540.000;12.000
25.07.17;12:40:21 PM;5.88;94.520;29.820;36539.000;12.000
25.07.17;12:40:36 PM;6.14;94.530;29.820;36513.000;12.000
25.07.17;12:40:51 PM;6.38;95.730;29.680;36564.000;12.000
