25.07.17/12:34 PM SW ver:OXY10v3_33
Header Ch-5
Description: WWE1-12
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 104656
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
25.07.17;12:34:29 PM;0.00;94.600;29.810;48413.000;12.000
25.07.17;12:34:40 PM;0.18;94.940;29.770;48433.000;12.000
25.07.17;12:34:55 PM;0.43;94.820;29.780;48387.000;12.000
25.07.17;12:35:10 PM;0.68;94.590;29.810;48379.000;12.000
25.07.17;12:35:25 PM;0.93;94.590;29.810;48389.000;12.000
25.07.17;12:35:40 PM;1.18;94.490;29.820;48400.000;12.000
25.07.17;12:35:55 PM;1.43;94.660;29.800;48387.000;12.000
25.07.17;12:36:10 PM;1.68;95.010;29.760;48349.000;12.000
25.07.17;12:36:25 PM;1.93;95.320;29.730;48386.000;12.000
25.07.17;12:36:40 PM;2.18;94.840;29.780;48393.000;12.000
25.07.17;12:36:55 PM;2.43;95.220;29.740;48382.000;12.000
25.07.17;12:37:10 PM;2.68;94.700;29.800;48348.000;12.000
25.07.17;12:37:25 PM;2.93;94.810;29.790;48350.000;12.000
25.07.17;12:37:40 PM;3.18;94.860;29.780;48378.000;12.000
25.07.17;12:37:55 PM;3.43;94.670;29.800;48354.000;12.000
25.07.17;12:38:10 PM;3.68;94.770;29.790;48376.000;12.000
25.07.17;12:38:25 PM;3.93;95.090;29.750;48350.000;12.000
25.07.17;12:38:40 PM;4.18;94.790;29.790;48341.000;12.000
25.07.17;12:38:55 PM;4.43;94.540;29.820;48333.000;12.000
25.07.17;12:39:10 PM;4.68;94.800;29.790;48349.000;12.000
25.07.17;12:39:25 PM;4.93;95.090;29.750;48353.000;12.000
25.07.17;12:39:40 PM;5.18;94.870;29.780;48342.000;12.000
25.07.17;12:39:55 PM;5.43;94.290;29.850;48319.000;12.000
25.07.17;12:40:10 PM;5.68;95.030;29.760;48317.000;12.000
25.07.17;12:40:25 PM;5.93;94.500;29.820;48285.000;12.000
25.07.17;12:40:40 PM;6.18;94.720;29.800;48264.000;12.000
25.07.17;12:40:55 PM;6.43;95.120;29.750;48287.000;12.000
25.07.17;12:41:10 PM;6.68;94.320;29.840;48340.000;12.000
25.07.17;12:41:25 PM;6.93;94.930;29.770;48301.000;12.000
25.07.17;12:41:40 PM;7.18;94.590;29.810;48316.000;12.000
25.07.17;12:41:55 PM;7.43;94.480;29.820;48305.000;12.000
25.07.17;12:42:10 PM;7.68;94.490;29.820;48279.000;12.000
25.07.17;12:42:25 PM;7.93;94.600;29.810;48299.000;12.000
25.07.17;12:42:40 PM;8.18;94.650;29.800;48302.000;12.000
25.07.17;12:42:55 PM;8.43;95.090;29.750;48277.000;12.000
25.07.17;12:43:10 PM;8.68;94.640;29.810;48294.000;12.000
25.07.17;12:43:25 PM;8.93;94.520;29.820;48270.000;12.000
25.07.17;12:43:40 PM;9.18;94.840;29.780;48274.000;12.000
25.07.17;12:43:55 PM;9.43;94.990;29.760;48305.000;12.000
25.07.17;12:44:10 PM;9.68;94.770;29.790;48287.000;12.000
25.07.17;12:44:25 PM;9.93;94.380;29.840;48281.000;12.000
25.07.17;12:44:40 PM;10.18;94.890;29.780;48286.000;12.000
25.07.17;12:44:55 PM;10.43;94.800;29.790;48286.000;12.000
25.07.17;12:45:10 PM;10.68;94.870;29.780;48278.000;12.000
25.07.17;12:45:25 PM;10.93;94.860;29.780;48286.000;12.000
25.07.17;12:45:40 PM;11.18;95.260;29.730;48280.000;12.000
25.07.17;12:45:55 PM;11.43;95.070;29.760;48321.000;12.000
25.07.17;12:46:10 PM;11.68;94.750;29.790;48320.000;12.000
25.07.17;12:46:25 PM;11.93;94.810;29.790;48334.000;12.000
25.07.17;12:46:40 PM;12.18;95.130;29.750;48294.000;12.000
25.07.17;12:46:55 PM;12.43;95.040;29.760;48347.000;12.000
25.07.17;12:47:10 PM;12.68;94.620;29.810;48328.000;12.000
25.07.17;12:47:25 PM;12.93;94.690;29.800;48345.000;12.000
25.07.17;12:47:40 PM;13.18;94.610;29.810;48305.000;12.000
25.07.17;12:47:55 PM;13.43;94.920;29.770;48321.000;12.000
25.07.17;12:48:10 PM;13.68;94.860;29.780;48310.000;12.000
25.07.17;12:48:25 PM;13.93;94.980;29.770;48304.000;12.000
25.07.17;12:48:40 PM;14.18;94.780;29.790;48321.000;12.000
25.07.17;12:48:55 PM;14.43;94.590;29.810;48328.000;12.000
25.07.17;12:49:10 PM;14.68;94.860;29.780;48308.000;12.000
25.07.17;12:49:25 PM;14.93;95.020;29.760;48309.000;12.000
25.07.17;12:49:40 PM;15.18;94.640;29.810;48360.000;12.000
25.07.17;12:49:55 PM;15.43;94.920;29.770;48290.000;12.000
25.07.17;12:50:10 PM;15.68;95.030;29.760;48283.000;12.000
25.07.17;12:50:25 PM;15.93;94.830;29.780;48335.000;12.000
25.07.17;12:50:40 PM;16.18;95.070;29.760;48346.000;12.000
25.07.17;12:50:55 PM;16.43;94.880;29.780;48342.000;12.000
25.07.17;12:51:10 PM;16.68;95.050;29.760;48358.000;12.000
25.07.17;12:51:25 PM;16.93;95.020;29.760;48358.000;12.000
25.07.17;12:51:40 PM;17.18;94.730;29.800;48372.000;12.000
25.07.17;12:51:55 PM;17.43;94.810;29.790;48317.000;12.000
25.07.17;12:52:10 PM;17.68;94.910;29.770;48354.000;12.000
25.07.17;12:52:25 PM;17.93;94.550;29.820;48360.000;12.000
25.07.17;12:52:40 PM;18.18;94.720;29.800;48357.000;12.000
25.07.17;12:52:55 PM;18.43;95.140;29.750;48379.000;12.000
25.07.17;12:53:10 PM;18.68;94.900;29.780;48374.000;12.000
25.07.17;12:53:25 PM;18.93;94.820;29.780;48371.000;12.000
25.07.17;12:53:40 PM;19.18;94.260;29.850;48391.000;12.000
25.07.17;12:53:55 PM;19.43;94.850;29.780;48343.000;12.000
25.07.17;12:54:10 PM;19.68;94.660;29.800;48338.000;12.000
