25.07.17/12:34 PM SW ver:OXY10v3_33
Header Ch-6
Description: TWM3-12
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 102083
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
25.07.17;12:34:29 PM;0.00;97.280;29.500;39352.000;12.000
25.07.17;12:34:42 PM;0.20;97.580;29.460;39235.000;12.000
25.07.17;12:34:56 PM;0.45;97.540;29.470;39315.000;12.000
25.07.17;12:35:12 PM;0.70;97.290;29.500;39330.000;12.000
25.07.17;12:35:27 PM;0.95;97.810;29.440;39329.000;12.000
25.07.17;12:35:42 PM;1.20;97.450;29.480;39342.000;12.000
25.07.17;12:35:56 PM;1.45;97.590;29.460;39314.000;12.000
25.07.17;12:36:12 PM;1.70;97.220;29.510;39320.000;12.000
25.07.17;12:36:27 PM;1.95;97.780;29.440;39342.000;12.000
25.07.17;12:36:42 PM;2.20;97.260;29.500;39316.000;12.000
25.07.17;12:36:56 PM;2.45;97.360;29.490;39341.000;12.000
25.07.17;12:37:12 PM;2.70;97.290;29.500;39334.000;12.000
25.07.17;12:37:27 PM;2.95;97.730;29.450;39319.000;12.000
25.07.17;12:37:42 PM;3.20;97.180;29.510;39338.000;12.000
25.07.17;12:37:57 PM;3.45;97.170;29.510;39286.000;12.000
25.07.17;12:38:12 PM;3.70;97.330;29.490;39345.000;12.000
25.07.17;12:38:27 PM;3.95;97.250;29.500;39328.000;12.000
25.07.17;12:38:42 PM;4.20;96.920;29.540;39365.000;12.000
25.07.17;12:38:57 PM;4.45;97.150;29.510;39360.000;12.000
25.07.17;12:39:11 PM;4.70;98.160;29.400;39309.000;12.000
25.07.17;12:39:26 PM;4.95;97.290;29.500;39335.000;12.000
25.07.17;12:39:42 PM;5.20;97.750;29.450;39362.000;12.000
25.07.17;12:39:56 PM;5.45;97.800;29.440;39320.000;12.000
25.07.17;12:40:11 PM;5.70;96.860;29.550;39363.000;12.000
25.07.17;12:40:26 PM;5.95;97.260;29.500;39306.000;12.000
25.07.17;12:40:42 PM;6.20;97.680;29.450;39330.000;12.000
25.07.17;12:40:57 PM;6.45;97.260;29.500;39286.000;12.000
25.07.17;12:41:12 PM;6.70;97.010;29.530;39286.000;12.000
25.07.17;12:41:26 PM;6.95;97.970;29.420;39340.000;12.000
25.07.17;12:41:41 PM;7.20;97.360;29.490;39351.000;12.000
25.07.17;12:41:56 PM;7.45;98.160;29.400;39364.000;12.000
25.07.17;12:42:11 PM;7.70;97.250;29.500;39290.000;12.000
25.07.17;12:42:26 PM;7.95;96.450;29.590;39320.000;12.000
25.07.17;12:42:42 PM;8.20;97.120;29.520;39247.000;12.000
25.07.17;12:42:57 PM;8.45;97.000;29.530;39373.000;12.000
25.07.17;12:43:12 PM;8.70;97.750;29.450;39338.000;12.000
25.07.17;12:43:26 PM;8.95;96.770;29.560;39303.000;12.000
25.07.17;12:43:41 PM;9.20;96.870;29.550;39409.000;12.000
25.07.17;12:43:57 PM;9.45;96.310;29.610;39391.000;12.000
25.07.17;12:44:12 PM;9.70;97.080;29.520;39409.000;12.000
25.07.17;12:44:27 PM;9.95;96.970;29.530;39297.000;12.000
25.07.17;12:44:41 PM;10.20;97.360;29.490;39322.000;12.000
25.07.17;12:44:56 PM;10.45;97.590;29.460;39350.000;12.000
25.07.17;12:45:11 PM;10.70;96.770;29.560;39393.000;12.000
25.07.17;12:45:26 PM;10.95;96.980;29.530;39339.000;12.000
25.07.17;12:45:41 PM;11.20;96.680;29.570;39332.000;12.000
25.07.17;12:45:57 PM;11.45;96.750;29.560;39391.000;12.000
25.07.17;12:46:12 PM;11.70;96.860;29.550;39338.000;12.000
25.07.17;12:46:27 PM;11.95;97.660;29.460;39330.000;12.000
25.07.17;12:46:41 PM;12.20;97.460;29.480;39366.000;12.000
25.07.17;12:46:56 PM;12.45;97.130;29.520;39348.000;12.000
25.07.17;12:47:12 PM;12.70;97.370;29.490;39287.000;12.000
25.07.17;12:47:26 PM;12.95;97.080;29.520;39323.000;12.000
25.07.17;12:47:41 PM;13.20;96.520;29.590;39307.000;12.000
25.07.17;12:47:57 PM;13.45;97.430;29.480;39383.000;12.000
25.07.17;12:48:12 PM;13.70;97.710;29.450;39385.000;12.000
25.07.17;12:48:27 PM;13.95;97.040;29.530;39343.000;12.000
25.07.17;12:48:41 PM;14.20;96.810;29.550;39425.000;12.000
25.07.17;12:48:57 PM;14.45;96.790;29.560;39355.000;12.000
25.07.17;12:49:12 PM;14.70;97.360;29.490;39378.000;12.000
25.07.17;12:49:27 PM;14.95;97.010;29.530;39342.000;12.000
25.07.17;12:49:42 PM;15.20;96.700;29.570;39300.000;12.000
25.07.17;12:49:56 PM;15.45;97.430;29.480;39373.000;12.000
25.07.17;12:50:12 PM;15.70;97.080;29.520;39397.000;12.000
25.07.17;12:50:27 PM;15.95;96.620;29.570;39347.000;12.000
25.07.17;12:50:41 PM;16.20;97.300;29.500;39406.000;12.000
25.07.17;12:50:57 PM;16.45;96.860;29.550;39341.000;12.000
25.07.17;12:51:11 PM;16.70;97.430;29.480;39360.000;12.000
25.07.17;12:51:27 PM;16.95;97.180;29.510;39411.000;12.000
25.07.17;12:51:42 PM;17.20;97.080;29.520;39386.000;12.000
25.07.17;12:51:57 PM;17.45;96.570;29.580;39377.000;12.000
25.07.17;12:52:12 PM;17.70;97.780;29.440;39394.000;12.000
25.07.17;12:52:27 PM;17.95;96.560;29.580;39453.000;12.000
25.07.17;12:52:41 PM;18.20;97.280;29.500;39379.000;12.000
25.07.17;12:52:57 PM;18.45;96.610;29.580;39429.000;12.000
25.07.17;12:53:12 PM;18.70;97.030;29.530;39441.000;12.000
25.07.17;12:53:27 PM;18.95;97.390;29.490;39447.000;12.000
25.07.17;12:53:42 PM;19.20;97.430;29.480;39392.000;12.000
25.07.17;12:53:56 PM;19.45;97.000;29.530;39383.000;12.000
25.07.17;12:54:12 PM;19.70;96.720;29.560;39450.000;12.000
