25.07.17/12:34 PM SW ver:OXY10v3_33
Header Ch-7
Description: WBO4-12
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 97805
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
25.07.17;12:34:30 PM;0.00;94.920;29.770;34824.000;12.000
25.07.17;12:34:43 PM;0.23;94.220;29.860;34829.000;12.000
25.07.17;12:34:58 PM;0.48;94.890;29.780;34805.000;12.000
25.07.17;12:35:13 PM;0.73;95.390;29.720;34803.000;12.000
25.07.17;12:35:28 PM;0.98;95.100;29.750;34810.000;12.000
25.07.17;12:35:43 PM;1.23;94.820;29.780;34862.000;12.000
25.07.17;12:35:58 PM;1.48;95.310;29.730;34815.000;12.000
25.07.17;12:36:13 PM;1.73;94.860;29.780;34826.000;12.000
25.07.17;12:36:28 PM;1.98;95.260;29.730;34815.000;12.000
25.07.17;12:36:43 PM;2.23;95.230;29.740;34810.000;12.000
25.07.17;12:36:58 PM;2.48;95.550;29.700;34823.000;12.000
25.07.17;12:37:13 PM;2.73;94.940;29.770;34793.000;12.000
25.07.17;12:37:28 PM;2.98;95.490;29.710;34832.000;12.000
25.07.17;12:37:43 PM;3.23;95.360;29.720;34789.000;12.000
25.07.17;12:37:58 PM;3.48;95.030;29.760;34797.000;12.000
25.07.17;12:38:13 PM;3.73;94.810;29.790;34849.000;12.000
25.07.17;12:38:28 PM;3.98;94.690;29.800;34805.000;12.000
25.07.17;12:38:43 PM;4.23;94.830;29.780;34792.000;12.000
25.07.17;12:38:58 PM;4.48;94.730;29.800;34825.000;12.000
25.07.17;12:39:13 PM;4.73;94.790;29.790;34839.000;12.000
25.07.17;12:39:28 PM;4.98;95.420;29.710;34794.000;12.000
25.07.17;12:39:43 PM;5.23;95.150;29.750;34844.000;12.000
25.07.17;12:39:58 PM;5.48;95.000;29.760;34795.000;12.000
25.07.17;12:40:13 PM;5.73;94.950;29.770;34813.000;12.000
25.07.17;12:40:28 PM;5.98;94.420;29.830;34824.000;12.000
25.07.17;12:40:43 PM;6.23;95.600;29.690;34836.000;12.000
25.07.17;12:40:58 PM;6.48;94.680;29.800;34832.000;12.000
25.07.17;12:41:13 PM;6.73;95.130;29.750;34838.000;12.000
25.07.17;12:41:28 PM;6.98;95.450;29.710;34843.000;12.000
25.07.17;12:41:43 PM;7.23;94.870;29.780;34814.000;12.000
25.07.17;12:41:58 PM;7.48;96.190;29.620;34772.000;12.000
25.07.17;12:42:13 PM;7.73;95.180;29.740;34807.000;12.000
25.07.17;12:42:28 PM;7.98;95.090;29.750;34794.000;12.000
25.07.17;12:42:43 PM;8.23;95.200;29.740;34803.000;12.000
25.07.17;12:42:58 PM;8.48;95.070;29.760;34793.000;12.000
25.07.17;12:43:13 PM;8.73;94.950;29.770;34794.000;12.000
25.07.17;12:43:28 PM;8.98;95.270;29.730;34783.000;12.000
25.07.17;12:43:43 PM;9.23;94.790;29.790;34784.000;12.000
25.07.17;12:43:58 PM;9.48;95.380;29.720;34775.000;12.000
25.07.17;12:44:13 PM;9.73;94.610;29.810;34752.000;12.000
25.07.17;12:44:28 PM;9.98;95.070;29.760;34794.000;12.000
25.07.17;12:44:43 PM;10.23;95.430;29.710;34823.000;12.000
25.07.17;12:44:58 PM;10.48;95.640;29.690;34812.000;12.000
25.07.17;12:45:13 PM;10.73;95.050;29.760;34830.000;12.000
25.07.17;12:45:28 PM;10.98;94.680;29.800;34795.000;12.000
25.07.17;12:45:43 PM;11.23;95.200;29.740;34809.000;12.000
25.07.17;12:45:58 PM;11.48;95.410;29.720;34828.000;12.000
25.07.17;12:46:13 PM;11.73;95.250;29.730;34840.000;12.000
25.07.17;12:46:28 PM;11.98;95.380;29.720;34817.000;12.000
25.07.17;12:46:43 PM;12.23;94.820;29.780;34797.000;12.000
25.07.17;12:46:58 PM;12.48;95.440;29.710;34801.000;12.000
25.07.17;12:47:13 PM;12.73;95.080;29.750;34829.000;12.000
25.07.17;12:47:28 PM;12.98;95.080;29.750;34843.000;12.000
25.07.17;12:47:43 PM;13.23;95.350;29.720;34797.000;12.000
25.07.17;12:47:58 PM;13.48;95.420;29.710;34804.000;12.000
25.07.17;12:48:13 PM;13.73;95.060;29.760;34832.000;12.000
25.07.17;12:48:28 PM;13.98;95.210;29.740;34843.000;12.000
25.07.17;12:48:43 PM;14.23;95.210;29.740;34829.000;12.000
25.07.17;12:48:58 PM;14.48;95.330;29.720;34822.000;12.000
25.07.17;12:49:13 PM;14.73;95.080;29.750;34824.000;12.000
25.07.17;12:49:28 PM;14.98;95.060;29.760;34805.000;12.000
25.07.17;12:49:43 PM;15.23;94.530;29.820;34801.000;12.000
25.07.17;12:49:58 PM;15.48;94.880;29.780;34801.000;12.000
25.07.17;12:50:13 PM;15.73;95.340;29.720;34815.000;12.000
25.07.17;12:50:28 PM;15.98;94.660;29.800;34800.000;12.000
25.07.17;12:50:43 PM;16.23;95.490;29.710;34789.000;12.000
25.07.17;12:50:58 PM;16.48;94.970;29.770;34803.000;12.000
25.07.17;12:51:13 PM;16.73;95.190;29.740;34756.000;12.000
25.07.17;12:51:28 PM;16.98;95.040;29.760;34835.000;12.000
25.07.17;12:51:43 PM;17.23;94.830;29.780;34806.000;12.000
25.07.17;12:51:58 PM;17.48;94.550;29.820;34800.000;12.000
25.07.17;12:52:13 PM;17.73;94.430;29.830;34794.000;12.000
25.07.17;12:52:28 PM;17.98;95.060;29.760;34793.000;12.000
25.07.17;12:52:43 PM;18.23;95.380;29.720;34820.000;12.000
25.07.17;12:52:58 PM;18.48;95.380;29.720;34813.000;12.000
25.07.17;12:53:13 PM;18.73;94.290;29.850;34807.000;12.000
25.07.17;12:53:28 PM;18.98;94.820;29.780;34810.000;12.000
25.07.17;12:53:43 PM;19.23;94.750;29.790;34806.000;12.000
25.07.17;12:53:58 PM;19.48;95.150;29.750;34810.000;12.000
25.07.17;12:54:13 PM;19.73;94.900;29.780;34839.000;12.000
