25.07.17/10:51 AM SW ver:OXY10v3_33
Header Ch-4
Description: TWI5-15
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 99901
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
25.07.17;10:51:32 AM;0.00;95.110;29.160;38670.000;15.000
25.07.17;10:51:41 AM;0.15;94.440;29.240;38665.000;15.000
25.07.17;10:51:56 AM;0.41;94.520;29.230;38662.000;15.000
25.07.17;10:52:11 AM;0.65;95.010;29.170;38652.000;15.000
25.07.17;10:52:26 AM;0.91;95.190;29.150;38685.000;15.000
25.07.17;10:52:41 AM;1.16;94.300;29.250;38672.000;15.000
25.07.17;10:52:56 AM;1.40;94.350;29.250;38680.000;15.000
25.07.17;10:53:11 AM;1.66;94.360;29.250;38685.000;15.000
25.07.17;10:53:26 AM;1.90;93.920;29.300;38715.000;15.000
25.07.17;10:53:41 AM;2.16;94.250;29.260;38648.000;15.000
25.07.17;10:53:56 AM;2.41;94.610;29.220;38654.000;15.000
25.07.17;10:54:11 AM;2.65;94.600;29.220;38632.000;15.000
25.07.17;10:54:26 AM;2.90;94.880;29.190;38702.000;15.000
25.07.17;10:54:41 AM;3.16;95.370;29.130;38660.000;15.000
25.07.17;10:54:56 AM;3.41;94.370;29.250;38663.000;15.000
25.07.17;10:55:11 AM;3.65;94.480;29.230;38639.000;15.000
25.07.17;10:55:26 AM;3.91;94.310;29.250;38683.000;15.000
25.07.17;10:55:41 AM;4.15;94.460;29.240;38647.000;15.000
25.07.17;10:55:56 AM;4.40;95.010;29.170;38685.000;15.000
25.07.17;10:56:11 AM;4.65;94.780;29.200;38673.000;15.000
25.07.17;10:56:26 AM;4.90;94.200;29.270;38686.000;15.000
25.07.17;10:56:41 AM;5.16;93.870;29.300;38679.000;15.000
25.07.17;10:56:56 AM;5.41;93.870;29.300;38664.000;15.000
25.07.17;10:57:11 AM;5.65;94.720;29.200;38685.000;15.000
25.07.17;10:57:26 AM;5.90;94.200;29.270;38683.000;15.000
25.07.17;10:57:41 AM;6.15;94.010;29.290;38697.000;15.000
25.07.17;10:57:56 AM;6.40;94.780;29.200;38710.000;15.000
25.07.17;10:58:11 AM;6.65;94.930;29.180;38714.000;15.000
25.07.17;10:58:26 AM;6.90;94.290;29.260;38676.000;15.000
25.07.17;10:58:41 AM;7.16;94.410;29.240;38676.000;15.000
25.07.17;10:58:56 AM;7.40;94.830;29.190;38708.000;15.000
25.07.17;10:59:11 AM;7.65;94.470;29.230;38670.000;15.000
25.07.17;10:59:26 AM;7.90;94.450;29.240;38708.000;15.000
25.07.17;10:59:41 AM;8.15;94.320;29.250;38664.000;15.000
25.07.17;10:59:56 AM;8.40;94.130;29.270;38712.000;15.000
25.07.17;11:00:11 AM;8.65;94.390;29.240;38705.000;15.000
25.07.17;11:00:26 AM;8.90;94.130;29.270;38695.000;15.000
25.07.17;11:00:41 AM;9.15;93.960;29.290;38717.000;15.000
25.07.17;11:00:56 AM;9.41;94.600;29.220;38702.000;15.000
25.07.17;11:01:11 AM;9.65;94.490;29.230;38651.000;15.000
25.07.17;11:01:26 AM;9.90;94.190;29.270;38695.000;15.000
25.07.17;11:01:41 AM;10.15;94.400;29.240;38713.000;15.000
25.07.17;11:01:56 AM;10.40;94.870;29.190;38704.000;15.000
25.07.17;11:02:11 AM;10.65;94.660;29.210;38695.000;15.000
25.07.17;11:02:26 AM;10.90;93.980;29.290;38746.000;15.000
25.07.17;11:02:41 AM;11.15;94.410;29.240;38713.000;15.000
25.07.17;11:02:56 AM;11.40;94.620;29.220;38726.000;15.000
25.07.17;11:03:11 AM;11.65;94.080;29.280;38692.000;15.000
25.07.17;11:03:26 AM;11.90;94.040;29.280;38713.000;15.000
25.07.17;11:03:41 AM;12.15;94.550;29.220;38734.000;15.000
25.07.17;11:03:56 AM;12.40;94.310;29.250;38727.000;15.000
25.07.17;11:04:11 AM;12.65;94.390;29.240;38692.000;15.000
25.07.17;11:04:26 AM;12.91;93.960;29.290;38726.000;15.000
25.07.17;11:04:41 AM;13.15;94.340;29.250;38727.000;15.000
25.07.17;11:04:56 AM;13.40;94.340;29.250;38732.000;15.000
25.07.17;11:05:11 AM;13.65;94.310;29.250;38737.000;15.000
25.07.17;11:05:26 AM;13.90;94.120;29.280;38732.000;15.000
25.07.17;11:05:41 AM;14.15;93.900;29.300;38750.000;15.000
25.07.17;11:05:56 AM;14.40;94.680;29.210;38723.000;15.000
25.07.17;11:06:11 AM;14.65;94.300;29.250;38714.000;15.000
25.07.17;11:06:26 AM;14.90;94.400;29.240;38714.000;15.000
25.07.17;11:06:41 AM;15.15;94.190;29.270;38790.000;15.000
25.07.17;11:06:56 AM;15.40;94.560;29.220;38764.000;15.000
25.07.17;11:07:11 AM;15.65;93.910;29.300;38749.000;15.000
25.07.17;11:07:26 AM;15.90;94.720;29.210;38743.000;15.000
25.07.17;11:07:41 AM;16.16;94.070;29.280;38728.000;15.000
25.07.17;11:07:56 AM;16.41;94.340;29.250;38773.000;15.000
25.07.17;11:08:11 AM;16.66;93.800;29.310;38745.000;15.000
25.07.17;11:08:26 AM;16.90;93.970;29.290;38715.000;15.000
25.07.17;11:08:41 AM;17.15;93.620;29.330;38724.000;15.000
25.07.17;11:08:56 AM;17.40;94.410;29.240;38718.000;15.000
25.07.17;11:09:11 AM;17.65;94.240;29.260;38775.000;15.000
25.07.17;11:09:26 AM;17.90;94.510;29.230;38759.000;15.000
25.07.17;11:09:41 AM;18.16;93.050;29.400;38752.000;15.000
25.07.17;11:09:56 AM;18.40;94.850;29.190;38834.000;15.000
25.07.17;11:10:11 AM;18.65;94.110;29.280;38759.000;15.000
25.07.17;11:10:26 AM;18.90;94.740;29.200;38784.000;15.000
25.07.17;11:10:41 AM;19.15;94.140;29.270;38788.000;15.000
25.07.17;11:10:56 AM;19.40;93.470;29.350;38805.000;15.000
25.07.17;11:11:11 AM;19.66;93.510;29.350;38754.000;15.000
25.07.17;11:11:26 AM;19.90;93.980;29.290;38760.000;15.000
25.07.17;11:11:41 AM;20.15;93.530;29.350;38782.000;15.000
25.07.17;11:11:56 AM;20.40;93.740;29.320;38757.000;15.000
25.07.17;11:12:11 AM;20.65;94.140;29.270;38751.000;15.000
25.07.17;11:12:26 AM;20.90;93.530;29.340;38756.000;15.000
25.07.17;11:12:41 AM;21.15;93.860;29.310;38773.000;15.000
25.07.17;11:12:56 AM;21.40;93.630;29.330;38801.000;15.000
