25.07.17/10:51 AM SW ver:OXY10v3_33
Header Ch-6
Description: TWM3-15
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 102083
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
25.07.17;10:51:33 AM;0.00;97.340;28.900;38434.000;15.000
25.07.17;10:51:45 AM;0.20;96.910;28.950;38462.000;15.000
25.07.17;10:52:00 AM;0.45;96.790;28.970;38490.000;15.000
25.07.17;10:52:15 AM;0.70;97.350;28.900;38478.000;15.000
25.07.17;10:52:30 AM;0.95;96.210;29.030;38527.000;15.000
25.07.17;10:52:45 AM;1.20;96.260;29.030;38474.000;15.000
25.07.17;10:53:00 AM;1.45;96.060;29.050;38484.000;15.000
25.07.17;10:53:15 AM;1.70;95.540;29.110;38490.000;15.000
25.07.17;10:53:30 AM;1.95;96.810;28.960;38522.000;15.000
25.07.17;10:53:45 AM;2.20;97.110;28.930;38489.000;15.000
25.07.17;10:54:00 AM;2.45;97.210;28.920;38551.000;15.000
25.07.17;10:54:15 AM;2.70;97.020;28.940;38562.000;15.000
25.07.17;10:54:30 AM;2.95;96.640;28.980;38499.000;15.000
25.07.17;10:54:45 AM;3.20;97.030;28.940;38417.000;15.000
25.07.17;10:55:00 AM;3.45;97.250;28.910;38441.000;15.000
25.07.17;10:55:15 AM;3.70;97.100;28.930;38468.000;15.000
25.07.17;10:55:30 AM;3.95;96.470;29.000;38498.000;15.000
25.07.17;10:55:45 AM;4.20;96.440;29.010;38503.000;15.000
25.07.17;10:56:00 AM;4.45;96.500;29.000;38524.000;15.000
25.07.17;10:56:15 AM;4.70;96.540;28.990;38508.000;15.000
25.07.17;10:56:30 AM;4.95;97.430;28.890;38495.000;15.000
25.07.17;10:56:45 AM;5.20;96.490;29.000;38494.000;15.000
25.07.17;10:57:00 AM;5.45;96.260;29.030;38497.000;15.000
25.07.17;10:57:15 AM;5.70;96.570;28.990;38491.000;15.000
25.07.17;10:57:30 AM;5.95;97.280;28.910;38495.000;15.000
25.07.17;10:57:45 AM;6.20;96.690;28.980;38524.000;15.000
25.07.17;10:58:00 AM;6.45;97.540;28.880;38510.000;15.000
25.07.17;10:58:15 AM;6.70;96.900;28.950;38482.000;15.000
25.07.17;10:58:30 AM;6.95;97.190;28.920;38488.000;15.000
25.07.17;10:58:45 AM;7.20;96.730;28.970;38476.000;15.000
25.07.17;10:59:00 AM;7.45;96.880;28.960;38499.000;15.000
25.07.17;10:59:15 AM;7.70;96.650;28.980;38524.000;15.000
25.07.17;10:59:30 AM;7.95;96.710;28.980;38561.000;15.000
25.07.17;10:59:45 AM;8.20;96.230;29.030;38548.000;15.000
25.07.17;11:00:00 AM;8.45;96.410;29.010;38523.000;15.000
25.07.17;11:00:15 AM;8.70;96.470;29.000;38537.000;15.000
25.07.17;11:00:30 AM;8.95;96.870;28.960;38538.000;15.000
25.07.17;11:00:45 AM;9.20;96.740;28.970;38532.000;15.000
25.07.17;11:01:00 AM;9.45;96.430;29.010;38535.000;15.000
25.07.17;11:01:15 AM;9.70;96.420;29.010;38547.000;15.000
25.07.17;11:01:30 AM;9.95;97.450;28.890;38524.000;15.000
25.07.17;11:01:45 AM;10.20;96.940;28.950;38537.000;15.000
25.07.17;11:02:00 AM;10.45;97.330;28.910;38498.000;15.000
25.07.17;11:02:15 AM;10.70;96.280;29.020;38517.000;15.000
25.07.17;11:02:30 AM;10.95;96.670;28.980;38590.000;15.000
25.07.17;11:02:45 AM;11.20;96.850;28.960;38614.000;15.000
25.07.17;11:03:00 AM;11.45;97.050;28.940;38541.000;15.000
25.07.17;11:03:15 AM;11.70;96.390;29.010;38584.000;15.000
25.07.17;11:03:30 AM;11.95;96.150;29.040;38583.000;15.000
25.07.17;11:03:45 AM;12.20;96.820;28.960;38533.000;15.000
25.07.17;11:04:00 AM;12.45;96.580;28.990;38504.000;15.000
25.07.17;11:04:15 AM;12.70;96.010;29.060;38585.000;15.000
25.07.17;11:04:30 AM;12.95;96.770;28.970;38561.000;15.000
25.07.17;11:04:45 AM;13.20;96.660;28.980;38631.000;15.000
25.07.17;11:05:00 AM;13.45;96.610;28.990;38566.000;15.000
25.07.17;11:05:15 AM;13.70;96.500;29.000;38511.000;15.000
25.07.17;11:05:30 AM;13.95;96.250;29.030;38579.000;15.000
25.07.17;11:05:45 AM;14.20;96.820;28.960;38575.000;15.000
25.07.17;11:06:00 AM;14.45;96.160;29.040;38514.000;15.000
25.07.17;11:06:15 AM;14.70;96.090;29.050;38510.000;15.000
25.07.17;11:06:30 AM;14.95;95.910;29.070;38549.000;15.000
25.07.17;11:06:45 AM;15.20;95.840;29.080;38585.000;15.000
25.07.17;11:07:00 AM;15.45;96.740;28.970;38576.000;15.000
25.07.17;11:07:15 AM;15.70;95.670;29.090;38586.000;15.000
25.07.17;11:07:30 AM;15.95;96.520;29.000;38638.000;15.000
25.07.17;11:07:45 AM;16.20;96.350;29.020;38578.000;15.000
25.07.17;11:08:00 AM;16.45;97.020;28.940;38604.000;15.000
25.07.17;11:08:15 AM;16.70;96.150;29.040;38618.000;15.000
25.07.17;11:08:30 AM;16.95;96.750;28.970;38641.000;15.000
25.07.17;11:08:45 AM;17.20;96.520;29.000;38594.000;15.000
25.07.17;11:09:00 AM;17.45;96.360;29.020;38543.000;15.000
25.07.17;11:09:15 AM;17.70;96.610;28.990;38586.000;15.000
25.07.17;11:09:30 AM;17.95;96.680;28.980;38547.000;15.000
25.07.17;11:09:45 AM;18.20;96.280;29.020;38664.000;15.000
25.07.17;11:10:00 AM;18.45;96.010;29.060;38615.000;15.000
25.07.17;11:10:15 AM;18.70;96.970;28.950;38664.000;15.000
25.07.17;11:10:30 AM;18.95;96.460;29.000;38604.000;15.000
