25.07.17/10:18 AM SW ver:OXY10v3_33
Header Ch-3
Description: WBC3-15
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 106191
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
25.07.17;10:18:10 AM;0.00;94.200;29.270;35743.000;15.000
25.07.17;10:18:24 AM;0.23;94.390;29.240;35706.000;15.000
25.07.17;10:18:39 AM;0.48;94.400;29.240;35747.000;15.000
25.07.17;10:18:54 AM;0.73;94.470;29.230;35775.000;15.000
25.07.17;10:19:09 AM;0.98;94.290;29.260;35769.000;15.000
25.07.17;10:19:24 AM;1.23;94.340;29.250;35725.000;15.000
25.07.17;10:19:39 AM;1.48;94.830;29.190;35742.000;15.000
25.07.17;10:19:54 AM;1.73;94.660;29.210;35740.000;15.000
25.07.17;10:20:09 AM;1.98;95.130;29.160;35723.000;15.000
25.07.17;10:20:24 AM;2.23;94.960;29.180;35756.000;15.000
25.07.17;10:20:39 AM;2.48;94.780;29.200;35746.000;15.000
25.07.17;10:20:54 AM;2.73;94.460;29.240;35754.000;15.000
25.07.17;10:21:09 AM;2.98;94.880;29.190;35736.000;15.000
25.07.17;10:21:24 AM;3.23;94.270;29.260;35759.000;15.000
25.07.17;10:21:39 AM;3.49;94.590;29.220;35767.000;15.000
25.07.17;10:21:54 AM;3.73;94.520;29.230;35764.000;15.000
25.07.17;10:22:09 AM;3.98;94.640;29.210;35760.000;15.000
25.07.17;10:22:24 AM;4.23;94.380;29.240;35754.000;15.000
25.07.17;10:22:39 AM;4.48;94.550;29.220;35757.000;15.000
25.07.17;10:22:54 AM;4.73;94.310;29.250;35758.000;15.000
25.07.17;10:23:09 AM;4.98;94.480;29.230;35782.000;15.000
25.07.17;10:23:24 AM;5.23;94.370;29.250;35768.000;15.000
25.07.17;10:23:39 AM;5.48;94.430;29.240;35783.000;15.000
25.07.17;10:23:54 AM;5.73;94.760;29.200;35746.000;15.000
25.07.17;10:24:09 AM;5.98;94.350;29.250;35765.000;15.000
25.07.17;10:24:24 AM;6.23;94.420;29.240;35794.000;15.000
25.07.17;10:24:39 AM;6.49;94.680;29.210;35795.000;15.000
25.07.17;10:24:54 AM;6.73;94.380;29.240;35757.000;15.000
25.07.17;10:25:09 AM;6.98;94.300;29.250;35781.000;15.000
25.07.17;10:25:24 AM;7.23;94.810;29.190;35788.000;15.000
25.07.17;10:25:39 AM;7.49;94.090;29.280;35763.000;15.000
25.07.17;10:25:54 AM;7.73;94.390;29.240;35781.000;15.000
25.07.17;10:26:09 AM;7.98;94.380;29.240;35773.000;15.000
25.07.17;10:26:24 AM;8.23;94.360;29.250;35778.000;15.000
25.07.17;10:26:39 AM;8.48;94.720;29.210;35778.000;15.000
25.07.17;10:26:54 AM;8.73;94.030;29.290;35792.000;15.000
25.07.17;10:27:09 AM;8.98;94.210;29.260;35794.000;15.000
25.07.17;10:27:24 AM;9.23;94.600;29.220;35777.000;15.000
25.07.17;10:27:39 AM;9.48;94.370;29.250;35786.000;15.000
25.07.17;10:27:54 AM;9.73;94.170;29.270;35800.000;15.000
25.07.17;10:28:09 AM;9.98;94.310;29.250;35782.000;15.000
25.07.17;10:28:24 AM;10.23;93.990;29.290;35763.000;15.000
25.07.17;10:28:39 AM;10.48;94.450;29.240;35792.000;15.000
25.07.17;10:28:54 AM;10.73;94.430;29.240;35800.000;15.000
25.07.17;10:29:09 AM;10.98;94.310;29.250;35795.000;15.000
25.07.17;10:29:24 AM;11.24;94.620;29.220;35799.000;15.000
25.07.17;10:29:39 AM;11.48;94.380;29.240;35804.000;15.000
25.07.17;10:29:54 AM;11.73;94.190;29.270;35810.000;15.000
25.07.17;10:30:09 AM;11.98;94.590;29.220;35799.000;15.000
25.07.17;10:30:24 AM;12.23;94.220;29.260;35787.000;15.000
25.07.17;10:30:39 AM;12.48;94.300;29.250;35823.000;15.000
25.07.17;10:30:54 AM;12.73;94.150;29.270;35804.000;15.000
25.07.17;10:31:09 AM;12.98;94.260;29.260;35810.000;15.000
25.07.17;10:31:24 AM;13.23;94.020;29.290;35814.000;15.000
25.07.17;10:31:39 AM;13.48;94.480;29.230;35790.000;15.000
25.07.17;10:31:54 AM;13.73;94.310;29.250;35812.000;15.000
25.07.17;10:32:09 AM;13.98;94.570;29.220;35814.000;15.000
25.07.17;10:32:24 AM;14.23;94.440;29.240;35814.000;15.000
25.07.17;10:32:39 AM;14.48;94.520;29.230;35802.000;15.000
25.07.17;10:32:54 AM;14.73;94.150;29.270;35837.000;15.000
25.07.17;10:33:09 AM;14.98;94.180;29.270;35822.000;15.000
25.07.17;10:33:24 AM;15.23;94.200;29.270;35823.000;15.000
25.07.17;10:33:39 AM;15.48;94.310;29.250;35813.000;15.000
25.07.17;10:33:54 AM;15.73;94.240;29.260;35844.000;15.000
25.07.17;10:34:09 AM;15.98;94.250;29.260;35829.000;15.000
25.07.17;10:34:24 AM;16.23;94.390;29.240;35840.000;15.000
25.07.17;10:34:39 AM;16.48;94.420;29.240;35846.000;15.000
25.07.17;10:34:54 AM;16.73;93.870;29.300;35831.000;15.000
25.07.17;10:35:09 AM;16.98;93.860;29.310;35837.000;15.000
25.07.17;10:35:24 AM;17.23;93.710;29.320;35850.000;15.000
25.07.17;10:35:39 AM;17.48;94.320;29.250;35810.000;15.000
25.07.17;10:35:54 AM;17.73;94.080;29.280;35851.000;15.000
25.07.17;10:36:09 AM;17.98;94.110;29.280;35866.000;15.000
25.07.17;10:36:24 AM;18.23;94.440;29.240;35867.000;15.000
25.07.17;10:36:39 AM;18.48;94.600;29.220;35827.000;15.000
25.07.17;10:36:54 AM;18.73;93.960;29.290;35843.000;15.000
25.07.17;10:37:09 AM;18.98;94.230;29.260;35858.000;15.000
25.07.17;10:37:24 AM;19.23;94.230;29.260;35855.000;15.000
25.07.17;10:37:39 AM;19.48;94.060;29.280;35870.000;15.000
25.07.17;10:37:54 AM;19.73;93.970;29.290;35872.000;15.000
