25.07.17/9:12 AM SW ver:OXY10v3_33
Header Ch-10
Description: TBF1-18
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 101773
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
25.07.17;9:12:56 AM;0.00;94.790;28.620;43311.000;18.000
25.07.17;9:13:06 AM;0.18;95.330;28.560;43318.000;18.000
25.07.17;9:13:21 AM;0.42;95.500;28.540;43317.000;18.000
25.07.17;9:13:36 AM;0.68;95.480;28.540;43320.000;18.000
25.07.17;9:13:51 AM;0.92;95.470;28.550;43289.000;18.000
25.07.17;9:14:06 AM;1.17;94.640;28.640;43291.000;18.000
25.07.17;9:14:21 AM;1.43;95.320;28.560;43318.000;18.000
25.07.17;9:14:36 AM;1.68;95.510;28.540;43290.000;18.000
25.07.17;9:14:51 AM;1.93;95.500;28.540;43321.000;18.000
25.07.17;9:15:06 AM;2.17;95.390;28.550;43277.000;18.000
25.07.17;9:15:21 AM;2.43;95.380;28.560;43250.000;18.000
25.07.17;9:15:36 AM;2.67;95.430;28.550;43299.000;18.000
25.07.17;9:15:51 AM;2.92;95.190;28.580;43284.000;18.000
25.07.17;9:16:06 AM;3.18;94.930;28.610;43301.000;18.000
25.07.17;9:16:21 AM;3.42;95.500;28.540;43259.000;18.000
25.07.17;9:16:36 AM;3.67;95.230;28.570;43310.000;18.000
25.07.17;9:16:51 AM;3.92;95.110;28.590;43263.000;18.000
25.07.17;9:17:06 AM;4.17;95.300;28.570;43279.000;18.000
25.07.17;9:17:21 AM;4.42;94.920;28.610;43262.000;18.000
25.07.17;9:17:36 AM;4.68;95.290;28.570;43298.000;18.000
25.07.17;9:17:51 AM;4.93;94.960;28.600;43298.000;18.000
25.07.17;9:18:06 AM;5.17;95.430;28.550;43260.000;18.000
25.07.17;9:18:21 AM;5.42;95.210;28.580;43301.000;18.000
25.07.17;9:18:36 AM;5.68;95.030;28.600;43301.000;18.000
25.07.17;9:18:51 AM;5.93;95.140;28.580;43279.000;18.000
25.07.17;9:19:06 AM;6.17;95.090;28.590;43283.000;18.000
25.07.17;9:19:21 AM;6.42;95.130;28.580;43298.000;18.000
25.07.17;9:19:36 AM;6.68;95.450;28.550;43275.000;18.000
25.07.17;9:19:51 AM;6.93;95.120;28.590;43301.000;18.000
25.07.17;9:20:06 AM;7.17;95.210;28.580;43278.000;18.000
25.07.17;9:20:21 AM;7.43;95.370;28.560;43270.000;18.000
25.07.17;9:20:36 AM;7.68;95.090;28.590;43321.000;18.000
25.07.17;9:20:51 AM;7.93;95.130;28.580;43281.000;18.000
25.07.17;9:21:06 AM;8.17;94.800;28.620;43250.000;18.000
25.07.17;9:21:21 AM;8.42;95.130;28.580;43234.000;18.000
25.07.17;9:21:36 AM;8.67;94.900;28.610;43268.000;18.000
25.07.17;9:21:51 AM;8.93;94.980;28.600;43285.000;18.000
25.07.17;9:22:06 AM;9.17;95.470;28.550;43285.000;18.000
25.07.17;9:22:21 AM;9.43;95.030;28.600;43244.000;18.000
25.07.17;9:22:36 AM;9.67;94.860;28.620;43237.000;18.000
25.07.17;9:22:51 AM;9.92;95.300;28.570;43250.000;18.000
25.07.17;9:23:06 AM;10.18;94.800;28.620;43247.000;18.000
25.07.17;9:23:21 AM;10.42;95.210;28.580;43248.000;18.000
25.07.17;9:23:36 AM;10.68;94.760;28.630;43240.000;18.000
25.07.17;9:23:51 AM;10.93;94.640;28.640;43244.000;18.000
25.07.17;9:24:06 AM;11.18;94.820;28.620;43244.000;18.000
25.07.17;9:24:21 AM;11.43;94.660;28.640;43241.000;18.000
25.07.17;9:24:36 AM;11.68;94.680;28.640;43269.000;18.000
25.07.17;9:24:51 AM;11.93;94.810;28.620;43218.000;18.000
25.07.17;9:25:06 AM;12.18;94.550;28.650;43258.000;18.000
25.07.17;9:25:21 AM;12.43;94.590;28.650;43301.000;18.000
25.07.17;9:25:36 AM;12.67;94.530;28.650;43236.000;18.000
25.07.17;9:25:51 AM;12.92;94.500;28.660;43258.000;18.000
25.07.17;9:26:06 AM;13.18;94.780;28.620;43246.000;18.000
25.07.17;9:26:21 AM;13.43;94.530;28.650;43265.000;18.000
25.07.17;9:26:36 AM;13.68;94.340;28.680;43263.000;18.000
25.07.17;9:26:51 AM;13.93;93.950;28.720;43258.000;18.000
25.07.17;9:27:06 AM;14.17;94.790;28.620;43266.000;18.000
25.07.17;9:27:21 AM;14.42;94.270;28.680;43261.000;18.000
25.07.17;9:27:36 AM;14.68;94.560;28.650;43222.000;18.000
25.07.17;9:27:51 AM;14.93;94.710;28.630;43240.000;18.000
25.07.17;9:28:06 AM;15.17;94.330;28.680;43276.000;18.000
25.07.17;9:28:21 AM;15.43;94.270;28.680;43277.000;18.000
25.07.17;9:28:36 AM;15.68;94.440;28.660;43256.000;18.000
25.07.17;9:28:51 AM;15.93;94.100;28.700;43268.000;18.000
25.07.17;9:29:06 AM;16.17;94.640;28.640;43239.000;18.000
25.07.17;9:29:21 AM;16.43;94.280;28.680;43250.000;18.000
25.07.17;9:29:36 AM;16.67;94.690;28.640;43278.000;18.000
25.07.17;9:29:51 AM;16.92;94.200;28.690;43250.000;18.000
25.07.17;9:30:06 AM;17.17;94.010;28.710;43267.000;18.000
25.07.17;9:30:21 AM;17.42;94.050;28.710;43237.000;18.000
25.07.17;9:30:36 AM;17.67;94.170;28.700;43281.000;18.000
25.07.17;9:30:51 AM;17.93;94.360;28.670;43242.000;18.000
25.07.17;9:31:06 AM;18.18;94.380;28.670;43308.000;18.000
