25.07.17/8:40 AM SW ver:OXY10v3_33
Header Ch-4
Description: TWI5-18
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 99901
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
25.07.17;8:40:59 AM;0.00;94.170;28.700;38371.000;18.000
25.07.17;8:41:00 AM;0.02;94.330;28.680;38324.000;18.000
25.07.17;8:41:09 AM;0.18;94.390;28.670;38361.000;18.000
25.07.17;8:41:25 AM;0.43;94.300;28.680;38338.000;18.000
25.07.17;8:41:39 AM;0.68;94.200;28.690;38337.000;18.000
25.07.17;8:41:54 AM;0.93;94.070;28.710;38380.000;18.000
25.07.17;8:42:09 AM;1.18;93.950;28.720;38310.000;18.000
25.07.17;8:42:24 AM;1.43;94.140;28.700;38323.000;18.000
25.07.17;8:42:39 AM;1.68;94.110;28.700;38352.000;18.000
25.07.17;8:42:54 AM;1.93;94.250;28.690;38310.000;18.000
25.07.17;8:43:09 AM;2.18;94.480;28.660;38318.000;18.000
25.07.17;8:43:24 AM;2.43;93.980;28.720;38311.000;18.000
25.07.17;8:43:39 AM;2.68;94.310;28.680;38325.000;18.000
25.07.17;8:43:54 AM;2.93;94.160;28.700;38318.000;18.000
25.07.17;8:44:09 AM;3.18;94.400;28.670;38330.000;18.000
25.07.17;8:44:24 AM;3.43;94.040;28.710;38318.000;18.000
25.07.17;8:44:39 AM;3.68;93.840;28.730;38328.000;18.000
25.07.17;8:44:54 AM;3.93;94.010;28.710;38306.000;18.000
25.07.17;8:45:09 AM;4.18;94.280;28.680;38296.000;18.000
25.07.17;8:45:24 AM;4.43;93.820;28.740;38321.000;18.000
25.07.17;8:45:39 AM;4.68;93.830;28.730;38297.000;18.000
25.07.17;8:45:54 AM;4.93;93.720;28.750;38301.000;18.000
25.07.17;8:46:09 AM;5.18;93.770;28.740;38307.000;18.000
25.07.17;8:46:24 AM;5.43;93.900;28.730;38293.000;18.000
25.07.17;8:46:39 AM;5.68;93.810;28.740;38289.000;18.000
25.07.17;8:46:54 AM;5.93;93.600;28.760;38288.000;18.000
25.07.17;8:47:09 AM;6.18;93.930;28.720;38284.000;18.000
25.07.17;8:47:24 AM;6.43;94.030;28.710;38302.000;18.000
25.07.17;8:47:39 AM;6.68;94.190;28.690;38297.000;18.000
25.07.17;8:47:54 AM;6.93;93.860;28.730;38273.000;18.000
25.07.17;8:48:09 AM;7.18;93.940;28.720;38297.000;18.000
25.07.17;8:48:24 AM;7.43;94.510;28.660;38281.000;18.000
25.07.17;8:48:39 AM;7.68;93.960;28.720;38284.000;18.000
25.07.17;8:48:54 AM;7.93;93.910;28.730;38264.000;18.000
25.07.17;8:49:10 AM;8.18;93.870;28.730;38278.000;18.000
25.07.17;8:49:24 AM;8.43;93.600;28.760;38278.000;18.000
25.07.17;8:49:39 AM;8.68;93.830;28.740;38297.000;18.000
25.07.17;8:49:54 AM;8.93;93.680;28.750;38265.000;18.000
25.07.17;8:50:09 AM;9.18;93.830;28.730;38270.000;18.000
25.07.17;8:50:24 AM;9.43;93.520;28.770;38274.000;18.000
25.07.17;8:50:39 AM;9.68;94.140;28.700;38263.000;18.000
25.07.17;8:50:54 AM;9.93;93.580;28.760;38255.000;18.000
25.07.17;8:51:09 AM;10.18;94.060;28.710;38262.000;18.000
25.07.17;8:51:24 AM;10.43;93.900;28.730;38241.000;18.000
25.07.17;8:51:39 AM;10.68;93.550;28.770;38271.000;18.000
25.07.17;8:51:54 AM;10.93;93.660;28.750;38270.000;18.000
25.07.17;8:52:09 AM;11.18;93.640;28.760;38266.000;18.000
25.07.17;8:52:24 AM;11.43;94.080;28.710;38259.000;18.000
25.07.17;8:52:39 AM;11.68;93.340;28.790;38264.000;18.000
25.07.17;8:52:54 AM;11.93;93.980;28.720;38265.000;18.000
25.07.17;8:53:10 AM;12.18;93.830;28.740;38233.000;18.000
25.07.17;8:53:24 AM;12.43;93.530;28.770;38227.000;18.000
25.07.17;8:53:39 AM;12.68;93.270;28.800;38265.000;18.000
25.07.17;8:53:54 AM;12.93;93.700;28.750;38273.000;18.000
25.07.17;8:54:09 AM;13.18;93.690;28.750;38269.000;18.000
25.07.17;8:54:24 AM;13.43;93.600;28.760;38262.000;18.000
25.07.17;8:54:39 AM;13.68;93.610;28.760;38252.000;18.000
25.07.17;8:54:54 AM;13.93;93.710;28.750;38225.000;18.000
25.07.17;8:55:09 AM;14.18;93.460;28.780;38261.000;18.000
25.07.17;8:55:24 AM;14.43;93.550;28.770;38252.000;18.000
25.07.17;8:55:39 AM;14.68;93.080;28.820;38258.000;18.000
25.07.17;8:55:54 AM;14.93;93.670;28.750;38253.000;18.000
25.07.17;8:56:09 AM;15.18;93.510;28.770;38224.000;18.000
25.07.17;8:56:24 AM;15.43;93.860;28.730;38228.000;18.000
25.07.17;8:56:39 AM;15.68;93.740;28.750;38236.000;18.000
25.07.17;8:56:54 AM;15.93;93.220;28.810;38231.000;18.000
25.07.17;8:57:09 AM;16.18;93.580;28.760;38213.000;18.000
25.07.17;8:57:24 AM;16.43;93.510;28.770;38242.000;18.000
25.07.17;8:57:39 AM;16.68;93.570;28.770;38219.000;18.000
25.07.17;8:57:54 AM;16.93;93.100;28.820;38213.000;18.000
25.07.17;8:58:09 AM;17.18;93.480;28.780;38216.000;18.000
25.07.17;8:58:24 AM;17.43;93.460;28.780;38217.000;18.000
25.07.17;8:58:39 AM;17.68;93.230;28.810;38237.000;18.000
25.07.17;8:58:54 AM;17.93;93.380;28.790;38219.000;18.000
25.07.17;8:59:09 AM;18.18;93.170;28.810;38234.000;18.000
25.07.17;8:59:24 AM;18.43;93.190;28.810;38224.000;18.000
25.07.17;8:59:39 AM;18.68;93.190;28.810;38245.000;18.000
25.07.17;8:59:54 AM;18.93;93.400;28.790;38206.000;18.000
