25.07.17/4:04 PM SW ver:OXY10v3_33
Header Ch-8
Description: TBL6-6
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 103451
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
25.07.17;4:04:46 PM;0.00;95.550;30.940;34272.000;6.000
25.07.17;4:04:49 PM;0.05;95.830;30.910;34262.000;6.000
25.07.17;4:05:04 PM;0.30;95.560;30.940;34234.000;6.000
25.07.17;4:05:19 PM;0.55;95.990;30.890;34242.000;6.000
25.07.17;4:05:34 PM;0.80;95.360;30.960;34306.000;6.000
25.07.17;4:05:49 PM;1.05;95.650;30.930;34220.000;6.000
25.07.17;4:06:04 PM;1.30;96.100;30.870;34240.000;6.000
25.07.17;4:06:19 PM;1.55;96.020;30.880;34216.000;6.000
25.07.17;4:06:34 PM;1.80;95.600;30.930;34236.000;6.000
25.07.17;4:06:49 PM;2.05;96.300;30.850;34245.000;6.000
25.07.17;4:07:04 PM;2.30;96.010;30.880;34245.000;6.000
25.07.17;4:07:19 PM;2.55;96.240;30.860;34240.000;6.000
25.07.17;4:07:34 PM;2.80;96.430;30.830;34183.000;6.000
25.07.17;4:07:49 PM;3.05;95.820;30.910;34238.000;6.000
25.07.17;4:08:04 PM;3.30;95.910;30.900;34190.000;6.000
25.07.17;4:08:19 PM;3.55;95.700;30.920;34237.000;6.000
25.07.17;4:08:34 PM;3.80;95.980;30.890;34211.000;6.000
25.07.17;4:08:49 PM;4.05;95.930;30.890;34208.000;6.000
25.07.17;4:09:04 PM;4.30;95.550;30.940;34234.000;6.000
25.07.17;4:09:19 PM;4.55;95.750;30.920;34215.000;6.000
25.07.17;4:09:34 PM;4.80;95.410;30.960;34264.000;6.000
25.07.17;4:09:49 PM;5.05;96.000;30.890;34273.000;6.000
25.07.17;4:10:04 PM;5.30;96.060;30.880;34249.000;6.000
25.07.17;4:10:19 PM;5.55;95.450;30.950;34230.000;6.000
25.07.17;4:10:34 PM;5.80;95.630;30.930;34269.000;6.000
25.07.17;4:10:49 PM;6.05;95.540;30.940;34244.000;6.000
25.07.17;4:11:04 PM;6.30;95.550;30.940;34270.000;6.000
25.07.17;4:11:19 PM;6.55;95.810;30.910;34262.000;6.000
25.07.17;4:11:34 PM;6.80;95.400;30.960;34279.000;6.000
25.07.17;4:11:49 PM;7.05;96.160;30.870;34297.000;6.000
25.07.17;4:12:04 PM;7.30;96.110;30.870;34257.000;6.000
25.07.17;4:12:19 PM;7.55;95.950;30.890;34232.000;6.000
25.07.17;4:12:34 PM;7.80;95.830;30.910;34225.000;6.000
25.07.17;4:12:49 PM;8.05;96.070;30.880;34257.000;6.000
25.07.17;4:13:04 PM;8.30;95.910;30.900;34281.000;6.000
25.07.17;4:13:19 PM;8.55;95.330;30.970;34267.000;6.000
25.07.17;4:13:34 PM;8.80;95.810;30.910;34276.000;6.000
25.07.17;4:13:49 PM;9.05;95.500;30.940;34241.000;6.000
25.07.17;4:14:04 PM;9.30;95.360;30.960;34244.000;6.000
25.07.17;4:14:19 PM;9.55;96.200;30.860;34265.000;6.000
25.07.17;4:14:34 PM;9.80;95.910;30.900;34231.000;6.000
25.07.17;4:14:49 PM;10.05;95.700;30.920;34273.000;6.000
25.07.17;4:15:04 PM;10.30;95.510;30.940;34221.000;6.000
25.07.17;4:15:19 PM;10.55;95.510;30.940;34255.000;6.000
25.07.17;4:15:34 PM;10.80;95.760;30.910;34247.000;6.000
25.07.17;4:15:49 PM;11.05;95.860;30.900;34242.000;6.000
25.07.17;4:16:04 PM;11.30;96.300;30.850;34230.000;6.000
25.07.17;4:16:19 PM;11.55;95.640;30.930;34254.000;6.000
25.07.17;4:16:34 PM;11.80;95.690;30.920;34247.000;6.000
25.07.17;4:16:49 PM;12.05;95.960;30.890;34209.000;6.000
25.07.17;4:17:04 PM;12.30;95.980;30.890;34240.000;6.000
25.07.17;4:17:19 PM;12.55;95.650;30.930;34222.000;6.000
25.07.17;4:17:34 PM;12.80;95.730;30.920;34221.000;6.000
25.07.17;4:17:49 PM;13.05;95.990;30.890;34246.000;6.000
25.07.17;4:18:04 PM;13.30;95.910;30.900;34276.000;6.000
25.07.17;4:18:19 PM;13.55;95.910;30.900;34187.000;6.000
25.07.17;4:18:34 PM;13.80;95.500;30.950;34247.000;6.000
25.07.17;4:18:49 PM;14.05;96.230;30.860;34246.000;6.000
25.07.17;4:19:04 PM;14.30;95.510;30.940;34285.000;6.000
25.07.17;4:19:19 PM;14.55;95.600;30.930;34218.000;6.000
25.07.17;4:19:34 PM;14.80;96.270;30.850;34209.000;6.000
25.07.17;4:19:49 PM;15.05;95.910;30.900;34244.000;6.000
25.07.17;4:20:04 PM;15.30;95.850;30.900;34256.000;6.000
25.07.17;4:20:19 PM;15.55;95.530;30.940;34232.000;6.000
25.07.17;4:20:34 PM;15.80;96.340;30.850;34204.000;6.000
25.07.17;4:20:49 PM;16.05;95.860;30.900;34254.000;6.000
25.07.17;4:21:04 PM;16.30;95.680;30.920;34253.000;6.000
25.07.17;4:21:19 PM;16.55;95.820;30.910;34227.000;6.000
25.07.17;4:21:34 PM;16.80;95.400;30.960;34255.000;6.000
25.07.17;4:21:49 PM;17.05;95.600;30.930;34250.000;6.000
25.07.17;4:22:04 PM;17.30;96.040;30.880;34275.000;6.000
25.07.17;4:22:19 PM;17.55;95.440;30.950;34280.000;6.000
25.07.17;4:22:34 PM;17.80;95.500;30.940;34247.000;6.000
25.07.17;4:22:49 PM;18.05;96.230;30.860;34293.000;6.000
25.07.17;4:23:04 PM;18.30;95.590;30.930;34281.000;6.000
25.07.17;4:23:19 PM;18.55;95.900;30.900;34257.000;6.000
25.07.17;4:23:34 PM;18.80;95.540;30.940;34279.000;6.000
25.07.17;4:23:49 PM;19.05;95.280;30.970;34241.000;6.000
25.07.17;4:24:04 PM;19.30;95.650;30.930;34291.000;6.000
