25.07.17/3:29 PM SW ver:OXY10v3_33
Header Ch-10
Description: TBF1-6
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 101773
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
25.07.17;3:29:15 PM;0.00;95.000;31.010;47468.000;6.000
25.07.17;3:29:23 PM;0.14;95.050;31.000;47477.000;6.000
25.07.17;3:29:38 PM;0.39;94.840;31.020;47447.000;6.000
25.07.17;3:29:53 PM;0.64;95.130;30.990;47464.000;6.000
25.07.17;3:30:08 PM;0.89;94.720;31.040;47462.000;6.000
25.07.17;3:30:23 PM;1.15;95.000;31.010;47459.000;6.000
25.07.17;3:30:38 PM;1.39;94.960;31.010;47459.000;6.000
25.07.17;3:30:53 PM;1.65;95.080;31.000;47491.000;6.000
25.07.17;3:31:08 PM;1.89;95.280;30.970;47467.000;6.000
25.07.17;3:31:23 PM;2.14;95.140;30.990;47428.000;6.000
25.07.17;3:31:38 PM;2.39;95.190;30.980;47440.000;6.000
25.07.17;3:31:53 PM;2.64;94.950;31.010;47458.000;6.000
25.07.17;3:32:08 PM;2.89;95.000;31.000;47456.000;6.000
25.07.17;3:32:23 PM;3.15;95.190;30.980;47451.000;6.000
25.07.17;3:32:38 PM;3.39;95.440;30.950;47444.000;6.000
25.07.17;3:32:53 PM;3.65;95.240;30.980;47431.000;6.000
25.07.17;3:33:08 PM;3.90;95.360;30.960;47452.000;6.000
25.07.17;3:33:23 PM;4.15;95.070;31.000;47484.000;6.000
25.07.17;3:33:38 PM;4.40;95.220;30.980;47483.000;6.000
25.07.17;3:33:53 PM;4.64;95.060;31.000;47420.000;6.000
25.07.17;3:34:08 PM;4.89;95.180;30.980;47450.000;6.000
25.07.17;3:34:23 PM;5.15;95.050;31.000;47456.000;6.000
25.07.17;3:34:38 PM;5.40;95.390;30.960;47421.000;6.000
25.07.17;3:34:53 PM;5.64;95.420;30.950;47435.000;6.000
25.07.17;3:35:08 PM;5.90;95.360;30.960;47447.000;6.000
25.07.17;3:35:23 PM;6.14;95.070;31.000;47425.000;6.000
25.07.17;3:35:38 PM;6.39;95.290;30.970;47436.000;6.000
25.07.17;3:35:53 PM;6.65;94.970;31.010;47439.000;6.000
25.07.17;3:36:08 PM;6.90;95.500;30.950;47394.000;6.000
25.07.17;3:36:23 PM;7.15;95.050;31.000;47414.000;6.000
25.07.17;3:36:38 PM;7.40;95.460;30.950;47427.000;6.000
25.07.17;3:36:53 PM;7.65;95.450;30.950;47426.000;6.000
25.07.17;3:37:08 PM;7.90;95.300;30.970;47438.000;6.000
25.07.17;3:37:23 PM;8.15;95.190;30.980;47428.000;6.000
25.07.17;3:37:38 PM;8.40;95.480;30.950;47444.000;6.000
25.07.17;3:37:53 PM;8.64;95.320;30.970;47402.000;6.000
25.07.17;3:38:08 PM;8.90;95.080;31.000;47442.000;6.000
25.07.17;3:38:23 PM;9.15;95.450;30.950;47428.000;6.000
25.07.17;3:38:38 PM;9.40;95.370;30.960;47420.000;6.000
25.07.17;3:38:53 PM;9.64;95.210;30.980;47406.000;6.000
25.07.17;3:39:08 PM;9.90;95.490;30.950;47411.000;6.000
25.07.17;3:39:23 PM;10.14;95.340;30.960;47402.000;6.000
25.07.17;3:39:38 PM;10.39;95.060;31.000;47423.000;6.000
25.07.17;3:39:53 PM;10.65;95.400;30.960;47407.000;6.000
25.07.17;3:40:08 PM;10.90;95.120;30.990;47426.000;6.000
25.07.17;3:40:23 PM;11.15;95.500;30.950;47415.000;6.000
25.07.17;3:40:38 PM;11.39;95.430;30.950;47423.000;6.000
25.07.17;3:40:53 PM;11.65;95.000;31.000;47420.000;6.000
25.07.17;3:41:08 PM;11.90;95.560;30.940;47395.000;6.000
