25.07.17/3:29 PM SW ver:OXY10v3_33
Header Ch-9
Description: WWK3-6
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 102941
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
25.07.17;3:29:13 PM;0.00;95.190;30.980;36972.000;6.000
25.07.17;3:29:21 PM;0.13;95.470;30.950;36939.000;6.000
25.07.17;3:29:36 PM;0.38;95.430;30.950;36993.000;6.000
25.07.17;3:29:51 PM;0.63;95.460;30.950;36959.000;6.000
25.07.17;3:30:06 PM;0.88;95.720;30.920;36969.000;6.000
25.07.17;3:30:21 PM;1.13;95.750;30.910;36976.000;6.000
25.07.17;3:30:36 PM;1.38;95.310;30.970;36994.000;6.000
25.07.17;3:30:51 PM;1.63;95.360;30.960;36969.000;6.000
25.07.17;3:31:06 PM;1.88;95.240;30.980;36962.000;6.000
25.07.17;3:31:21 PM;2.13;95.170;30.980;36936.000;6.000
25.07.17;3:31:36 PM;2.38;95.060;31.000;36965.000;6.000
25.07.17;3:31:51 PM;2.63;95.100;30.990;36929.000;6.000
25.07.17;3:32:06 PM;2.88;95.390;30.960;36943.000;6.000
25.07.17;3:32:21 PM;3.13;95.270;30.970;36938.000;6.000
25.07.17;3:32:36 PM;3.38;95.450;30.950;36955.000;6.000
25.07.17;3:32:51 PM;3.63;95.200;30.980;36965.000;6.000
25.07.17;3:33:06 PM;3.88;95.210;30.980;36960.000;6.000
25.07.17;3:33:21 PM;4.13;95.540;30.940;36940.000;6.000
25.07.17;3:33:36 PM;4.38;95.750;30.920;36953.000;6.000
25.07.17;3:33:51 PM;4.63;95.600;30.930;36937.000;6.000
25.07.17;3:34:06 PM;4.88;95.600;30.930;36930.000;6.000
25.07.17;3:34:21 PM;5.13;95.350;30.960;36939.000;6.000
25.07.17;3:34:36 PM;5.38;95.140;30.990;36943.000;6.000
25.07.17;3:34:51 PM;5.63;95.090;30.990;36924.000;6.000
25.07.17;3:35:06 PM;5.88;95.450;30.950;36928.000;6.000
25.07.17;3:35:21 PM;6.13;95.300;30.970;36950.000;6.000
25.07.17;3:35:36 PM;6.38;95.580;30.940;36954.000;6.000
25.07.17;3:35:51 PM;6.63;95.240;30.980;36956.000;6.000
25.07.17;3:36:06 PM;6.88;95.680;30.920;36956.000;6.000
25.07.17;3:36:21 PM;7.13;95.660;30.930;36972.000;6.000
25.07.17;3:36:36 PM;7.38;95.430;30.950;36941.000;6.000
25.07.17;3:36:51 PM;7.63;95.120;30.990;36969.000;6.000
25.07.17;3:37:06 PM;7.88;95.080;31.000;36975.000;6.000
25.07.17;3:37:21 PM;8.13;95.120;30.990;36951.000;6.000
25.07.17;3:37:36 PM;8.38;95.500;30.950;36936.000;6.000
25.07.17;3:37:51 PM;8.63;95.140;30.990;36972.000;6.000
25.07.17;3:38:06 PM;8.88;95.480;30.950;36958.000;6.000
25.07.17;3:38:21 PM;9.13;95.600;30.930;36934.000;6.000
25.07.17;3:38:36 PM;9.38;95.320;30.970;36962.000;6.000
25.07.17;3:38:51 PM;9.63;95.580;30.940;36934.000;6.000
25.07.17;3:39:06 PM;9.88;95.320;30.970;36940.000;6.000
25.07.17;3:39:21 PM;10.13;95.650;30.930;36934.000;6.000
25.07.17;3:39:36 PM;10.38;95.260;30.970;36943.000;6.000
25.07.17;3:39:51 PM;10.63;95.400;30.960;36933.000;6.000
25.07.17;3:40:06 PM;10.88;95.430;30.950;36943.000;6.000
25.07.17;3:40:21 PM;11.13;95.340;30.960;36949.000;6.000
25.07.17;3:40:36 PM;11.38;95.410;30.960;36962.000;6.000
25.07.17;3:40:51 PM;11.63;95.110;30.990;36953.000;6.000
25.07.17;3:41:06 PM;11.88;95.470;30.950;36952.000;6.000
25.07.17;3:41:21 PM;12.13;95.670;30.920;36940.000;6.000
25.07.17;3:41:36 PM;12.38;95.620;30.930;36936.000;6.000
25.07.17;3:41:51 PM;12.63;95.560;30.940;36930.000;6.000
25.07.17;3:42:06 PM;12.88;95.540;30.940;36965.000;6.000
25.07.17;3:42:21 PM;13.13;95.670;30.920;36944.000;6.000
25.07.17;3:42:36 PM;13.38;95.310;30.970;36965.000;6.000
25.07.17;3:42:51 PM;13.63;95.550;30.940;36956.000;6.000
25.07.17;3:43:06 PM;13.88;95.380;30.960;36955.000;6.000
25.07.17;3:43:21 PM;14.13;95.760;30.910;36944.000;6.000
25.07.17;3:43:36 PM;14.38;95.640;30.930;36922.000;6.000
25.07.17;3:43:51 PM;14.63;95.200;30.980;36930.000;6.000
25.07.17;3:44:06 PM;14.88;95.300;30.970;36915.000;6.000
25.07.17;3:44:21 PM;15.13;95.470;30.950;36955.000;6.000
25.07.17;3:44:36 PM;15.38;95.510;30.940;36963.000;6.000
25.07.17;3:44:51 PM;15.63;95.250;30.970;36936.000;6.000
25.07.17;3:45:06 PM;15.88;95.510;30.940;36944.000;6.000
25.07.17;3:45:21 PM;16.13;95.600;30.930;36949.000;6.000
25.07.17;3:45:36 PM;16.38;95.300;30.970;36938.000;6.000
25.07.17;3:45:51 PM;16.63;95.370;30.960;36924.000;6.000
25.07.17;3:46:06 PM;16.88;95.630;30.930;36932.000;6.000
25.07.17;3:46:21 PM;17.13;95.280;30.970;36952.000;6.000
25.07.17;3:46:36 PM;17.38;95.460;30.950;36957.000;6.000
25.07.17;3:46:51 PM;17.63;95.440;30.950;36950.000;6.000
25.07.17;3:47:06 PM;17.88;95.410;30.960;36942.000;6.000
25.07.17;3:47:21 PM;18.13;95.560;30.940;36950.000;6.000
25.07.17;3:47:36 PM;18.38;95.170;30.980;36908.000;6.000
25.07.17;3:47:51 PM;18.63;95.610;30.930;36946.000;6.000
25.07.17;3:48:06 PM;18.88;95.150;30.990;36950.000;6.000
25.07.17;3:48:21 PM;19.13;95.230;30.980;36924.000;6.000
25.07.17;3:48:36 PM;19.38;95.650;30.930;36954.000;6.000
25.07.17;3:48:51 PM;19.63;95.530;30.940;36943.000;6.000
25.07.17;3:49:06 PM;19.88;95.400;30.960;36931.000;6.000
25.07.17;3:49:21 PM;20.13;95.360;30.960;36930.000;6.000
25.07.17;3:49:36 PM;20.38;95.330;30.970;36932.000;6.000
