26.07.17/12:44 PM SW ver:OXY10v3_33
Header Ch-4
Description: TWH4-12
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 99808
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
26.07.17;12:44:28 PM;0.00;95.160;29.740;39390.000;12.000
26.07.17;12:44:37 PM;0.15;95.090;29.750;39372.000;12.000
26.07.17;12:44:52 PM;0.40;95.310;29.730;39343.000;12.000
26.07.17;12:45:07 PM;0.65;95.030;29.760;39363.000;12.000
26.07.17;12:45:22 PM;0.90;95.150;29.750;39325.000;12.000
26.07.17;12:45:37 PM;1.15;95.280;29.730;39392.000;12.000
26.07.17;12:45:52 PM;1.40;95.330;29.720;39400.000;12.000
26.07.17;12:46:07 PM;1.65;95.370;29.720;39393.000;12.000
26.07.17;12:46:22 PM;1.90;94.980;29.770;39360.000;12.000
26.07.17;12:46:37 PM;2.15;95.400;29.720;39380.000;12.000
26.07.17;12:46:52 PM;2.40;95.290;29.730;39373.000;12.000
26.07.17;12:47:07 PM;2.65;94.740;29.790;39395.000;12.000
26.07.17;12:47:22 PM;2.90;95.250;29.730;39367.000;12.000
26.07.17;12:47:37 PM;3.15;94.720;29.800;39408.000;12.000
26.07.17;12:47:52 PM;3.40;94.670;29.800;39395.000;12.000
26.07.17;12:48:07 PM;3.65;94.960;29.770;39393.000;12.000
26.07.17;12:48:22 PM;3.90;95.480;29.710;39394.000;12.000
26.07.17;12:48:37 PM;4.15;94.300;29.850;39410.000;12.000
26.07.17;12:48:52 PM;4.40;95.130;29.750;39380.000;12.000
26.07.17;12:49:07 PM;4.65;95.170;29.740;39389.000;12.000
26.07.17;12:49:22 PM;4.90;95.740;29.680;39391.000;12.000
26.07.17;12:49:37 PM;5.15;94.840;29.780;39420.000;12.000
26.07.17;12:49:52 PM;5.40;94.310;29.850;39412.000;12.000
26.07.17;12:50:07 PM;5.65;95.010;29.760;39427.000;12.000
26.07.17;12:50:22 PM;5.90;95.030;29.760;39462.000;12.000
26.07.17;12:50:37 PM;6.15;94.710;29.800;39406.000;12.000
26.07.17;12:50:52 PM;6.40;94.770;29.790;39421.000;12.000
26.07.17;12:51:07 PM;6.65;94.920;29.770;39414.000;12.000
26.07.17;12:51:22 PM;6.90;94.500;29.820;39425.000;12.000
26.07.17;12:51:37 PM;7.15;95.160;29.740;39421.000;12.000
26.07.17;12:51:52 PM;7.40;95.230;29.740;39427.000;12.000
26.07.17;12:52:07 PM;7.65;94.780;29.790;39455.000;12.000
26.07.17;12:52:22 PM;7.90;94.660;29.800;39422.000;12.000
26.07.17;12:52:37 PM;8.15;95.320;29.730;39383.000;12.000
26.07.17;12:52:52 PM;8.40;95.030;29.760;39471.000;12.000
26.07.17;12:53:07 PM;8.65;94.890;29.780;39421.000;12.000
26.07.17;12:53:22 PM;8.90;94.630;29.810;39398.000;12.000
26.07.17;12:53:37 PM;9.15;94.330;29.840;39399.000;12.000
26.07.17;12:53:52 PM;9.40;95.010;29.760;39389.000;12.000
26.07.17;12:54:07 PM;9.65;94.910;29.770;39413.000;12.000
26.07.17;12:54:22 PM;9.90;95.020;29.760;39456.000;12.000
26.07.17;12:54:37 PM;10.15;95.440;29.710;39408.000;12.000
26.07.17;12:54:52 PM;10.40;95.150;29.750;39453.000;12.000
26.07.17;12:55:07 PM;10.65;95.510;29.700;39440.000;12.000
26.07.17;12:55:22 PM;10.90;95.150;29.750;39416.000;12.000
26.07.17;12:55:37 PM;11.15;94.720;29.800;39428.000;12.000
26.07.17;12:55:52 PM;11.40;95.040;29.760;39423.000;12.000
26.07.17;12:56:07 PM;11.65;95.650;29.690;39410.000;12.000
26.07.17;12:56:22 PM;11.90;94.660;29.800;39459.000;12.000
26.07.17;12:56:37 PM;12.15;95.360;29.720;39419.000;12.000
26.07.17;12:56:52 PM;12.40;94.830;29.780;39471.000;12.000
26.07.17;12:57:07 PM;12.65;94.880;29.780;39419.000;12.000
26.07.17;12:57:22 PM;12.90;94.710;29.800;39422.000;12.000
26.07.17;12:57:37 PM;13.15;94.830;29.780;39420.000;12.000
26.07.17;12:57:52 PM;13.40;94.860;29.780;39489.000;12.000
26.07.17;12:58:07 PM;13.65;94.990;29.760;39432.000;12.000
26.07.17;12:58:22 PM;13.90;94.960;29.770;39401.000;12.000
26.07.17;12:58:37 PM;14.15;94.670;29.800;39470.000;12.000
26.07.17;12:58:52 PM;14.40;95.060;29.760;39405.000;12.000
26.07.17;12:59:07 PM;14.65;94.980;29.770;39464.000;12.000
26.07.17;12:59:22 PM;14.90;94.780;29.790;39438.000;12.000
26.07.17;12:59:37 PM;15.15;94.440;29.830;39404.000;12.000
26.07.17;12:59:52 PM;15.40;94.860;29.780;39445.000;12.000
26.07.17;1:00:07 PM;15.65;94.860;29.780;39476.000;12.000
26.07.17;1:00:22 PM;15.90;94.750;29.790;39420.000;12.000
26.07.17;1:00:37 PM;16.15;94.890;29.780;39497.000;12.000
26.07.17;1:00:52 PM;16.40;94.550;29.820;39451.000;12.000
26.07.17;1:01:07 PM;16.65;95.100;29.750;39458.000;12.000
26.07.17;1:01:22 PM;16.90;94.890;29.780;39475.000;12.000
26.07.17;1:01:37 PM;17.15;94.510;29.820;39484.000;12.000
26.07.17;1:01:52 PM;17.40;94.390;29.840;39483.000;12.000
26.07.17;1:02:07 PM;17.65;95.110;29.750;39533.000;12.000
26.07.17;1:02:22 PM;17.90;94.440;29.830;39481.000;12.000
26.07.17;1:02:37 PM;18.15;94.530;29.820;39502.000;12.000
26.07.17;1:02:52 PM;18.40;95.000;29.760;39464.000;12.000
26.07.17;1:03:07 PM;18.65;94.910;29.770;39459.000;12.000
26.07.17;1:03:22 PM;18.90;94.840;29.780;39456.000;12.000
26.07.17;1:03:37 PM;19.15;94.510;29.820;39452.000;12.000
26.07.17;1:03:52 PM;19.40;95.220;29.740;39519.000;12.000
26.07.17;1:04:07 PM;19.65;94.340;29.840;39483.000;12.000
