26.07.17/12:44 PM SW ver:OXY10v3_33
Header Ch-6
Description: WBJ2-12
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 102012
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
26.07.17;12:44:29 PM;0.00;97.140;29.520;39025.000;12.000
26.07.17;12:44:41 PM;0.20;97.910;29.430;39011.000;12.000
26.07.17;12:44:56 PM;0.45;97.630;29.460;39094.000;12.000
26.07.17;12:45:11 PM;0.70;97.680;29.450;39010.000;12.000
26.07.17;12:45:26 PM;0.95;97.270;29.500;39012.000;12.000
26.07.17;12:45:41 PM;1.20;96.550;29.580;39044.000;12.000
26.07.17;12:45:56 PM;1.45;97.070;29.520;39048.000;12.000
26.07.17;12:46:11 PM;1.70;97.790;29.440;39056.000;12.000
26.07.17;12:46:26 PM;1.95;96.940;29.540;38984.000;12.000
26.07.17;12:46:41 PM;2.20;97.470;29.480;38972.000;12.000
26.07.17;12:46:56 PM;2.45;97.140;29.520;39037.000;12.000
26.07.17;12:47:11 PM;2.70;97.910;29.430;39045.000;12.000
26.07.17;12:47:26 PM;2.95;97.470;29.480;39015.000;12.000
26.07.17;12:47:41 PM;3.20;97.640;29.460;39047.000;12.000
26.07.17;12:47:56 PM;3.45;97.130;29.520;39057.000;12.000
26.07.17;12:48:11 PM;3.70;97.710;29.450;39050.000;12.000
26.07.17;12:48:26 PM;3.95;97.650;29.460;39047.000;12.000
26.07.17;12:48:41 PM;4.20;98.090;29.410;39037.000;12.000
26.07.17;12:48:56 PM;4.45;97.720;29.450;39064.000;12.000
26.07.17;12:49:11 PM;4.70;97.680;29.450;39048.000;12.000
26.07.17;12:49:26 PM;4.95;97.120;29.520;39011.000;12.000
26.07.17;12:49:41 PM;5.20;96.190;29.620;38998.000;12.000
26.07.17;12:49:56 PM;5.45;97.350;29.490;39060.000;12.000
26.07.17;12:50:11 PM;5.70;97.250;29.500;39007.000;12.000
26.07.17;12:50:26 PM;5.95;97.110;29.520;39134.000;12.000
26.07.17;12:50:41 PM;6.20;97.560;29.470;39033.000;12.000
26.07.17;12:50:56 PM;6.45;97.240;29.500;39057.000;12.000
26.07.17;12:51:11 PM;6.70;97.770;29.440;39033.000;12.000
26.07.17;12:51:26 PM;6.95;96.900;29.540;39011.000;12.000
26.07.17;12:51:41 PM;7.20;96.740;29.560;39032.000;12.000
26.07.17;12:51:56 PM;7.45;97.500;29.470;39082.000;12.000
