26.07.17/12:09 PM SW ver:OXY10v3_33
Header Ch-5
Description: WBB1-12
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 104541
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
26.07.17;12:09:09 PM;0.00;95.380;29.720;48632.000;12.000
26.07.17;12:09:24 PM;0.25;95.090;29.750;48568.000;12.000
26.07.17;12:09:39 PM;0.50;95.090;29.750;48579.000;12.000
26.07.17;12:09:54 PM;0.75;95.200;29.740;48569.000;12.000
26.07.17;12:10:09 PM;1.00;95.220;29.740;48588.000;12.000
26.07.17;12:10:24 PM;1.25;95.210;29.740;48589.000;12.000
26.07.17;12:10:39 PM;1.50;95.190;29.740;48566.000;12.000
26.07.17;12:10:54 PM;1.75;95.460;29.710;48590.000;12.000
26.07.17;12:11:09 PM;2.00;95.190;29.740;48563.000;12.000
26.07.17;12:11:24 PM;2.25;95.060;29.760;48536.000;12.000
26.07.17;12:11:39 PM;2.50;95.260;29.730;48546.000;12.000
26.07.17;12:11:54 PM;2.75;95.410;29.720;48547.000;12.000
26.07.17;12:12:09 PM;3.00;95.350;29.720;48565.000;12.000
26.07.17;12:12:24 PM;3.25;95.270;29.730;48530.000;12.000
26.07.17;12:12:39 PM;3.50;95.190;29.740;48545.000;12.000
26.07.17;12:12:54 PM;3.75;95.180;29.740;48534.000;12.000
26.07.17;12:13:09 PM;4.00;94.870;29.780;48516.000;12.000
26.07.17;12:13:24 PM;4.25;95.330;29.720;48505.000;12.000
26.07.17;12:13:39 PM;4.50;95.440;29.710;48504.000;12.000
26.07.17;12:13:54 PM;4.75;95.360;29.720;48511.000;12.000
26.07.17;12:14:09 PM;5.00;95.000;29.760;48527.000;12.000
26.07.17;12:14:24 PM;5.25;95.010;29.760;48499.000;12.000
26.07.17;12:14:39 PM;5.50;94.810;29.790;48476.000;12.000
26.07.17;12:14:54 PM;5.75;95.180;29.740;48489.000;12.000
26.07.17;12:15:09 PM;6.00;95.480;29.710;48489.000;12.000
26.07.17;12:15:24 PM;6.25;95.090;29.750;48455.000;12.000
26.07.17;12:15:39 PM;6.50;94.940;29.770;48448.000;12.000
26.07.17;12:15:54 PM;6.75;95.220;29.740;48466.000;12.000
26.07.17;12:16:09 PM;7.00;94.760;29.790;48464.000;12.000
26.07.17;12:16:24 PM;7.25;94.910;29.770;48435.000;12.000
26.07.17;12:16:39 PM;7.50;95.100;29.750;48442.000;12.000
26.07.17;12:16:54 PM;7.75;95.260;29.730;48426.000;12.000
26.07.17;12:17:09 PM;8.00;94.840;29.780;48422.000;12.000
26.07.17;12:17:24 PM;8.25;94.770;29.790;48418.000;12.000
26.07.17;12:17:39 PM;8.50;94.770;29.790;48413.000;12.000
26.07.17;12:17:54 PM;8.75;94.990;29.760;48424.000;12.000
26.07.17;12:18:09 PM;9.00;95.030;29.760;48416.000;12.000
26.07.17;12:18:24 PM;9.25;95.040;29.760;48447.000;12.000
26.07.17;12:18:39 PM;9.50;95.150;29.750;48388.000;12.000
26.07.17;12:18:54 PM;9.75;95.090;29.750;48438.000;12.000
26.07.17;12:19:09 PM;10.00;95.060;29.760;48444.000;12.000
26.07.17;12:19:24 PM;10.25;95.160;29.740;48413.000;12.000
26.07.17;12:19:39 PM;10.50;94.800;29.790;48397.000;12.000
26.07.17;12:19:54 PM;10.75;94.960;29.770;48431.000;12.000
26.07.17;12:20:09 PM;11.00;95.090;29.750;48387.000;12.000
26.07.17;12:20:24 PM;11.25;94.820;29.780;48388.000;12.000
26.07.17;12:20:39 PM;11.50;95.120;29.750;48389.000;12.000
26.07.17;12:20:54 PM;11.75;95.100;29.750;48384.000;12.000
26.07.17;12:21:09 PM;12.00;94.940;29.770;48394.000;12.000
26.07.17;12:21:24 PM;12.25;95.130;29.750;48377.000;12.000
26.07.17;12:21:39 PM;12.50;94.860;29.780;48393.000;12.000
26.07.17;12:21:54 PM;12.75;94.930;29.770;48364.000;12.000
26.07.17;12:22:09 PM;13.00;94.790;29.790;48426.000;12.000
26.07.17;12:22:24 PM;13.25;95.110;29.750;48372.000;12.000
26.07.17;12:22:39 PM;13.50;95.030;29.760;48361.000;12.000
26.07.17;12:22:54 PM;13.75;95.000;29.760;48375.000;12.000
26.07.17;12:23:09 PM;14.00;94.560;29.820;48367.000;12.000
26.07.17;12:23:24 PM;14.25;94.760;29.790;48353.000;12.000
26.07.17;12:23:39 PM;14.50;94.860;29.780;48344.000;12.000
26.07.17;12:23:54 PM;14.75;94.340;29.840;48343.000;12.000
26.07.17;12:24:09 PM;15.00;95.120;29.750;48368.000;12.000
26.07.17;12:24:24 PM;15.25;95.040;29.760;48353.000;12.000
26.07.17;12:24:39 PM;15.50;94.910;29.770;48305.000;12.000
26.07.17;12:24:54 PM;15.75;94.800;29.790;48325.000;12.000
26.07.17;12:25:09 PM;16.00;95.080;29.750;48352.000;12.000
26.07.17;12:25:24 PM;16.25;94.640;29.810;48352.000;12.000
26.07.17;12:25:39 PM;16.50;94.740;29.790;48311.000;12.000
26.07.17;12:25:54 PM;16.75;94.660;29.800;48316.000;12.000
26.07.17;12:26:09 PM;17.00;94.900;29.780;48341.000;12.000
26.07.17;12:26:24 PM;17.25;94.800;29.790;48342.000;12.000
26.07.17;12:26:39 PM;17.50;94.680;29.800;48320.000;12.000
26.07.17;12:26:54 PM;17.75;94.490;29.820;48334.000;12.000
26.07.17;12:27:09 PM;18.00;94.550;29.820;48317.000;12.000
26.07.17;12:27:24 PM;18.25;94.550;29.820;48324.000;12.000
26.07.17;12:27:39 PM;18.50;94.820;29.780;48329.000;12.000
