26.07.17/11:03 AM SW ver:OXY10v3_33
Header Ch-4
Description: TWH4-15
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 99808
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
26.07.17;11:03:10 AM;0.00;95.380;29.130;38484.000;15.000
26.07.17;11:03:21 AM;0.18;95.150;29.150;38522.000;15.000
26.07.17;11:03:36 AM;0.43;95.410;29.120;38528.000;15.000
26.07.17;11:03:51 AM;0.68;95.250;29.140;38507.000;15.000
26.07.17;11:04:06 AM;0.93;95.190;29.150;38515.000;15.000
26.07.17;11:04:21 AM;1.18;95.470;29.120;38558.000;15.000
26.07.17;11:04:36 AM;1.43;95.210;29.150;38514.000;15.000
26.07.17;11:04:51 AM;1.68;95.320;29.140;38541.000;15.000
26.07.17;11:05:06 AM;1.93;94.480;29.230;38512.000;15.000
26.07.17;11:05:21 AM;2.18;95.210;29.150;38516.000;15.000
26.07.17;11:05:36 AM;2.43;95.280;29.140;38517.000;15.000
26.07.17;11:05:51 AM;2.68;95.210;29.150;38481.000;15.000
26.07.17;11:06:06 AM;2.93;95.520;29.110;38523.000;15.000
26.07.17;11:06:21 AM;3.18;95.300;29.140;38514.000;15.000
26.07.17;11:06:36 AM;3.43;95.040;29.170;38525.000;15.000
26.07.17;11:06:51 AM;3.68;95.140;29.160;38492.000;15.000
26.07.17;11:07:06 AM;3.93;95.400;29.130;38508.000;15.000
26.07.17;11:07:21 AM;4.18;95.430;29.120;38520.000;15.000
26.07.17;11:07:36 AM;4.43;95.360;29.130;38539.000;15.000
26.07.17;11:07:51 AM;4.68;95.310;29.140;38547.000;15.000
26.07.17;11:08:06 AM;4.93;95.580;29.110;38512.000;15.000
26.07.17;11:08:21 AM;5.18;95.410;29.120;38512.000;15.000
26.07.17;11:08:36 AM;5.43;95.210;29.150;38483.000;15.000
26.07.17;11:08:51 AM;5.68;95.080;29.160;38519.000;15.000
26.07.17;11:09:06 AM;5.93;95.500;29.110;38558.000;15.000
26.07.17;11:09:21 AM;6.18;95.230;29.150;38539.000;15.000
26.07.17;11:09:36 AM;6.43;95.210;29.150;38522.000;15.000
26.07.17;11:09:51 AM;6.68;95.230;29.150;38559.000;15.000
26.07.17;11:10:06 AM;6.93;95.130;29.160;38555.000;15.000
26.07.17;11:10:21 AM;7.18;95.260;29.140;38557.000;15.000
26.07.17;11:10:36 AM;7.43;94.820;29.190;38549.000;15.000
26.07.17;11:10:51 AM;7.68;95.210;29.150;38552.000;15.000
26.07.17;11:11:06 AM;7.93;95.440;29.120;38535.000;15.000
26.07.17;11:11:21 AM;8.18;94.730;29.200;38562.000;15.000
26.07.17;11:11:36 AM;8.43;94.380;29.240;38559.000;15.000
26.07.17;11:11:51 AM;8.68;95.000;29.170;38556.000;15.000
26.07.17;11:12:06 AM;8.93;95.020;29.170;38505.000;15.000
26.07.17;11:12:21 AM;9.18;95.270;29.140;38542.000;15.000
26.07.17;11:12:36 AM;9.43;95.100;29.160;38538.000;15.000
26.07.17;11:12:51 AM;9.68;94.960;29.180;38558.000;15.000
26.07.17;11:13:06 AM;9.93;95.140;29.160;38540.000;15.000
26.07.17;11:13:21 AM;10.18;94.840;29.190;38550.000;15.000
26.07.17;11:13:36 AM;10.43;95.320;29.140;38549.000;15.000
26.07.17;11:13:51 AM;10.68;94.850;29.190;38566.000;15.000
26.07.17;11:14:06 AM;10.93;94.440;29.240;38571.000;15.000
26.07.17;11:14:21 AM;11.18;94.900;29.180;38598.000;15.000
26.07.17;11:14:36 AM;11.43;94.740;29.200;38562.000;15.000
26.07.17;11:14:51 AM;11.68;94.910;29.180;38616.000;15.000
26.07.17;11:15:06 AM;11.93;94.980;29.170;38587.000;15.000
26.07.17;11:15:21 AM;12.18;95.270;29.140;38586.000;15.000
26.07.17;11:15:36 AM;12.43;95.370;29.130;38581.000;15.000
26.07.17;11:15:51 AM;12.68;94.740;29.200;38600.000;15.000
26.07.17;11:16:06 AM;12.93;94.730;29.200;38594.000;15.000
26.07.17;11:16:21 AM;13.18;94.920;29.180;38570.000;15.000
26.07.17;11:16:36 AM;13.43;95.070;29.160;38574.000;15.000
26.07.17;11:16:51 AM;13.68;94.870;29.190;38556.000;15.000
26.07.17;11:17:06 AM;13.93;94.860;29.190;38574.000;15.000
26.07.17;11:17:21 AM;14.18;94.830;29.190;38566.000;15.000
26.07.17;11:17:36 AM;14.43;94.350;29.250;38544.000;15.000
26.07.17;11:17:51 AM;14.68;94.490;29.230;38574.000;15.000
