26.07.17/11:03 AM SW ver:OXY10v3_33
Header Ch-6
Description: WBJ2-15
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 102012
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
26.07.17;11:03:11 AM;0.00;97.200;28.920;38157.000;15.000
26.07.17;11:03:25 AM;0.23;97.860;28.850;38109.000;15.000
26.07.17;11:03:40 AM;0.48;97.180;28.920;38168.000;15.000
26.07.17;11:03:55 AM;0.73;97.570;28.880;38121.000;15.000
26.07.17;11:04:10 AM;0.98;97.270;28.910;38137.000;15.000
26.07.17;11:04:25 AM;1.23;97.580;28.880;38102.000;15.000
26.07.17;11:04:40 AM;1.48;97.700;28.860;38145.000;15.000
26.07.17;11:04:55 AM;1.73;97.400;28.900;38150.000;15.000
26.07.17;11:05:10 AM;1.98;97.210;28.920;38158.000;15.000
26.07.17;11:05:25 AM;2.23;98.630;28.760;38107.000;15.000
26.07.17;11:05:40 AM;2.48;96.820;28.960;38071.000;15.000
26.07.17;11:05:55 AM;2.73;97.510;28.890;38155.000;15.000
26.07.17;11:06:10 AM;2.98;97.520;28.880;38170.000;15.000
26.07.17;11:06:25 AM;3.23;97.110;28.930;38136.000;15.000
26.07.17;11:06:40 AM;3.48;98.090;28.820;38121.000;15.000
26.07.17;11:06:55 AM;3.73;97.450;28.890;38137.000;15.000
26.07.17;11:07:10 AM;3.98;98.120;28.820;38165.000;15.000
26.07.17;11:07:25 AM;4.23;96.990;28.940;38071.000;15.000
26.07.17;11:07:40 AM;4.48;98.080;28.820;38199.000;15.000
26.07.17;11:07:55 AM;4.73;97.320;28.910;38158.000;15.000
26.07.17;11:08:10 AM;4.98;97.380;28.900;38074.000;15.000
26.07.17;11:08:25 AM;5.23;98.250;28.800;38101.000;15.000
26.07.17;11:08:40 AM;5.48;97.320;28.910;38145.000;15.000
26.07.17;11:08:55 AM;5.73;97.450;28.890;38076.000;15.000
26.07.17;11:09:10 AM;5.98;98.080;28.820;38172.000;15.000
26.07.17;11:09:25 AM;6.23;98.210;28.810;38115.000;15.000
26.07.17;11:09:40 AM;6.48;97.120;28.930;38097.000;15.000
26.07.17;11:09:55 AM;6.73;97.670;28.870;38134.000;15.000
26.07.17;11:10:10 AM;6.98;96.780;28.970;38119.000;15.000
26.07.17;11:10:25 AM;7.23;97.170;28.920;38124.000;15.000
26.07.17;11:10:40 AM;7.48;97.670;28.870;38114.000;15.000
26.07.17;11:10:55 AM;7.73;98.260;28.800;38155.000;15.000
26.07.17;11:11:10 AM;7.98;97.430;28.890;38108.000;15.000
26.07.17;11:11:25 AM;8.23;97.750;28.860;38182.000;15.000
26.07.17;11:11:40 AM;8.48;97.270;28.910;38173.000;15.000
26.07.17;11:11:55 AM;8.73;96.900;28.950;38154.000;15.000
26.07.17;11:12:10 AM;8.98;96.920;28.950;38120.000;15.000
26.07.17;11:12:25 AM;9.23;97.860;28.850;38193.000;15.000
26.07.17;11:12:40 AM;9.48;97.600;28.870;38137.000;15.000
26.07.17;11:12:55 AM;9.73;97.220;28.920;38127.000;15.000
26.07.17;11:13:10 AM;9.98;97.090;28.930;38180.000;15.000
26.07.17;11:13:25 AM;10.23;97.890;28.840;38127.000;15.000
26.07.17;11:13:40 AM;10.48;96.420;29.010;38137.000;15.000
26.07.17;11:13:55 AM;10.73;97.260;28.910;38132.000;15.000
26.07.17;11:14:10 AM;10.98;96.870;28.960;38159.000;15.000
26.07.17;11:14:25 AM;11.23;97.340;28.900;38143.000;15.000
26.07.17;11:14:40 AM;11.48;96.690;28.980;38196.000;15.000
26.07.17;11:14:55 AM;11.73;97.240;28.920;38184.000;15.000
26.07.17;11:15:10 AM;11.98;97.780;28.850;38204.000;15.000
26.07.17;11:15:25 AM;12.23;97.470;28.890;38203.000;15.000
26.07.17;11:15:40 AM;12.48;97.610;28.870;38179.000;15.000
26.07.17;11:15:55 AM;12.73;97.620;28.870;38163.000;15.000
26.07.17;11:16:10 AM;12.98;96.990;28.940;38134.000;15.000
26.07.17;11:16:25 AM;13.23;97.920;28.840;38210.000;15.000
26.07.17;11:16:40 AM;13.48;97.640;28.870;38204.000;15.000
26.07.17;11:16:55 AM;13.73;97.400;28.900;38174.000;15.000
26.07.17;11:17:10 AM;13.98;97.140;28.930;38115.000;15.000
26.07.17;11:17:25 AM;14.23;97.690;28.860;38163.000;15.000
26.07.17;11:17:40 AM;14.48;98.250;28.800;38186.000;15.000
26.07.17;11:17:55 AM;14.73;97.190;28.920;38153.000;15.000
26.07.17;11:18:10 AM;14.98;97.790;28.850;38186.000;15.000
26.07.17;11:18:25 AM;15.23;96.570;28.990;38195.000;15.000
26.07.17;11:18:40 AM;15.48;97.430;28.890;38123.000;15.000
26.07.17;11:18:55 AM;15.73;97.570;28.880;38158.000;15.000
26.07.17;11:19:10 AM;15.98;97.200;28.920;38188.000;15.000
26.07.17;11:19:25 AM;16.23;96.960;28.950;38220.000;15.000
26.07.17;11:19:40 AM;16.48;97.510;28.880;38161.000;15.000
26.07.17;11:19:55 AM;16.73;96.500;29.000;38234.000;15.000
