26.07.17/10:25 AM SW ver:OXY10v3_33
Header Ch-10
Description: WWB2-15
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 101775
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
26.07.17;10:25:03 AM;0.00;96.700;28.980;43788.000;15.000
26.07.17;10:25:18 AM;0.25;96.720;28.970;43782.000;15.000
26.07.17;10:25:33 AM;0.50;96.540;29.000;43792.000;15.000
26.07.17;10:25:48 AM;0.75;96.570;28.990;43791.000;15.000
26.07.17;10:26:03 AM;1.00;96.860;28.960;43799.000;15.000
26.07.17;10:26:18 AM;1.25;96.560;28.990;43780.000;15.000
26.07.17;10:26:33 AM;1.50;96.550;28.990;43797.000;15.000
26.07.17;10:26:48 AM;1.75;96.720;28.970;43800.000;15.000
26.07.17;10:27:03 AM;2.00;96.680;28.980;43823.000;15.000
26.07.17;10:27:18 AM;2.25;96.560;28.990;43811.000;15.000
26.07.17;10:27:33 AM;2.50;96.470;29.000;43805.000;15.000
26.07.17;10:27:48 AM;2.75;96.470;29.000;43811.000;15.000
26.07.17;10:28:03 AM;3.00;96.390;29.010;43822.000;15.000
26.07.17;10:28:18 AM;3.25;96.610;28.990;43817.000;15.000
26.07.17;10:28:33 AM;3.50;96.570;28.990;43816.000;15.000
26.07.17;10:28:48 AM;3.75;96.440;29.010;43837.000;15.000
26.07.17;10:29:03 AM;4.00;96.470;29.000;43821.000;15.000
26.07.17;10:29:18 AM;4.25;96.620;28.990;43814.000;15.000
26.07.17;10:29:33 AM;4.50;96.870;28.960;43831.000;15.000
26.07.17;10:29:48 AM;4.75;96.660;28.980;43809.000;15.000
26.07.17;10:30:03 AM;5.00;96.470;29.000;43836.000;15.000
26.07.17;10:30:18 AM;5.25;96.410;29.010;43808.000;15.000
26.07.17;10:30:33 AM;5.50;96.220;29.030;43846.000;15.000
26.07.17;10:30:48 AM;5.75;96.500;29.000;43801.000;15.000
26.07.17;10:31:03 AM;6.00;96.400;29.010;43814.000;15.000
26.07.17;10:31:18 AM;6.25;96.770;28.970;43843.000;15.000
26.07.17;10:31:33 AM;6.50;96.110;29.040;43835.000;15.000
26.07.17;10:31:48 AM;6.75;96.120;29.040;43852.000;15.000
26.07.17;10:32:03 AM;7.00;96.720;28.970;43824.000;15.000
