26.07.17/10:25 AM SW ver:OXY10v3_33
Header Ch-7
Description: TBG3-15
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 97831
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
26.07.17;10:25:00 AM;0.00;95.920;29.070;34579.000;15.000
26.07.17;10:25:12 AM;0.20;95.270;29.140;34618.000;15.000
26.07.17;10:25:27 AM;0.45;95.490;29.120;34588.000;15.000
26.07.17;10:25:42 AM;0.70;95.650;29.100;34559.000;15.000
26.07.17;10:25:57 AM;0.95;95.380;29.130;34570.000;15.000
26.07.17;10:26:11 AM;1.20;95.670;29.090;34583.000;15.000
26.07.17;10:26:27 AM;1.45;95.510;29.110;34603.000;15.000
26.07.17;10:26:42 AM;1.70;95.850;29.070;34589.000;15.000
26.07.17;10:26:57 AM;1.95;95.600;29.100;34612.000;15.000
26.07.17;10:27:12 AM;2.20;95.520;29.110;34572.000;15.000
26.07.17;10:27:27 AM;2.45;95.590;29.100;34600.000;15.000
26.07.17;10:27:42 AM;2.70;95.640;29.100;34600.000;15.000
26.07.17;10:27:56 AM;2.95;95.440;29.120;34575.000;15.000
26.07.17;10:28:12 AM;3.20;95.190;29.150;34598.000;15.000
26.07.17;10:28:27 AM;3.45;95.370;29.130;34604.000;15.000
26.07.17;10:28:42 AM;3.70;95.330;29.130;34608.000;15.000
26.07.17;10:28:57 AM;3.95;95.220;29.150;34575.000;15.000
26.07.17;10:29:12 AM;4.20;95.470;29.120;34578.000;15.000
26.07.17;10:29:27 AM;4.45;95.320;29.140;34581.000;15.000
26.07.17;10:29:42 AM;4.70;95.100;29.160;34553.000;15.000
26.07.17;10:29:56 AM;4.95;95.460;29.120;34594.000;15.000
26.07.17;10:30:12 AM;5.20;95.210;29.150;34575.000;15.000
