26.07.17/9:20 AM SW ver:OXY10v3_33
Header Ch-2
Description: DRIFT-18
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 103017
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
26.07.17;9:20:22 AM;0.00;97.370;28.330;16438.000;18.000
26.07.17;9:20:32 AM;0.17;96.910;28.380;16443.000;18.000
26.07.17;9:20:47 AM;0.42;96.840;28.390;16446.000;18.000
26.07.17;9:21:02 AM;0.67;95.440;28.550;16408.000;18.000
26.07.17;9:21:17 AM;0.92;97.320;28.340;16447.000;18.000
26.07.17;9:21:32 AM;1.17;95.780;28.510;16421.000;18.000
26.07.17;9:21:47 AM;1.42;96.580;28.420;16438.000;18.000
26.07.17;9:22:02 AM;1.67;97.300;28.340;16437.000;18.000
26.07.17;9:22:17 AM;1.92;96.720;28.400;16432.000;18.000
26.07.17;9:22:32 AM;2.17;96.300;28.450;16461.000;18.000
26.07.17;9:22:47 AM;2.42;96.740;28.400;16424.000;18.000
26.07.17;9:23:02 AM;2.67;97.100;28.360;16414.000;18.000
26.07.17;9:23:17 AM;2.92;95.510;28.540;16425.000;18.000
26.07.17;9:23:32 AM;3.17;96.160;28.470;16429.000;18.000
26.07.17;9:23:47 AM;3.42;96.200;28.460;16448.000;18.000
26.07.17;9:24:02 AM;3.67;96.420;28.440;16414.000;18.000
26.07.17;9:24:17 AM;3.92;95.910;28.500;16400.000;18.000
26.07.17;9:24:33 AM;4.17;96.220;28.460;16432.000;18.000
26.07.17;9:24:47 AM;4.42;96.780;28.400;16375.000;18.000
26.07.17;9:25:02 AM;4.67;97.430;28.320;16451.000;18.000
26.07.17;9:25:17 AM;4.92;96.170;28.470;16410.000;18.000
26.07.17;9:25:32 AM;5.17;96.960;28.380;16411.000;18.000
26.07.17;9:25:47 AM;5.42;97.440;28.320;16412.000;18.000
26.07.17;9:26:02 AM;5.67;97.650;28.300;16378.000;18.000
26.07.17;9:26:17 AM;5.92;96.510;28.430;16417.000;18.000
26.07.17;9:26:32 AM;6.17;97.160;28.350;16374.000;18.000
26.07.17;9:26:47 AM;6.42;97.130;28.360;16396.000;18.000
26.07.17;9:27:02 AM;6.67;96.520;28.430;16366.000;18.000
26.07.17;9:27:17 AM;6.92;97.190;28.350;16367.000;18.000
26.07.17;9:27:32 AM;7.17;96.450;28.430;16411.000;18.000
26.07.17;9:27:47 AM;7.42;95.660;28.520;16430.000;18.000
26.07.17;9:28:02 AM;7.67;97.130;28.360;16412.000;18.000
26.07.17;9:28:17 AM;7.92;96.880;28.390;16410.000;18.000
26.07.17;9:28:33 AM;8.17;97.510;28.320;16392.000;18.000
26.07.17;9:28:47 AM;8.42;96.600;28.420;16404.000;18.000
26.07.17;9:29:02 AM;8.67;95.230;28.570;16442.000;18.000
26.07.17;9:29:17 AM;8.92;97.120;28.360;16430.000;18.000
26.07.17;9:29:32 AM;9.17;95.730;28.520;16402.000;18.000
26.07.17;9:29:47 AM;9.42;96.790;28.400;16430.000;18.000
26.07.17;9:30:02 AM;9.67;96.870;28.390;16489.000;18.000
26.07.17;9:30:17 AM;9.92;97.680;28.300;16425.000;18.000
26.07.17;9:30:32 AM;10.17;96.800;28.400;16451.000;18.000
26.07.17;9:30:47 AM;10.42;96.100;28.470;16428.000;18.000
26.07.17;9:31:02 AM;10.67;96.020;28.480;16482.000;18.000
26.07.17;9:31:17 AM;10.92;96.210;28.460;16469.000;18.000
26.07.17;9:31:32 AM;11.17;97.350;28.330;16435.000;18.000
26.07.17;9:31:47 AM;11.42;97.380;28.330;16468.000;18.000
26.07.17;9:32:02 AM;11.67;95.790;28.510;16441.000;18.000
26.07.17;9:32:18 AM;11.92;95.980;28.490;16467.000;18.000
26.07.17;9:32:33 AM;12.17;97.200;28.350;16478.000;18.000
26.07.17;9:32:48 AM;12.42;96.280;28.450;16475.000;18.000
26.07.17;9:33:03 AM;12.68;96.220;28.460;16456.000;18.000
26.07.17;9:33:17 AM;12.92;96.380;28.440;16462.000;18.000
26.07.17;9:33:32 AM;13.17;96.560;28.420;16450.000;18.000
26.07.17;9:33:47 AM;13.42;96.530;28.430;16468.000;18.000
26.07.17;9:34:02 AM;13.67;96.060;28.480;16439.000;18.000
26.07.17;9:34:18 AM;13.92;97.490;28.320;16438.000;18.000
26.07.17;9:34:33 AM;14.17;97.620;28.300;16425.000;18.000
26.07.17;9:34:47 AM;14.42;96.100;28.470;16448.000;18.000
26.07.17;9:35:02 AM;14.67;95.560;28.540;16459.000;18.000
26.07.17;9:35:17 AM;14.92;95.940;28.490;16451.000;18.000
26.07.17;9:35:32 AM;15.17;96.270;28.450;16465.000;18.000
26.07.17;9:35:47 AM;15.42;97.120;28.360;16484.000;18.000
26.07.17;9:36:02 AM;15.67;98.010;28.260;16439.000;18.000
26.07.17;9:36:18 AM;15.92;97.120;28.360;16462.000;18.000
26.07.17;9:36:33 AM;16.17;96.830;28.390;16433.000;18.000
26.07.17;9:36:48 AM;16.42;97.920;28.270;16428.000;18.000
26.07.17;9:37:02 AM;16.67;98.090;28.250;16408.000;18.000
26.07.17;9:37:17 AM;16.92;96.640;28.410;16432.000;18.000
26.07.17;9:37:33 AM;17.17;96.740;28.400;16415.000;18.000
26.07.17;9:37:48 AM;17.42;97.840;28.280;16395.000;18.000
26.07.17;9:38:02 AM;17.67;97.070;28.360;16405.000;18.000
26.07.17;9:38:18 AM;17.92;96.940;28.380;16354.000;18.000
26.07.17;9:38:32 AM;18.17;97.510;28.320;16374.000;18.000
26.07.17;9:38:47 AM;18.42;96.400;28.440;16389.000;18.000
26.07.17;9:39:03 AM;18.68;98.020;28.260;16419.000;18.000
26.07.17;9:39:17 AM;18.92;96.790;28.400;16412.000;18.000
26.07.17;9:39:32 AM;19.17;96.520;28.430;16421.000;18.000
26.07.17;9:39:48 AM;19.42;96.870;28.390;16445.000;18.000
26.07.17;9:40:03 AM;19.67;96.510;28.430;16404.000;18.000
