26.07.17/9:20 AM SW ver:OXY10v3_33
Header Ch-5
Description: WBB1-18
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 104541
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
26.07.17;9:20:24 AM;0.00;95.350;28.560;46378.000;18.000
26.07.17;9:20:25 AM;0.02;95.080;28.590;46411.000;18.000
26.07.17;9:20:38 AM;0.25;95.050;28.590;46467.000;18.000
26.07.17;9:20:53 AM;0.50;94.760;28.630;46439.000;18.000
26.07.17;9:21:08 AM;0.75;95.130;28.580;46406.000;18.000
26.07.17;9:21:23 AM;1.00;94.810;28.620;46452.000;18.000
26.07.17;9:21:38 AM;1.25;94.660;28.640;46447.000;18.000
26.07.17;9:21:53 AM;1.50;95.170;28.580;46431.000;18.000
26.07.17;9:22:08 AM;1.75;94.880;28.610;46438.000;18.000
26.07.17;9:22:23 AM;2.00;95.050;28.590;46514.000;18.000
26.07.17;9:22:38 AM;2.25;95.000;28.600;46485.000;18.000
26.07.17;9:22:53 AM;2.50;94.260;28.680;46450.000;18.000
26.07.17;9:23:08 AM;2.75;94.870;28.610;46505.000;18.000
26.07.17;9:23:23 AM;3.00;95.030;28.600;46446.000;18.000
26.07.17;9:23:38 AM;3.25;95.260;28.570;46531.000;18.000
26.07.17;9:23:53 AM;3.50;95.300;28.570;46505.000;18.000
26.07.17;9:24:08 AM;3.75;94.900;28.610;46535.000;18.000
26.07.17;9:24:23 AM;4.00;95.480;28.540;46506.000;18.000
26.07.17;9:24:38 AM;4.25;94.810;28.620;46501.000;18.000
26.07.17;9:24:53 AM;4.50;94.700;28.630;46540.000;18.000
26.07.17;9:25:08 AM;4.75;94.730;28.630;46526.000;18.000
26.07.17;9:25:23 AM;5.00;94.960;28.600;46529.000;18.000
26.07.17;9:25:38 AM;5.25;94.940;28.610;46556.000;18.000
26.07.17;9:25:53 AM;5.50;95.450;28.550;46561.000;18.000
26.07.17;9:26:08 AM;5.75;95.030;28.600;46552.000;18.000
