26.07.17/8:44 AM SW ver:OXY10v3_33
Header Ch-3
Description: TBM3-18
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 106025
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
26.07.17;8:44:53 AM;0.00;94.840;28.620;35491.000;18.000
26.07.17;8:44:54 AM;0.02;94.820;28.620;35478.000;18.000
26.07.17;8:45:04 AM;0.20;95.180;28.580;35496.000;18.000
26.07.17;8:45:20 AM;0.45;95.180;28.580;35497.000;18.000
26.07.17;8:45:34 AM;0.70;95.130;28.580;35498.000;18.000
26.07.17;8:45:49 AM;0.95;94.990;28.600;35501.000;18.000
26.07.17;8:46:04 AM;1.20;95.170;28.580;35518.000;18.000
26.07.17;8:46:20 AM;1.45;95.000;28.600;35487.000;18.000
26.07.17;8:46:34 AM;1.70;94.840;28.620;35479.000;18.000
26.07.17;8:46:49 AM;1.95;94.900;28.610;35501.000;18.000
26.07.17;8:47:04 AM;2.20;94.950;28.610;35477.000;18.000
26.07.17;8:47:20 AM;2.45;95.100;28.590;35469.000;18.000
26.07.17;8:47:34 AM;2.70;95.120;28.590;35488.000;18.000
26.07.17;8:47:49 AM;2.95;95.090;28.590;35482.000;18.000
26.07.17;8:48:05 AM;3.20;95.040;28.590;35467.000;18.000
26.07.17;8:48:19 AM;3.45;94.860;28.620;35460.000;18.000
26.07.17;8:48:34 AM;3.70;94.800;28.620;35460.000;18.000
26.07.17;8:48:50 AM;3.95;95.000;28.600;35467.000;18.000
26.07.17;8:49:04 AM;4.20;95.100;28.590;35478.000;18.000
26.07.17;8:49:19 AM;4.45;94.900;28.610;35485.000;18.000
26.07.17;8:49:34 AM;4.70;95.210;28.580;35502.000;18.000
26.07.17;8:49:49 AM;4.95;95.060;28.590;35455.000;18.000
26.07.17;8:50:04 AM;5.20;95.270;28.570;35464.000;18.000
26.07.17;8:50:20 AM;5.45;95.090;28.590;35451.000;18.000
26.07.17;8:50:34 AM;5.70;95.110;28.590;35502.000;18.000
26.07.17;8:50:49 AM;5.95;95.460;28.550;35487.000;18.000
26.07.17;8:51:05 AM;6.20;94.730;28.630;35484.000;18.000
26.07.17;8:51:19 AM;6.45;95.370;28.560;35467.000;18.000
26.07.17;8:51:34 AM;6.70;95.110;28.590;35496.000;18.000
26.07.17;8:51:49 AM;6.95;94.850;28.620;35484.000;18.000
26.07.17;8:52:05 AM;7.20;95.240;28.570;35478.000;18.000
26.07.17;8:52:19 AM;7.45;94.900;28.610;35481.000;18.000
26.07.17;8:52:34 AM;7.69;94.730;28.630;35482.000;18.000
26.07.17;8:52:49 AM;7.95;95.100;28.590;35472.000;18.000
26.07.17;8:53:04 AM;8.20;95.240;28.570;35483.000;18.000
26.07.17;8:53:20 AM;8.45;94.940;28.610;35503.000;18.000
26.07.17;8:53:34 AM;8.70;94.680;28.640;35468.000;18.000
26.07.17;8:53:49 AM;8.95;94.800;28.620;35496.000;18.000
26.07.17;8:54:04 AM;9.20;95.180;28.580;35491.000;18.000
26.07.17;8:54:20 AM;9.45;94.860;28.620;35468.000;18.000
26.07.17;8:54:34 AM;9.70;94.640;28.640;35484.000;18.000
26.07.17;8:54:49 AM;9.95;94.840;28.620;35447.000;18.000
26.07.17;8:55:05 AM;10.20;95.130;28.580;35474.000;18.000
26.07.17;8:55:20 AM;10.45;94.900;28.610;35465.000;18.000
26.07.17;8:55:34 AM;10.70;95.100;28.590;35452.000;18.000
26.07.17;8:55:49 AM;10.95;95.010;28.600;35484.000;18.000
26.07.17;8:56:04 AM;11.20;94.770;28.630;35467.000;18.000
26.07.17;8:56:19 AM;11.45;95.050;28.590;35443.000;18.000
26.07.17;8:56:35 AM;11.70;94.320;28.680;35480.000;18.000
26.07.17;8:56:49 AM;11.95;94.700;28.630;35522.000;18.000
26.07.17;8:57:04 AM;12.20;94.930;28.610;35459.000;18.000
26.07.17;8:57:20 AM;12.45;95.030;28.600;35486.000;18.000
26.07.17;8:57:34 AM;12.70;95.120;28.590;35468.000;18.000
26.07.17;8:57:49 AM;12.95;95.020;28.600;35484.000;18.000
26.07.17;8:58:04 AM;13.20;95.070;28.590;35512.000;18.000
26.07.17;8:58:19 AM;13.45;94.500;28.660;35470.000;18.000
26.07.17;8:58:34 AM;13.70;94.840;28.620;35466.000;18.000
26.07.17;8:58:49 AM;13.95;94.670;28.640;35483.000;18.000
26.07.17;8:59:04 AM;14.20;95.030;28.600;35466.000;18.000
26.07.17;8:59:19 AM;14.45;94.700;28.630;35504.000;18.000
26.07.17;8:59:35 AM;14.70;94.750;28.630;35485.000;18.000
26.07.17;8:59:49 AM;14.95;94.650;28.640;35483.000;18.000
26.07.17;9:00:05 AM;15.20;94.620;28.640;35495.000;18.000
26.07.17;9:00:19 AM;15.45;94.730;28.630;35488.000;18.000
26.07.17;9:00:34 AM;15.70;94.550;28.650;35509.000;18.000
26.07.17;9:00:49 AM;15.95;94.850;28.620;35486.000;18.000
26.07.17;9:01:04 AM;16.19;94.670;28.640;35485.000;18.000
26.07.17;9:01:20 AM;16.45;94.990;28.600;35489.000;18.000
26.07.17;9:01:34 AM;16.70;94.900;28.610;35480.000;18.000
26.07.17;9:01:50 AM;16.95;94.670;28.640;35489.000;18.000
26.07.17;9:02:04 AM;17.20;94.780;28.620;35478.000;18.000
26.07.17;9:02:19 AM;17.45;94.580;28.650;35488.000;18.000
26.07.17;9:02:34 AM;17.70;94.750;28.630;35504.000;18.000
26.07.17;9:02:49 AM;17.95;94.760;28.630;35495.000;18.000
26.07.17;9:03:04 AM;18.20;94.730;28.630;35502.000;18.000
26.07.17;9:03:19 AM;18.45;94.640;28.640;35503.000;18.000
26.07.17;9:03:35 AM;18.70;94.900;28.610;35483.000;18.000
26.07.17;9:03:49 AM;18.95;94.750;28.630;35477.000;18.000
26.07.17;9:04:04 AM;19.20;94.400;28.670;35506.000;18.000
26.07.17;9:04:19 AM;19.45;94.640;28.640;35478.000;18.000
26.07.17;9:04:34 AM;19.70;95.150;28.580;35509.000;18.000
26.07.17;9:04:49 AM;19.95;94.940;28.610;35479.000;18.000
26.07.17;9:05:04 AM;20.20;94.790;28.620;35447.000;18.000
26.07.17;9:05:19 AM;20.45;94.700;28.630;35497.000;18.000
26.07.17;9:05:34 AM;20.70;94.590;28.650;35494.000;18.000
26.07.17;9:05:49 AM;20.95;94.440;28.660;35496.000;18.000
26.07.17;9:06:04 AM;21.20;94.700;28.630;35508.000;18.000
26.07.17;9:06:19 AM;21.45;94.810;28.620;35404.000;18.000
26.07.17;9:06:35 AM;21.70;94.530;28.650;35340.000;18.000
