26.07.17/8:44 AM SW ver:OXY10v3_33
Header Ch-4
Description: TWH4-18
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 99808
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
26.07.17;8:44:54 AM;0.00;94.900;28.610;38570.000;18.000
26.07.17;8:44:55 AM;0.02;94.680;28.640;38564.000;18.000
26.07.17;8:45:07 AM;0.20;95.280;28.570;38561.000;18.000
26.07.17;8:45:22 AM;0.45;94.970;28.600;38548.000;18.000
26.07.17;8:45:37 AM;0.71;94.950;28.610;38540.000;18.000
26.07.17;8:45:52 AM;0.96;94.910;28.610;38554.000;18.000
26.07.17;8:46:06 AM;1.20;94.830;28.620;38516.000;18.000
26.07.17;8:46:22 AM;1.46;94.820;28.620;38519.000;18.000
26.07.17;8:46:37 AM;1.71;94.910;28.610;38527.000;18.000
26.07.17;8:46:52 AM;1.96;94.820;28.620;38543.000;18.000
26.07.17;8:47:07 AM;2.21;94.830;28.620;38533.000;18.000
26.07.17;8:47:22 AM;2.45;94.700;28.630;38519.000;18.000
26.07.17;8:47:36 AM;2.70;94.840;28.620;38493.000;18.000
26.07.17;8:47:52 AM;2.95;95.130;28.580;38483.000;18.000
26.07.17;8:48:07 AM;3.20;94.770;28.630;38501.000;18.000
26.07.17;8:48:22 AM;3.46;94.830;28.620;38476.000;18.000
26.07.17;8:48:37 AM;3.70;94.900;28.610;38466.000;18.000
26.07.17;8:48:52 AM;3.95;94.730;28.630;38470.000;18.000
26.07.17;8:49:07 AM;4.21;94.840;28.620;38479.000;18.000
26.07.17;8:49:22 AM;4.46;94.910;28.610;38432.000;18.000
26.07.17;8:49:37 AM;4.71;94.800;28.620;38456.000;18.000
26.07.17;8:49:52 AM;4.95;94.550;28.650;38463.000;18.000
26.07.17;8:50:07 AM;5.21;94.880;28.610;38441.000;18.000
26.07.17;8:50:22 AM;5.45;94.680;28.640;38439.000;18.000
26.07.17;8:50:37 AM;5.71;94.540;28.650;38431.000;18.000
26.07.17;8:50:52 AM;5.95;94.870;28.610;38437.000;18.000
26.07.17;8:51:07 AM;6.21;94.860;28.620;38436.000;18.000
26.07.17;8:51:22 AM;6.45;95.030;28.600;38425.000;18.000
26.07.17;8:51:37 AM;6.70;94.840;28.620;38419.000;18.000
26.07.17;8:51:52 AM;6.95;94.800;28.620;38398.000;18.000
26.07.17;8:52:07 AM;7.21;94.640;28.640;38398.000;18.000
26.07.17;8:52:22 AM;7.46;94.730;28.630;38432.000;18.000
26.07.17;8:52:37 AM;7.71;94.760;28.630;38419.000;18.000
26.07.17;8:52:52 AM;7.95;94.750;28.630;38406.000;18.000
26.07.17;8:53:07 AM;8.20;94.940;28.610;38386.000;18.000
26.07.17;8:53:22 AM;8.46;94.450;28.660;38382.000;18.000
26.07.17;8:53:37 AM;8.70;94.570;28.650;38368.000;18.000
26.07.17;8:53:52 AM;8.96;94.820;28.620;38349.000;18.000
26.07.17;8:54:07 AM;9.21;94.860;28.620;38356.000;18.000
26.07.17;8:54:22 AM;9.46;94.570;28.650;38336.000;18.000
26.07.17;8:54:37 AM;9.71;94.390;28.670;38335.000;18.000
