26.07.17/8:44 AM SW ver:OXY10v3_33
Header Ch-5
Description: WBB1-18
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 104541
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
26.07.17;8:44:55 AM;0.00;94.900;28.610;44689.000;18.000
26.07.17;8:44:56 AM;0.02;94.510;28.660;44646.000;18.000
26.07.17;8:45:08 AM;0.23;94.650;28.640;44691.000;18.000
26.07.17;8:45:23 AM;0.48;94.820;28.620;44691.000;18.000
26.07.17;8:45:38 AM;0.73;94.830;28.620;44752.000;18.000
26.07.17;8:45:53 AM;0.98;94.760;28.630;44752.000;18.000
26.07.17;8:46:08 AM;1.23;94.860;28.620;44816.000;18.000
26.07.17;8:46:23 AM;1.48;94.640;28.640;44827.000;18.000
26.07.17;8:46:38 AM;1.73;94.990;28.600;44823.000;18.000
26.07.17;8:46:53 AM;1.98;94.940;28.610;44879.000;18.000
26.07.17;8:47:09 AM;2.23;94.780;28.620;44906.000;18.000
26.07.17;8:47:23 AM;2.48;94.770;28.630;44904.000;18.000
26.07.17;8:47:38 AM;2.73;94.610;28.640;44981.000;18.000
26.07.17;8:47:53 AM;2.98;94.610;28.640;44965.000;18.000
26.07.17;8:48:08 AM;3.23;94.610;28.640;45033.000;18.000
26.07.17;8:48:24 AM;3.48;94.600;28.650;45028.000;18.000
26.07.17;8:48:38 AM;3.73;94.570;28.650;45053.000;18.000
26.07.17;8:48:53 AM;3.98;94.680;28.640;45073.000;18.000
26.07.17;8:49:08 AM;4.23;94.450;28.660;45107.000;18.000
26.07.17;8:49:24 AM;4.48;94.670;28.640;45146.000;18.000
26.07.17;8:49:38 AM;4.73;94.430;28.670;45153.000;18.000
26.07.17;8:49:53 AM;4.98;94.640;28.640;45203.000;18.000
26.07.17;8:50:08 AM;5.23;94.730;28.630;45197.000;18.000
26.07.17;8:50:23 AM;5.48;94.380;28.670;45240.000;18.000
26.07.17;8:50:38 AM;5.73;94.590;28.650;45268.000;18.000
26.07.17;8:50:53 AM;5.98;94.640;28.640;45259.000;18.000
